# time = 7.800000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 2.41493e-04, 1.20747e-04, 1.09766e-04, 4.54530e-01
2.41493e-04, 5.31286e-04, 3.86390e-04, 1.31665e-04, 4.54343e-01
5.31286e-04, 8.79036e-04, 7.05161e-04, 1.57920e-04, 4.54119e-01
8.79036e-04, 1.29634e-03, 1.08769e-03, 1.89392e-04, 4.53851e-01
1.29634e-03, 1.79710e-03, 1.54672e-03, 2.27109e-04, 4.53528e-01
1.79710e-03, 2.39801e-03, 2.09755e-03, 2.72299e-04, 4.53142e-01
2.39801e-03, 3.11911e-03, 2.75856e-03, 3.26425e-04, 4.52679e-01
3.11911e-03, 3.98442e-03, 3.55176e-03, 3.91230e-04, 4.52124e-01
3.98442e-03, 5.02280e-03, 4.50361e-03, 4.68785e-04, 4.51459e-01
5.02280e-03, 6.26885e-03, 5.64583e-03, 5.61551e-04, 4.50663e-01
6.26885e-03, 7.76412e-03, 7.01648e-03, 6.72437e-04, 4.49711e-01
7.76412e-03, 9.55843e-03, 8.66127e-03, 8.04876e-04, 4.48570e-01
9.55843e-03, 1.17116e-02, 1.06350e-02, 9.62917e-04, 4.47207e-01
1.17116e-02, 1.42954e-02, 1.30035e-02, 1.15129e-03, 4.45576e-01
1.42954e-02, 1.73960e-02, 1.58457e-02, 1.37551e-03, 4.43631e-01
1.73960e-02, 2.11167e-02, 1.92564e-02, 1.64197e-03, 4.41307e-01
2.11167e-02, 2.55815e-02, 2.33491e-02, 1.95803e-03, 4.38545e-01
2.55815e-02, 3.09393e-02, 2.82604e-02, 2.33198e-03, 4.35250e-01
3.09393e-02, 3.73687e-02, 3.41540e-02, 2.77327e-03, 4.31345e-01
3.73687e-02, 4.50839e-02, 4.12263e-02, 3.29217e-03, 4.26710e-01
4.50839e-02, 5.43422e-02, 4.97131e-02, 3.89987e-03, 4.21231e-01
5.43422e-02, 6.54521e-02, 5.98972e-02, 4.60773e-03, 4.14740e-01
6.54521e-02, 7.87841e-02, 7.21181e-02, 5.42854e-03, 4.07184e-01
7.87841e-02, 9.47824e-02, 8.67832e-02, 6.37189e-03, 3.98285e-01
9.47824e-02, 1.13980e-01, 1.04381e-01, 7.44762e-03, 3.87938e-01
