# time = 1.000000000000000e+00# start, end, pivot, particles, density
0.00000e+00, 2.41493e-04, 1.20747e-04, 2.41464e-04, 9.99879e-01
2.41493e-04, 5.31286e-04, 3.86390e-04, 1.05413e-04, 3.63753e-01
5.31286e-04, 8.79036e-04, 7.05161e-04, 1.26429e-04, 3.63563e-01
8.79036e-04, 1.29634e-03, 1.08769e-03, 1.51620e-04, 3.63336e-01
1.29634e-03, 1.79710e-03, 1.54672e-03, 1.81808e-04, 3.63063e-01
1.79710e-03, 2.39801e-03, 2.09755e-03, 2.17972e-04, 3.62735e-01
2.39801e-03, 3.11911e-03, 2.75856e-03, 2.61284e-04, 3.62343e-01
3.11911e-03, 3.98442e-03, 3.55176e-03, 3.13134e-04, 3.61873e-01
3.98442e-03, 5.02280e-03, 4.50361e-03, 3.75176e-04, 3.61309e-01
5.02280e-03, 6.26885e-03, 5.64583e-03, 4.49371e-04, 3.60635e-01
6.26885e-03, 7.76412e-03, 7.01648e-03, 5.38038e-04, 3.59828e-01
7.76412e-03, 9.55843e-03, 8.66127e-03, 6.43913e-04, 3.58862e-01
9.55843e-03, 1.17116e-02, 1.06350e-02, 7.70209e-04, 3.57708e-01
1.17116e-02, 1.42954e-02, 1.30035e-02, 9.20687e-04, 3.56328e-01
1.42954e-02, 1.73960e-02, 1.58457e-02, 1.09972e-03, 3.54682e-01
1.73960e-02, 2.11167e-02, 1.92564e-02, 1.31236e-03, 3.52719e-01
2.11167e-02, 2.55815e-02, 2.33491e-02, 1.56439e-03, 3.50381e-01
2.55815e-02, 3.09393e-02, 2.82604e-02, 1.86238e-03, 3.47601e-01
3.09393e-02, 3.73687e-02, 3.41540e-02, 2.21363e-03, 3.44301e-01
3.73687e-02, 4.50839e-02, 4.12263e-02, 2.62621e-03, 3.40393e-01
4.50839e-02, 5.43422e-02, 4.97131e-02, 3.10871e-03, 3.35776e-01
5.43422e-02, 6.54521e-02, 5.98972e-02, 3.67005e-03, 3.30339e-01
6.54521e-02, 7.87841e-02, 7.21181e-02, 4.31901e-03, 3.23960e-01
