# time = 9.400000000000001e-01# start, end, pivot, particles, density
0.00000e+00, 2.41493e-04, 1.20747e-04, 2.41464e-04, 9.99879e-01
2.41493e-04, 5.31286e-04, 3.86390e-04, 1.12004e-04, 3.86497e-01
5.31286e-04, 8.79036e-04, 7.05161e-04, 1.34335e-04, 3.86298e-01
8.79036e-04, 1.29634e-03, 1.08769e-03, 1.61103e-04, 3.86059e-01
1.29634e-03, 1.79710e-03, 1.54672e-03, 1.93180e-04, 3.85773e-01
1.79710e-03, 2.39801e-03, 2.09755e-03, 2.31610e-04, 3.85430e-01
2.39801e-03, 3.11911e-03, 2.75856e-03, 2.77635e-04, 3.85019e-01
3.11911e-03, 3.98442e-03, 3.55176e-03, 3.32736e-04, 3.84526e-01
3.98442e-03, 5.02280e-03, 4.50361e-03, 3.98671e-04, 3.83936e-01
5.02280e-03, 6.26885e-03, 5.64583e-03, 4.77525e-04, 3.83230e-01
6.26885e-03, 7.76412e-03, 7.01648e-03, 5.71765e-04, 3.82384e-01
7.76412e-03, 9.55843e-03, 8.66127e-03, 6.84302e-04, 3.81372e-01
9.55843e-03, 1.17116e-02, 1.06350e-02, 8.18557e-04, 3.80162e-01
1.17116e-02, 1.42954e-02, 1.30035e-02, 9.78533e-04, 3.78716e-01
1.42954e-02, 1.73960e-02, 1.58457e-02, 1.16889e-03, 3.76990e-01
1.73960e-02, 2.11167e-02, 1.92564e-02, 1.39501e-03, 3.74933e-01
2.11167e-02, 2.55815e-02, 2.33491e-02, 1.66307e-03, 3.72481e-01
2.55815e-02, 3.09393e-02, 2.82604e-02, 1.98006e-03, 3.69566e-01
3.09393e-02, 3.73687e-02, 3.41540e-02, 2.35382e-03, 3.66106e-01
3.73687e-02, 4.50839e-02, 4.12263e-02, 2.79297e-03, 3.62007e-01
4.50839e-02, 5.43422e-02, 4.97131e-02, 3.30671e-03, 3.57163e-01
5.43422e-02, 6.54521e-02, 5.98972e-02, 3.90466e-03, 3.51457e-01
6.54521e-02, 7.87841e-02, 7.21181e-02, 4.59631e-03, 3.44760e-01
7.87841e-02, 9.47824e-02, 8.67832e-02, 5.39036e-03, 3.36933e-01
9.47824e-02, 1.13980e-01, 1.04381e-01, 6.29374e-03, 3.27834e-01
1.13980e-01, 1.37018e-01, 1.25499e-01, 7.31027e-03, 3.17320e-01
1.37018e-01, 1.64663e-01, 1.50840e-01, 8.43892e-03, 3.05259e-01
1.64663e-01, 1.97837e-01, 1.81250e-01, 9.67173e-03, 2.91545e-01
1.97837e-01, 2.37646e-01, 2.17742e-01, 1.09915e-02, 2.76107e-01
2.37646e-01, 2.85417e-01, 2.61531e-01, 1.23696e-02, 2.58937e-01
2.85417e-01, 3.42742e-01, 3.14079e-01, 1.37641e-02, 2.40108e-01
3.42742e-01, 4.11531e-01, 3.77136e-01, 1.51196e-02, 2.19795e-01
4.11531e-01, 4.94079e-01, 4.52805e-01, 1.63685e-02, 1.98292e-01
4.94079e-01, 5.93136e-01, 5.43608e-01, 1.74359e-02, 1.76018e-01
5.93136e-01, 7.12005e-01, 6.52571e-01, 1.82473e-02, 1.53508e-01
7.12005e-01, 8.54648e-01, 7.83326e-01, 1.87392e-02, 1.31372e-01
8.54648e-01, 1.02582e+00, 9.40233e-01, 1.88712e-02, 1.10248e-01
1.02582e+00, 1.23122e+00, 1.12852e+00, 1.86349e-02, 9.07225e-02
1.23122e+00, 1.47771e+00, 1.35447e+00, 1.80574e-02, 7.32592e-02
1.47771e+00, 1.77349e+00, 1.62560e+00, 1.71964e-02, 5.81385e-02
1.77349e+00, 2.12843e+00, 1.95096e+00, 1.61275e-02, 4.54372e-02
2.12843e+00, 2.55436e+00, 2.34140e+00, 1.49280e-02, 3.50481e-02
2.55436e+00, 3.06548e+00, 2.80992e+00, 1.36638e-02, 2.67334e-02
3.06548e+00, 3.67881e+00, 3.37214e+00, 1.23833e-02, 2.01901e-02
3.67881e+00, 4.41482e+00, 4.04681e+00, 1.11182e-02, 1.51061e-02
4.41482e+00, 5.29802e+00, 4.85642e+00, 9.88780e-03, 1.11954e-02
5.29802e+00, 6.35787e+00, 5.82794e+00, 8.70443e-03, 8.21292e-03
6.35787e+00, 7.62968e+00, 6.99378e+00, 7.57641e-03, 5.95716e-03
