# time = 1.000000000000000e+00# start, end, pivot, particles, density
0.00000e+00, 2.41493e-04, 1.20747e-04, 8.36678e-05, 3.46460e-01
2.41493e-04, 5.31286e-04, 3.86390e-04, 1.00355e-04, 3.46301e-01
5.31286e-04, 8.79036e-04, 7.05161e-04, 1.20360e-04, 3.46111e-01
8.79036e-04, 1.29634e-03, 1.08769e-03, 1.44337e-04, 3.45883e-01
1.29634e-03, 1.79710e-03, 1.54672e-03, 1.73068e-04, 3.45610e-01
1.79710e-03, 2.39801e-03, 2.09755e-03, 2.07485e-04, 3.45283e-01
2.39801e-03, 3.11911e-03, 2.75856e-03, 2.48699e-04, 3.44890e-01
3.11911e-03, 3.98442e-03, 3.55176e-03, 2.98032e-04, 3.44420e-01
3.98442e-03, 5.02280e-03, 4.50361e-03, 3.57053e-04, 3.43856e-01
5.02280e-03, 6.26885e-03, 5.64583e-03, 4.27623e-04, 3.43182e-01
6.26885e-03, 7.76412e-03, 7.01648e-03, 5.11941e-04, 3.42375e-01
7.76412e-03, 9.55843e-03, 8.66127e-03, 6.12594e-04, 3.41408e-01
9.55843e-03, 1.17116e-02, 1.06350e-02, 7.32630e-04, 3.40255e-01
1.17116e-02, 1.42954e-02, 1.30035e-02, 8.75590e-04, 3.38875e-01
1.42954e-02, 1.73960e-02, 1.58457e-02, 1.04561e-03, 3.37229e-01
1.73960e-02, 2.11167e-02, 1.92564e-02, 1.24742e-03, 3.35265e-01
2.11167e-02, 2.55815e-02, 2.33491e-02, 1.48649e-03, 3.32934e-01
2.55815e-02, 3.09393e-02, 2.82604e-02, 1.76889e-03, 3.30153e-01
3.09393e-02, 3.73687e-02, 3.41540e-02, 2.10152e-03, 3.26862e-01
3.73687e-02, 4.50839e-02, 4.12263e-02, 2.49173e-03, 3.22962e-01
4.50839e-02, 5.43422e-02, 4.97131e-02, 2.94745e-03, 3.18358e-01
5.43422e-02, 6.54521e-02, 5.98972e-02, 3.47641e-03, 3.12910e-01
6.54521e-02, 7.87841e-02, 7.21181e-02, 4.08750e-03, 3.06595e-01
7.87841e-02, 9.47824e-02, 8.67832e-02, 4.78619e-03, 2.99168e-01
9.47824e-02, 1.13980e-01, 1.04381e-01, 5.57825e-03, 2.90565e-01
1.13980e-01, 1.37018e-01, 1.25499e-01, 6.46536e-03, 2.80644e-01
1.37018e-01, 1.64663e-01, 1.50840e-01, 7.44465e-03, 2.69294e-01
1.64663e-01, 1.97837e-01, 1.81250e-01, 8.50672e-03, 2.56427e-01
1.97837e-01, 2.37646e-01, 2.17742e-01, 9.63367e-03, 2.41998e-01
2.37646e-01, 2.85417e-01, 2.61531e-01, 1.07817e-02, 2.25696e-01
2.85417e-01, 3.42742e-01, 3.14079e-01, 1.19618e-02, 2.08666e-01
3.42742e-01, 4.11531e-01, 3.77136e-01, 1.30594e-02, 1.89845e-01
4.11531e-01, 4.94079e-01, 4.52805e-01, 1.40525e-02, 1.70235e-01
4.94079e-01, 5.93136e-01, 5.43608e-01, 1.48671e-02, 1.50086e-01
5.93136e-01, 7.12005e-01, 6.52571e-01, 1.54567e-02, 1.30032e-01
7.12005e-01, 8.54648e-01, 7.83326e-01, 1.57702e-02, 1.10558e-01
8.54648e-01, 1.02582e+00, 9.40233e-01, 1.57962e-02, 9.22832e-02
1.02582e+00, 1.23122e+00, 1.12852e+00, 1.55475e-02, 7.56916e-02
1.23122e+00, 1.47771e+00, 1.35447e+00, 1.50679e-02, 6.11307e-02
1.47771e+00, 1.77349e+00, 1.62560e+00, 1.44171e-02, 4.87421e-02
1.77349e+00, 2.12843e+00, 1.95096e+00, 1.36596e-02, 3.84842e-02
2.12843e+00, 2.55436e+00, 2.34140e+00, 1.28476e-02, 3.01637e-02
2.55436e+00, 3.06548e+00, 2.80992e+00, 1.20166e-02, 2.35107e-02
3.06548e+00, 3.67881e+00, 3.37214e+00, 1.11840e-02, 1.82347e-02
3.67881e+00, 4.41482e+00, 4.04681e+00, 1.03587e-02, 1.40742e-02
4.41482e+00, 5.29802e+00, 4.85642e+00, 9.54466e-03, 1.08068e-02
5.29802e+00, 6.35787e+00, 5.82794e+00, 8.74663e-03, 8.25274e-03
6.35787e+00, 7.62968e+00, 6.99378e+00, 7.93618e-03, 6.24004e-03
7.62968e+00, 9.15586e+00, 8.39277e+00, 7.11910e-03, 4.66466e-03
