# start, end, pivot, particles, density
0.00000e+00, 1.97541e-03, 9.87707e-04, 1.97346e-03, 9.99013e-01
1.97541e-03, 4.74099e-03, 3.35820e-03, 2.75631e-03, 9.96648e-01
4.74099e-03, 8.61281e-03, 6.67690e-03, 3.84605e-03, 9.93346e-01
8.61281e-03, 1.40333e-02, 1.13231e-02, 5.35951e-03, 9.88742e-01
1.40333e-02, 2.16221e-02, 1.78277e-02, 7.45468e-03, 9.82333e-01
2.16221e-02, 3.22463e-02, 2.69342e-02, 1.03420e-02, 9.73430e-01
3.22463e-02, 4.71203e-02, 3.96833e-02, 1.42954e-02, 9.61103e-01
4.71203e-02, 6.79438e-02, 5.75321e-02, 1.96597e-02, 9.44109e-01
6.79438e-02, 9.70968e-02, 8.25203e-02, 2.68448e-02, 9.20825e-01
9.70968e-02, 1.37911e-01, 1.17504e-01, 3.62919e-02, 8.89199e-01
1.37911e-01, 1.95051e-01, 1.66481e-01, 4.83834e-02, 8.46754e-01
1.95051e-01, 2.75046e-01, 2.35049e-01, 6.32561e-02, 7.90743e-01
2.75046e-01, 3.87040e-01, 3.31043e-01, 8.04732e-02, 7.18549e-01
3.87040e-01, 5.43832e-01, 4.65436e-01, 9.85442e-02, 6.28505e-01
5.43832e-01, 7.63340e-01, 6.53586e-01, 1.14413e-01, 5.21222e-01
7.63340e-01, 1.07065e+00, 9.16996e-01, 1.23322e-01, 4.01293e-01
1.07065e+00, 1.50089e+00, 1.28577e+00, 1.19853e-01, 2.78575e-01
1.50089e+00, 2.10322e+00, 1.80205e+00, 1.00869e-01, 1.67465e-01
2.10322e+00, 2.94648e+00, 2.52485e+00, 6.95388e-02, 8.24639e-02
2.94648e+00, 4.12705e+00, 3.53676e+00, 3.63938e-02, 3.08274e-02
4.12705e+00, 5.77984e+00, 4.95345e+00, 1.30412e-02, 7.89040e-03
5.77984e+00, 8.09376e+00, 6.93680e+00, 2.78376e-03, 1.20305e-03
8.09376e+00, 1.13332e+01, 9.71349e+00, 2.93472e-04, 9.05923e-05
1.13332e+01, 1.58685e+01, 1.36009e+01, 1.18401e-05, 2.61068e-06
1.58685e+01, 2.22179e+01, 1.90432e+01, 1.28126e-07, 2.01793e-08
2.22179e+01, 3.11070e+01, 2.66624e+01, 2.24304e-10, 2.52336e-11
3.11070e+01, 4.35518e+01, 3.73294e+01, 3.09312e-14, 2.48548e-15
4.35518e+01, 6.09745e+01, 5.22631e+01, 1.21815e-19, 6.99174e-21
6.09745e+01, 8.53662e+01, 7.31704e+01, 3.30463e-27, 1.35481e-28
8.53662e+01, 1.19515e+02, 1.02440e+02, 8.43167e-38, 2.46912e-39
1.19515e+02, 1.67323e+02, 1.43419e+02, 1.24572e-52, 2.60568e-54
1.67323e+02, 2.34254e+02, 2.00788e+02, 2.15145e-73, 3.21443e-75
2.34254e+02, 3.27957e+02, 2.81105e+02, 1.84063e-102, 1.96431e-104
3.27957e+02, 4.59142e+02, 3.93549e+02, 3.71616e-143, 2.83277e-145
4.59142e+02, 6.42800e+02, 5.50971e+02, 3.95617e-200, 2.15409e-202
6.42800e+02, 8.99923e+02, 7.71361e+02, 6.84479e-280, 2.66208e-282
8.99923e+02, 1.25989e+03, 1.07991e+03, 0.00000e+00, 0.00000e+00
1.25989e+03, 1.76385e+03, 1.51187e+03, 0.00000e+00, 0.00000e+00
1.76385e+03, 2.46940e+03, 2.11662e+03, 0.00000e+00, 0.00000e+00
2.46940e+03, 3.45716e+03, 2.96328e+03, 0.00000e+00, 0.00000e+00
3.45716e+03, 4.84002e+03, 4.14859e+03, 0.00000e+00, 0.00000e+00
4.84002e+03, 6.77603e+03, 5.80803e+03, 0.00000e+00, 0.00000e+00
6.77603e+03, 9.48645e+03, 8.13124e+03, 0.00000e+00, 0.00000e+00
9.48645e+03, 1.32810e+04, 1.13837e+04, 0.00000e+00, 0.00000e+00
1.32810e+04, 1.85934e+04, 1.59372e+04, 0.00000e+00, 0.00000e+00
1.85934e+04, 2.60308e+04, 2.23121e+04, 0.00000e+00, 0.00000e+00
2.60308e+04, 3.64431e+04, 3.12370e+04, 0.00000e+00, 0.00000e+00
3.64431e+04, 5.10204e+04, 4.37318e+04, 0.00000e+00, 0.00000e+00
5.10204e+04, 7.14286e+04, 6.12245e+04, 0.00000e+00, 0.00000e+00
7.14286e+04, 1.00000e+05, 8.57143e+04, 0.00000e+00, 0.00000e+00
