# time = 8.500000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 2.41493e-04, 1.20747e-04, 1.02269e-04, 4.23484e-01
2.41493e-04, 5.31286e-04, 3.86390e-04, 1.22671e-04, 4.23306e-01
5.31286e-04, 8.79036e-04, 7.05161e-04, 1.47131e-04, 4.23093e-01
8.79036e-04, 1.29634e-03, 1.08769e-03, 1.76451e-04, 4.22838e-01
1.29634e-03, 1.79710e-03, 1.54672e-03, 2.11587e-04, 4.22532e-01
1.79710e-03, 2.39801e-03, 2.09755e-03, 2.53684e-04, 4.22165e-01
2.39801e-03, 3.11911e-03, 2.75856e-03, 3.04104e-04, 4.21725e-01
3.11911e-03, 3.98442e-03, 3.55176e-03, 3.64468e-04, 4.21197e-01
3.98442e-03, 5.02280e-03, 4.50361e-03, 4.36706e-04, 4.20565e-01
5.02280e-03, 6.26885e-03, 5.64583e-03, 5.23104e-04, 4.19809e-01
6.26885e-03, 7.76412e-03, 7.01648e-03, 6.26372e-04, 4.18904e-01
7.76412e-03, 9.55843e-03, 8.66127e-03, 7.49700e-04, 4.17819e-01
9.55843e-03, 1.17116e-02, 1.06350e-02, 8.96853e-04, 4.16525e-01
1.17116e-02, 1.42954e-02, 1.30035e-02, 1.07222e-03, 4.14976e-01
1.42954e-02, 1.73960e-02, 1.58457e-02, 1.28094e-03, 4.13128e-01
1.73960e-02, 2.11167e-02, 1.92564e-02, 1.52891e-03, 4.10921e-01
2.11167e-02, 2.55815e-02, 2.33491e-02, 1.82298e-03, 4.08298e-01
2.55815e-02, 3.09393e-02, 2.82604e-02, 2.17082e-03, 4.05170e-01
3.09393e-02, 3.73687e-02, 3.41540e-02, 2.58115e-03, 4.01463e-01
3.73687e-02, 4.50839e-02, 4.12263e-02, 3.06345e-03, 3.97065e-01
4.50839e-02, 5.43422e-02, 4.97131e-02, 3.62802e-03, 3.91867e-01
5.43422e-02, 6.54521e-02, 5.98972e-02, 4.28523e-03, 3.85712e-01
6.54521e-02, 7.87841e-02, 7.21181e-02, 5.04682e-03, 3.78551e-01
7.87841e-02, 9.47824e-02, 8.67832e-02, 5.92132e-03, 3.70122e-01
9.47824e-02, 1.13980e-01, 1.04381e-01, 6.91755e-03, 3.60327e-01
1.13980e-01, 1.37018e-01, 1.25499e-01, 8.04005e-03, 3.48997e-01
1.37018e-01, 1.64663e-01, 1.50840e-01, 9.28832e-03, 3.35985e-01
1.64663e-01, 1.97837e-01, 1.81250e-01, 1.06543e-02, 3.21164e-01
1.97837e-01, 2.37646e-01, 2.17742e-01, 1.21200e-02, 3.04454e-01
2.37646e-01, 2.85417e-01, 2.61531e-01, 1.36387e-02, 2.85503e-01
2.85417e-01, 3.42742e-01, 3.14079e-01, 1.52154e-02, 2.65423e-01
3.42742e-01, 4.11531e-01, 3.77136e-01, 1.67247e-02, 2.43128e-01
4.11531e-01, 4.94079e-01, 4.52805e-01, 1.81281e-02, 2.19608e-01
4.94079e-01, 5.93136e-01, 5.43608e-01, 1.93298e-02, 1.95138e-01
5.93136e-01, 7.12005e-01, 6.52571e-01, 2.02547e-02, 1.70395e-01
7.12005e-01, 8.54648e-01, 7.83326e-01, 2.08195e-02, 1.45956e-01
8.54648e-01, 1.02582e+00, 9.40233e-01, 2.09811e-02, 1.22574e-01
1.02582e+00, 1.23122e+00, 1.12852e+00, 2.07258e-02, 1.00902e-01
1.23122e+00, 1.47771e+00, 1.35447e+00, 2.00831e-02, 8.14774e-02
1.47771e+00, 1.77349e+00, 1.62560e+00, 1.91156e-02, 6.46269e-02
1.77349e+00, 2.12843e+00, 1.95096e+00, 1.79085e-02, 5.04551e-02
2.12843e+00, 2.55436e+00, 2.34140e+00, 1.65488e-02, 3.88535e-02
2.55436e+00, 3.06548e+00, 2.80992e+00, 1.51119e-02, 2.95665e-02
3.06548e+00, 3.67881e+00, 3.37214e+00, 1.36521e-02, 2.22588e-02
3.67881e+00, 4.41482e+00, 4.04681e+00, 1.22078e-02, 1.65866e-02
4.41482e+00, 5.29802e+00, 4.85642e+00, 1.08013e-02, 1.22296e-02
5.29802e+00, 6.35787e+00, 5.82794e+00, 9.44797e-03, 8.91447e-03
6.35787e+00, 7.62968e+00, 6.99378e+00, 8.16501e-03, 6.41997e-03
7.62968e+00, 9.15586e+00, 8.39277e+00, 6.95446e-03, 4.55678e-03
9.15586e+00, 1.09873e+01, 1.00716e+01, 5.81093e-03, 3.17292e-03
1.09873e+01, 1.31850e+01, 1.20861e+01, 4.75310e-03, 2.16276e-03
1.31850e+01, 1.58222e+01, 1.45036e+01, 3.78876e-03, 1.43664e-03
1.58222e+01, 1.89869e+01, 1.74045e+01, 2.92710e-03, 9.24925e-04
