# time = 6.100000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 2.41493e-04, 1.20747e-04, 2.41464e-04, 9.99879e-01
2.41493e-04, 5.31286e-04, 3.86390e-04, 1.56351e-04, 5.39529e-01
5.31286e-04, 8.79036e-04, 7.05161e-04, 1.87534e-04, 5.39277e-01
8.79036e-04, 1.29634e-03, 1.08769e-03, 2.24915e-04, 5.38976e-01
1.29634e-03, 1.79710e-03, 1.54672e-03, 2.69717e-04, 5.38614e-01
1.79710e-03, 2.39801e-03, 2.09755e-03, 3.23400e-04, 5.38181e-01
2.39801e-03, 3.11911e-03, 2.75856e-03, 3.87705e-04, 5.37662e-01
3.11911e-03, 3.98442e-03, 3.55176e-03, 4.64708e-04, 5.37039e-01
3.98442e-03, 5.02280e-03, 4.50361e-03, 5.56875e-04, 5.36293e-01
5.02280e-03, 6.26885e-03, 5.64583e-03, 6.67136e-04, 5.35400e-01
6.26885e-03, 7.76412e-03, 7.01648e-03, 7.98964e-04, 5.34330e-01
7.76412e-03, 9.55843e-03, 8.66127e-03, 9.56459e-04, 5.33049e-01
9.55843e-03, 1.17116e-02, 1.06350e-02, 1.14445e-03, 5.31518e-01
1.17116e-02, 1.42954e-02, 1.30035e-02, 1.36861e-03, 5.29687e-01
1.42954e-02, 1.73960e-02, 1.58457e-02, 1.63556e-03, 5.27501e-01
1.73960e-02, 2.11167e-02, 1.92564e-02, 1.95296e-03, 5.24892e-01
2.11167e-02, 2.55815e-02, 2.33491e-02, 2.32967e-03, 5.21781e-01
2.55815e-02, 3.09393e-02, 2.82604e-02, 2.77576e-03, 5.18078e-01
3.09393e-02, 3.73687e-02, 3.41540e-02, 3.30262e-03, 5.13678e-01
3.73687e-02, 4.50839e-02, 4.12263e-02, 3.92287e-03, 5.08458e-01
4.50839e-02, 5.43422e-02, 4.97131e-02, 4.65024e-03, 5.02279e-01
5.43422e-02, 6.54521e-02, 5.98972e-02, 5.49926e-03, 4.94986e-01
6.54521e-02, 7.87841e-02, 7.21181e-02, 6.48472e-03, 4.86405e-01
7.87841e-02, 9.47824e-02, 8.67832e-02, 7.62078e-03, 4.76349e-01
9.47824e-02, 1.13980e-01, 1.04381e-01, 8.91972e-03, 4.64618e-01
1.13980e-01, 1.37018e-01, 1.25499e-01, 1.03901e-02, 4.51009e-01
1.37018e-01, 1.64663e-01, 1.50840e-01, 1.20345e-02, 4.35323e-01
1.64663e-01, 1.97837e-01, 1.81250e-01, 1.38464e-02, 4.17385e-01
1.97837e-01, 2.37646e-01, 2.17742e-01, 1.58065e-02, 3.97058e-01
2.37646e-01, 2.85417e-01, 2.61531e-01, 1.78794e-02, 3.74275e-01
2.85417e-01, 3.42742e-01, 3.14079e-01, 2.00099e-02, 3.49062e-01
3.42742e-01, 4.11531e-01, 3.77136e-01, 2.21210e-02, 3.21574e-01
4.11531e-01, 4.94079e-01, 4.52805e-01, 2.41140e-02, 2.92122e-01
4.94079e-01, 5.93136e-01, 5.43608e-01, 2.58732e-02, 2.61194e-01
5.93136e-01, 7.12005e-01, 6.52571e-01, 2.72747e-02, 2.29452e-01
7.12005e-01, 8.54648e-01, 7.83326e-01, 2.82017e-02, 1.97709e-01
