# time = 1.000000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 2.41493e-04, 1.20747e-04, 2.17181e-04, 8.99324e-01
2.41493e-04, 5.31286e-04, 3.86390e-04, 2.60540e-04, 8.99058e-01
5.31286e-04, 8.79036e-04, 7.05161e-04, 3.12537e-04, 8.98740e-01
8.79036e-04, 1.29634e-03, 1.08769e-03, 3.74885e-04, 8.98358e-01
1.29634e-03, 1.79710e-03, 1.54672e-03, 4.49633e-04, 8.97900e-01
1.79710e-03, 2.39801e-03, 2.09755e-03, 5.39230e-04, 8.97351e-01
2.39801e-03, 3.11911e-03, 2.75856e-03, 6.46601e-04, 8.96692e-01
3.11911e-03, 3.98442e-03, 3.55176e-03, 7.75237e-04, 8.95902e-01
3.98442e-03, 5.02280e-03, 4.50361e-03, 9.29302e-04, 8.94955e-01
5.02280e-03, 6.26885e-03, 5.64583e-03, 1.11375e-03, 8.93821e-01
6.26885e-03, 7.76412e-03, 7.01648e-03, 1.33447e-03, 8.92462e-01
7.76412e-03, 9.55843e-03, 8.66127e-03, 1.59844e-03, 8.90833e-01
9.55843e-03, 1.17116e-02, 1.06350e-02, 1.91393e-03, 8.88883e-01
1.17116e-02, 1.42954e-02, 1.30035e-02, 2.29068e-03, 8.86549e-01
1.42954e-02, 1.73960e-02, 1.58457e-02, 2.74016e-03, 8.83757e-01
1.73960e-02, 2.11167e-02, 1.92564e-02, 3.27577e-03, 8.80419e-01
2.11167e-02, 2.55815e-02, 2.33491e-02, 3.91313e-03, 8.76433e-01
2.55815e-02, 3.09393e-02, 2.82604e-02, 4.67025e-03, 8.71673e-01
3.09393e-02, 3.73687e-02, 3.41540e-02, 5.56783e-03, 8.66001e-01
3.73687e-02, 4.50839e-02, 4.12263e-02, 6.62928e-03, 8.59245e-01
4.50839e-02, 5.43422e-02, 4.97131e-02, 7.88078e-03, 8.51214e-01
5.43422e-02, 6.54521e-02, 5.98972e-02, 9.35092e-03, 8.41672e-01
6.54521e-02, 7.87841e-02, 7.21181e-02, 1.10709e-02, 8.30404e-01
7.87841e-02, 9.47824e-02, 8.67832e-02, 1.30718e-02, 8.17074e-01
9.47824e-02, 1.13980e-01, 1.04381e-01, 1.53851e-02, 8.01390e-01
1.13980e-01, 1.37018e-01, 1.25499e-01, 1.80384e-02, 7.83000e-01
1.37018e-01, 1.64663e-01, 1.50840e-01, 2.10527e-02, 7.61535e-01
1.64663e-01, 1.97837e-01, 1.81250e-01, 2.44367e-02, 7.36620e-01
1.97837e-01, 2.37646e-01, 2.17742e-01, 2.81802e-02, 7.07887e-01
2.37646e-01, 2.85417e-01, 2.61531e-01, 3.22384e-02, 6.74857e-01
2.85417e-01, 3.42742e-01, 3.14079e-01, 3.65603e-02, 6.37775e-01
3.42742e-01, 4.11531e-01, 3.77136e-01, 4.09937e-02, 5.95927e-01
4.11531e-01, 4.94079e-01, 4.52805e-01, 4.53772e-02, 5.49708e-01
4.94079e-01, 5.93136e-01, 5.43608e-01, 4.94645e-02, 4.99352e-01
5.93136e-01, 7.12005e-01, 6.52571e-01, 5.29681e-02, 4.45602e-01
7.12005e-01, 8.54648e-01, 7.83326e-01, 5.55396e-02, 3.89362e-01
8.54648e-01, 1.02582e+00, 9.40233e-01, 5.68408e-02, 3.32070e-01
1.02582e+00, 1.23122e+00, 1.12852e+00, 5.65716e-02, 2.75415e-01
1.23122e+00, 1.47771e+00, 1.35447e+00, 5.45431e-02, 2.21282e-01
1.47771e+00, 1.77349e+00, 1.62560e+00, 5.07371e-02, 1.71535e-01
1.77349e+00, 2.12843e+00, 1.95096e+00, 4.53435e-02, 1.27750e-01
2.12843e+00, 2.55436e+00, 2.34140e+00, 3.87502e-02, 9.09781e-02
2.55436e+00, 3.06548e+00, 2.80992e+00, 3.14826e-02, 6.15961e-02
3.06548e+00, 3.67881e+00, 3.37214e+00, 2.41148e-02, 3.93173e-02
3.67881e+00, 4.41482e+00, 4.04681e+00, 1.71923e-02, 2.33589e-02
4.41482e+00, 5.29802e+00, 4.85642e+00, 1.11891e-02, 1.26688e-02
5.29802e+00, 6.35787e+00, 5.82794e+00, 6.46886e-03, 6.10358e-03
6.35787e+00, 7.62968e+00, 6.99378e+00, 3.20725e-03, 2.52179e-03
7.62968e+00, 9.15586e+00, 8.39277e+00, 1.30714e-03, 8.56480e-04
9.15586e+00, 1.09873e+01, 1.00716e+01, 4.17172e-04, 2.27787e-04
1.09873e+01, 1.31850e+01, 1.20861e+01, 9.87352e-05, 4.49267e-05
1.31850e+01, 1.58222e+01, 1.45036e+01, 1.63065e-05, 6.18317e-06
1.58222e+01, 1.89869e+01, 1.74045e+01, 1.75452e-06, 5.54405e-07
1.89869e+01, 2.27845e+01, 2.08857e+01, 1.13683e-07, 2.99352e-08
2.27845e+01, 2.73417e+01, 2.50631e+01, 4.04678e-09, 8.88007e-10
2.73417e+01, 3.28102e+01, 3.00759e+01, 7.09682e-11, 1.29775e-11
3.28102e+01, 3.93725e+01, 3.60914e+01, 5.37652e-13, 8.19306e-14
3.93725e+01, 4.72473e+01, 4.33099e+01, 1.49981e-15, 1.90459e-16
4.72473e+01, 5.66969e+01, 5.19721e+01, 1.26790e-18, 1.34174e-19
5.66969e+01, 6.80366e+01, 6.23668e+01, 2.56333e-22, 2.26050e-23
6.80366e+01, 8.16441e+01, 7.48404e+01, 9.30620e-27, 6.83900e-28
8.16441e+01, 9.79732e+01, 8.98087e+01, 4.29678e-32, 2.63137e-33
9.79732e+01, 1.17568e+02, 1.07771e+02, 1.66723e-38, 8.50848e-40
1.17568e+02, 1.41082e+02, 1.29325e+02, 3.30831e-46, 1.40696e-47
1.41082e+02, 1.69299e+02, 1.55190e+02, 1.85091e-55, 6.55965e-57
1.69299e+02, 2.03159e+02, 1.86229e+02, 1.42959e-66, 4.22206e-68
2.03159e+02, 2.43790e+02, 2.23475e+02, 6.47013e-80, 1.59237e-81
2.43790e+02, 2.92549e+02, 2.68170e+02, 6.13337e-96, 1.25791e-97
2.92549e+02, 3.51059e+02, 3.21804e+02, 3.54167e-115, 6.05310e-117
3.51059e+02, 4.21271e+02, 3.86165e+02, 2.82974e-138, 4.03028e-140
4.21271e+02, 5.05525e+02, 4.63398e+02, 5.28540e-166, 6.27314e-168
5.05525e+02, 6.06631e+02, 5.56078e+02, 2.73480e-199, 2.70490e-201
6.06631e+02, 7.27957e+02, 6.67294e+02, 3.03549e-239, 2.50193e-241
7.27957e+02, 8.73548e+02, 8.00753e+02, 3.35792e-287, 2.30640e-289
8.73548e+02, 1.04826e+03, 9.60903e+02, 0.00000e+00, 0.00000e+00
1.04826e+03, 1.25791e+03, 1.15308e+03, 0.00000e+00, 0.00000e+00
