# time = 9.000000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 2.41493e-04, 1.20747e-04, 2.41464e-04, 9.99879e-01
2.41493e-04, 5.31286e-04, 3.86390e-04, 1.11577e-04, 3.85023e-01
5.31286e-04, 8.79036e-04, 7.05161e-04, 1.33820e-04, 3.84817e-01
8.79036e-04, 1.29634e-03, 1.08769e-03, 1.60481e-04, 3.84570e-01
1.29634e-03, 1.79710e-03, 1.54672e-03, 1.92429e-04, 3.84274e-01
1.79710e-03, 2.39801e-03, 2.09755e-03, 2.30702e-04, 3.83919e-01
2.39801e-03, 3.11911e-03, 2.75856e-03, 2.76535e-04, 3.83493e-01
3.11911e-03, 3.98442e-03, 3.55176e-03, 3.31401e-04, 3.82983e-01
3.98442e-03, 5.02280e-03, 4.50361e-03, 3.97047e-04, 3.82372e-01
5.02280e-03, 6.26885e-03, 5.64583e-03, 4.75545e-04, 3.81641e-01
6.26885e-03, 7.76412e-03, 7.01648e-03, 5.69345e-04, 3.80765e-01
7.76412e-03, 9.55843e-03, 8.66127e-03, 6.81334e-04, 3.79718e-01
9.55843e-03, 1.17116e-02, 1.06350e-02, 8.14906e-04, 3.78466e-01
1.17116e-02, 1.42954e-02, 1.30035e-02, 9.74021e-04, 3.76970e-01
1.42954e-02, 1.73960e-02, 1.58457e-02, 1.16329e-03, 3.75185e-01
1.73960e-02, 2.11167e-02, 1.92564e-02, 1.38803e-03, 3.73056e-01
2.11167e-02, 2.55815e-02, 2.33491e-02, 1.65432e-03, 3.70521e-01
2.55815e-02, 3.09393e-02, 2.82604e-02, 1.96903e-03, 3.67507e-01
3.09393e-02, 3.73687e-02, 3.41540e-02, 2.33984e-03, 3.63931e-01
3.73687e-02, 4.50839e-02, 4.12263e-02, 2.77514e-03, 3.59696e-01
4.50839e-02, 5.43422e-02, 4.97131e-02, 3.28386e-03, 3.54694e-01
5.43422e-02, 6.54521e-02, 5.98972e-02, 3.87520e-03, 3.48805e-01
6.54521e-02, 7.87841e-02, 7.21181e-02, 4.55816e-03, 3.41898e-01
7.87841e-02, 9.47824e-02, 8.67832e-02, 5.34076e-03, 3.33833e-01
9.47824e-02, 1.13980e-01, 1.04381e-01, 6.22908e-03, 3.24465e-01
1.13980e-01, 1.37018e-01, 1.25499e-01, 7.22585e-03, 3.13655e-01
1.37018e-01, 1.64663e-01, 1.50840e-01, 8.32874e-03, 3.01274e-01
1.64663e-01, 1.97837e-01, 1.81250e-01, 9.52826e-03, 2.87220e-01
1.97837e-01, 2.37646e-01, 2.17742e-01, 1.08056e-02, 2.71436e-01
2.37646e-01, 2.85417e-01, 2.61531e-01, 1.21304e-02, 2.53930e-01
2.85417e-01, 3.42742e-01, 3.14079e-01, 1.34597e-02, 2.34798e-01
3.42742e-01, 4.11531e-01, 3.77136e-01, 1.47378e-02, 2.14243e-01
4.11531e-01, 4.94079e-01, 4.52805e-01, 1.58984e-02, 1.92597e-01
4.94079e-01, 5.93136e-01, 5.43608e-01, 1.68709e-02, 1.70314e-01
5.93136e-01, 7.12005e-01, 6.52571e-01, 1.75882e-02, 1.47964e-01
7.12005e-01, 8.54648e-01, 7.83326e-01, 1.79989e-02, 1.26182e-01
8.54648e-01, 1.02582e+00, 9.40233e-01, 1.80776e-02, 1.05611e-01
1.02582e+00, 1.23122e+00, 1.12852e+00, 1.78328e-02, 8.68174e-02
1.23122e+00, 1.47771e+00, 1.35447e+00, 1.73063e-02, 7.02119e-02
1.47771e+00, 1.77349e+00, 1.62560e+00, 1.65637e-02, 5.59993e-02
1.77349e+00, 2.12843e+00, 1.95096e+00, 1.56775e-02, 4.41693e-02
2.12843e+00, 2.55436e+00, 2.34140e+00, 1.47104e-02, 3.45373e-02
2.55436e+00, 3.06548e+00, 2.80992e+00, 1.37053e-02, 2.68147e-02
3.06548e+00, 3.67881e+00, 3.37214e+00, 1.26849e-02, 2.06818e-02
3.67881e+00, 4.41482e+00, 4.04681e+00, 1.16579e-02, 1.58394e-02
4.41482e+00, 5.29802e+00, 4.85642e+00, 1.06261e-02, 1.20313e-02
5.29802e+00, 6.35787e+00, 5.82794e+00, 9.58893e-03, 9.04748e-03
6.35787e+00, 7.62968e+00, 6.99378e+00, 8.54578e-03, 6.71936e-03
7.62968e+00, 9.15586e+00, 8.39277e+00, 7.49753e-03, 4.91262e-03
9.15586e+00, 1.09873e+01, 1.00716e+01, 6.44841e-03, 3.52100e-03
1.09873e+01, 1.31850e+01, 1.20861e+01, 5.40776e-03, 2.46065e-03
1.31850e+01, 1.58222e+01, 1.45036e+01, 4.39149e-03, 1.66519e-03
1.58222e+01, 1.89869e+01, 1.74045e+01, 3.42293e-03, 1.08160e-03
1.89869e+01, 2.27845e+01, 2.08857e+01, 2.53200e-03, 6.66733e-04
2.27845e+01, 2.73417e+01, 2.50631e+01, 1.75202e-03, 3.84456e-04
2.73417e+01, 3.28102e+01, 3.00759e+01, 1.11338e-03, 2.03596e-04
3.28102e+01, 3.93725e+01, 3.60914e+01, 6.34821e-04, 9.67377e-05
3.93725e+01, 4.72473e+01, 4.33099e+01, 3.15333e-04, 4.00436e-05
4.72473e+01, 5.66969e+01, 5.19721e+01, 1.31505e-04, 1.39163e-05
5.66969e+01, 6.80366e+01, 6.23668e+01, 4.39714e-05, 3.87768e-06
6.80366e+01, 8.16441e+01, 7.48404e+01, 1.11385e-05, 8.18551e-07
8.16441e+01, 9.79732e+01, 8.98087e+01, 1.99512e-06, 1.22182e-07
9.79732e+01, 1.17568e+02, 1.07771e+02, 2.32670e-07, 1.18740e-08
1.17568e+02, 1.41082e+02, 1.29325e+02, 1.60195e-08, 6.81278e-10
1.41082e+02, 1.69299e+02, 1.55190e+02, 5.79941e-10, 2.05532e-11
1.69299e+02, 2.03159e+02, 1.86229e+02, 9.60974e-12, 2.83808e-13
2.03159e+02, 2.43790e+02, 2.23475e+02, 6.15671e-14, 1.51524e-15
2.43790e+02, 2.92549e+02, 2.68170e+02, 1.23904e-16, 2.54118e-18
2.92549e+02, 3.51059e+02, 3.21804e+02, 6.05915e-20, 1.03558e-21
3.51059e+02, 4.21271e+02, 3.86165e+02, 5.24269e-24, 7.46694e-26
4.21271e+02, 5.05525e+02, 4.63398e+02, 5.42617e-29, 6.44022e-31
5.05525e+02, 6.06631e+02, 5.56078e+02, 4.14604e-35, 4.10072e-37
6.06631e+02, 7.27957e+02, 6.67294e+02, 1.29104e-42, 1.06410e-44
7.27957e+02, 8.73548e+02, 8.00753e+02, 7.89434e-52, 5.42225e-54
8.73548e+02, 1.04826e+03, 9.60903e+02, 3.86997e-63, 2.21508e-65
1.04826e+03, 1.25791e+03, 1.15308e+03, 5.07216e-77, 2.41932e-79
1.25791e+03, 1.50949e+03, 1.38370e+03, 4.63321e-94, 1.84163e-96
1.50949e+03, 1.81139e+03, 1.66044e+03, 5.71347e-115, 1.89251e-117
1.81139e+03, 2.17367e+03, 1.99253e+03, 1.29198e-140, 3.56626e-143
2.17367e+03, 2.60840e+03, 2.39104e+03, 4.77090e-172, 1.09743e-174
2.60840e+03, 3.13009e+03, 2.86924e+03, 1.55485e-210, 2.98047e-213
3.13009e+03, 3.75610e+03, 3.44309e+03, 1.35410e-257, 2.16304e-260
3.75610e+03, 4.50732e+03, 4.13171e+03, 5.18201e-315, 6.89812e-318
4.50732e+03, 5.40879e+03, 4.95806e+03, 0.00000e+00, 0.00000e+00
5.40879e+03, 6.49055e+03, 5.94967e+03, 0.00000e+00, 0.00000e+00
6.49055e+03, 7.78866e+03, 7.13960e+03, 0.00000e+00, 0.00000e+00
7.78866e+03, 9.34639e+03, 8.56752e+03, 0.00000e+00, 0.00000e+00
9.34639e+03, 1.12157e+04, 1.02810e+04, 0.00000e+00, 0.00000e+00
1.12157e+04, 1.34588e+04, 1.23372e+04, 0.00000e+00, 0.00000e+00
1.34588e+04, 1.61506e+04, 1.48047e+04, 0.00000e+00, 0.00000e+00
1.61506e+04, 1.93807e+04, 1.77656e+04, 0.00000e+00, 0.00000e+00
1.93807e+04, 2.32568e+04, 2.13187e+04, 0.00000e+00, 0.00000e+00
2.32568e+04, 2.79082e+04, 2.55825e+04, 0.00000e+00, 0.00000e+00
2.79082e+04, 3.34898e+04, 3.06990e+04, 0.00000e+00, 0.00000e+00
3.34898e+04, 4.01878e+04, 3.68388e+04, 0.00000e+00, 0.00000e+00
4.01878e+04, 4.82253e+04, 4.42065e+04, 0.00000e+00, 0.00000e+00
4.82253e+04, 5.78704e+04, 5.30478e+04, 0.00000e+00, 0.00000e+00
5.78704e+04, 6.94444e+04, 6.36574e+04, 0.00000e+00, 0.00000e+00
6.94444e+04, 8.33333e+04, 7.63889e+04, 0.00000e+00, 0.00000e+00
8.33333e+04, 1.00000e+05, 9.16667e+04, 0.00000e+00, 0.00000e+00
