# time = 1.000000000000000e+00# start, end, pivot, particles, density
0.00000e+00, 1.97541e-03, 9.87707e-04, 6.73185e-04, 3.40781e-01
1.97541e-03, 4.74099e-03, 3.35820e-03, 9.38629e-04, 3.39397e-01
4.74099e-03, 8.61281e-03, 6.67690e-03, 1.30661e-03, 3.37468e-01
8.61281e-03, 1.40333e-02, 1.13231e-02, 1.81475e-03, 3.34791e-01
1.40333e-02, 2.16221e-02, 1.78277e-02, 2.51256e-03, 3.31090e-01
2.16221e-02, 3.22463e-02, 2.69342e-02, 3.46334e-03, 3.25985e-01
3.22463e-02, 4.71203e-02, 3.96833e-02, 4.74517e-03, 3.19025e-01
4.71203e-02, 6.79438e-02, 5.75321e-02, 6.44551e-03, 3.09530e-01
6.79438e-02, 9.70968e-02, 8.25203e-02, 8.65215e-03, 2.96785e-01
9.70968e-02, 1.37911e-01, 1.17504e-01, 1.14357e-02, 2.80191e-01
1.37911e-01, 1.95051e-01, 1.66481e-01, 1.47841e-02, 2.58735e-01
1.95051e-01, 2.75046e-01, 2.35049e-01, 1.85668e-02, 2.32097e-01
2.75046e-01, 3.87040e-01, 3.31043e-01, 2.24063e-02, 2.00067e-01
3.87040e-01, 5.43832e-01, 4.65436e-01, 2.58200e-02, 1.64677e-01
5.43832e-01, 7.63340e-01, 6.53586e-01, 2.80545e-02, 1.27806e-01
7.63340e-01, 1.07065e+00, 9.16996e-01, 2.86343e-02, 9.31770e-02
1.07065e+00, 1.50089e+00, 1.28577e+00, 2.75451e-02, 6.40231e-02
1.50089e+00, 2.10322e+00, 1.80205e+00, 2.53137e-02, 4.20263e-02
2.10322e+00, 2.94648e+00, 2.52485e+00, 2.26348e-02, 2.68419e-02
2.94648e+00, 4.12705e+00, 3.53676e+00, 2.00045e-02, 1.69448e-02
4.12705e+00, 5.77984e+00, 4.95345e+00, 1.73642e-02, 1.05060e-02
5.77984e+00, 8.09376e+00, 6.93680e+00, 1.47412e-02, 6.37068e-03
8.09376e+00, 1.13332e+01, 9.71349e+00, 1.20516e-02, 3.72022e-03
1.13332e+01, 1.58685e+01, 1.36009e+01, 9.26561e-03, 2.04301e-03
1.58685e+01, 2.22179e+01, 1.90432e+01, 6.43923e-03, 1.01415e-03
2.22179e+01, 3.11070e+01, 2.66624e+01, 3.76393e-03, 4.23431e-04
3.11070e+01, 4.35518e+01, 3.73294e+01, 1.52603e-03, 1.22624e-04
4.35518e+01, 6.09745e+01, 5.22631e+01, 3.98470e-04, 2.28707e-05
6.09745e+01, 8.53662e+01, 7.31704e+01, 5.51615e-05, 2.26148e-06
8.53662e+01, 1.19515e+02, 1.02440e+02, 3.19282e-06, 9.34983e-08
1.19515e+02, 1.67323e+02, 1.43419e+02, 5.62692e-08, 1.17699e-09
1.67323e+02, 2.34254e+02, 2.00788e+02, 1.86198e-10, 2.78194e-12
2.34254e+02, 3.27957e+02, 2.81105e+02, 5.55185e-14, 5.92492e-16
3.27957e+02, 4.59142e+02, 3.93549e+02, 4.91606e-19, 3.74743e-21
4.59142e+02, 6.42800e+02, 5.50971e+02, 2.41599e-26, 1.31548e-28
6.42800e+02, 8.99923e+02, 7.71361e+02, 5.72438e-37, 2.22633e-39
8.99923e+02, 1.25989e+03, 1.07991e+03, 1.82329e-52, 5.06510e-55
1.25989e+03, 1.76385e+03, 1.51187e+03, 4.17463e-75, 8.28367e-78
1.76385e+03, 2.46940e+03, 2.11662e+03, 3.68490e-108, 5.22278e-111
2.46940e+03, 3.45716e+03, 2.96328e+03, 7.63086e-156, 7.72541e-159
3.45716e+03, 4.84002e+03, 4.14859e+03, 5.87775e-224, 4.25042e-227
4.84002e+03, 6.77603e+03, 5.80803e+03, 2.86558e-322, 0.00000e+00
6.77603e+03, 9.48645e+03, 8.13124e+03, 0.00000e+00, 0.00000e+00
9.48645e+03, 1.32810e+04, 1.13837e+04, 0.00000e+00, 0.00000e+00
1.32810e+04, 1.85934e+04, 1.59372e+04, 0.00000e+00, 0.00000e+00
1.85934e+04, 2.60308e+04, 2.23121e+04, 0.00000e+00, 0.00000e+00
2.60308e+04, 3.64431e+04, 3.12370e+04, 0.00000e+00, 0.00000e+00
3.64431e+04, 5.10204e+04, 4.37318e+04, 0.00000e+00, 0.00000e+00
5.10204e+04, 7.14286e+04, 6.12245e+04, 0.00000e+00, 0.00000e+00
7.14286e+04, 1.00000e+05, 8.57143e+04, 0.00000e+00, 0.00000e+00
