# time = 3.000000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 1.97541e-03, 9.87707e-04, 1.42911e-03, 7.23446e-01
1.97541e-03, 4.74099e-03, 3.35820e-03, 1.99459e-03, 7.21219e-01
4.74099e-03, 8.61281e-03, 6.67690e-03, 2.78040e-03, 7.18114e-01
8.61281e-03, 1.40333e-02, 1.13231e-02, 3.86915e-03, 7.13794e-01
1.40333e-02, 2.16221e-02, 1.78277e-02, 5.37131e-03, 7.07799e-01
2.16221e-02, 3.22463e-02, 2.69342e-02, 7.43163e-03, 6.99497e-01
3.22463e-02, 4.71203e-02, 3.96833e-02, 1.02346e-02, 6.88088e-01
4.71203e-02, 6.79438e-02, 5.75321e-02, 1.40023e-02, 6.72426e-01
6.79438e-02, 9.70968e-02, 8.25203e-02, 1.89834e-02, 6.51165e-01
9.70968e-02, 1.37911e-01, 1.17504e-01, 2.54220e-02, 6.22872e-01
1.37911e-01, 1.95051e-01, 1.66481e-01, 3.34573e-02, 5.85535e-01
1.95051e-01, 2.75046e-01, 2.35049e-01, 4.30095e-02, 5.37647e-01
2.75046e-01, 3.87040e-01, 3.31043e-01, 5.35127e-02, 4.77817e-01
3.87040e-01, 5.43832e-01, 4.65436e-01, 6.38832e-02, 4.07441e-01
5.43832e-01, 7.63340e-01, 6.53586e-01, 7.21687e-02, 3.28774e-01
7.63340e-01, 1.07065e+00, 9.16996e-01, 7.62255e-02, 2.48040e-01
1.07065e+00, 1.50089e+00, 1.28577e+00, 7.44971e-02, 1.73154e-01
1.50089e+00, 2.10322e+00, 1.80205e+00, 6.70738e-02, 1.11357e-01
2.10322e+00, 2.94648e+00, 2.52485e+00, 5.56544e-02, 6.59989e-02
2.94648e+00, 4.12705e+00, 3.53676e+00, 4.22467e-02, 3.57851e-02
4.12705e+00, 5.77984e+00, 4.95345e+00, 2.82835e-02, 1.71125e-02
5.77984e+00, 8.09376e+00, 6.93680e+00, 1.53749e-02, 6.64453e-03
8.09376e+00, 1.13332e+01, 9.71349e+00, 5.94315e-03, 1.83460e-03
1.13332e+01, 1.58685e+01, 1.36009e+01, 1.36974e-03, 3.02019e-04
1.58685e+01, 2.22179e+01, 1.90432e+01, 1.51120e-04, 2.38007e-05
2.22179e+01, 3.11070e+01, 2.66624e+01, 5.98584e-06, 6.73389e-07
3.11070e+01, 4.35518e+01, 3.73294e+01, 5.63660e-08, 4.52929e-09
4.35518e+01, 6.09745e+01, 5.22631e+01, 6.83845e-11, 3.92503e-12
6.09745e+01, 8.53662e+01, 7.31704e+01, 4.41473e-15, 1.80993e-16
8.53662e+01, 1.19515e+02, 1.02440e+02, 4.41942e-21, 1.29418e-22
1.19515e+02, 1.67323e+02, 1.43419e+02, 1.26332e-29, 2.64249e-31
1.67323e+02, 2.34254e+02, 2.00788e+02, 1.01884e-41, 1.52222e-43
2.34254e+02, 3.27957e+02, 2.81105e+02, 9.01255e-59, 9.61817e-61
3.27957e+02, 4.59142e+02, 3.93549e+02, 8.22449e-83, 6.26939e-85
4.59142e+02, 6.42800e+02, 5.50971e+02, 1.05981e-116, 5.77054e-119
6.42800e+02, 8.99923e+02, 7.71361e+02, 2.02989e-164, 7.89464e-167
8.99923e+02, 1.25989e+03, 1.07991e+03, 1.70888e-231, 4.74726e-234
1.25989e+03, 1.76385e+03, 1.51187e+03, 0.00000e+00, 0.00000e+00
1.76385e+03, 2.46940e+03, 2.11662e+03, 0.00000e+00, 0.00000e+00
2.46940e+03, 3.45716e+03, 2.96328e+03, 0.00000e+00, 0.00000e+00
3.45716e+03, 4.84002e+03, 4.14859e+03, 0.00000e+00, 0.00000e+00
4.84002e+03, 6.77603e+03, 5.80803e+03, 0.00000e+00, 0.00000e+00
6.77603e+03, 9.48645e+03, 8.13124e+03, 0.00000e+00, 0.00000e+00
9.48645e+03, 1.32810e+04, 1.13837e+04, 0.00000e+00, 0.00000e+00
1.32810e+04, 1.85934e+04, 1.59372e+04, 0.00000e+00, 0.00000e+00
1.85934e+04, 2.60308e+04, 2.23121e+04, 0.00000e+00, 0.00000e+00
2.60308e+04, 3.64431e+04, 3.12370e+04, 0.00000e+00, 0.00000e+00
3.64431e+04, 5.10204e+04, 4.37318e+04, 0.00000e+00, 0.00000e+00
5.10204e+04, 7.14286e+04, 6.12245e+04, 0.00000e+00, 0.00000e+00
7.14286e+04, 1.00000e+05, 8.57143e+04, 0.00000e+00, 0.00000e+00
