# time = 9.000000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 1.97541e-03, 9.87707e-04, 1.97346e-03, 9.99013e-01
1.97541e-03, 4.74099e-03, 3.35820e-03, 1.04528e-03, 3.77961e-01
4.74099e-03, 8.61281e-03, 6.67690e-03, 1.45529e-03, 3.75868e-01
8.61281e-03, 1.40333e-02, 1.13231e-02, 2.02165e-03, 3.72960e-01
1.40333e-02, 2.16221e-02, 1.78277e-02, 2.79980e-03, 3.68941e-01
2.16221e-02, 3.22463e-02, 2.69342e-02, 3.86085e-03, 3.63399e-01
3.22463e-02, 4.71203e-02, 3.96833e-02, 5.29236e-03, 3.55814e-01
4.71203e-02, 6.79438e-02, 5.75321e-02, 7.19529e-03, 3.45537e-01
6.79438e-02, 9.70968e-02, 8.25203e-02, 9.67174e-03, 3.31758e-01
9.70968e-02, 1.37911e-01, 1.17504e-01, 1.28000e-02, 3.13617e-01
1.37911e-01, 1.95051e-01, 1.66481e-01, 1.65868e-02, 2.90285e-01
1.95051e-01, 2.75046e-01, 2.35049e-01, 2.08989e-02, 2.61250e-01
2.75046e-01, 3.87040e-01, 3.31043e-01, 2.53797e-02, 2.26617e-01
3.87040e-01, 5.43832e-01, 4.65436e-01, 2.94200e-02, 1.87637e-01
5.43832e-01, 7.63340e-01, 6.53586e-01, 3.22459e-02, 1.46901e-01
7.63340e-01, 1.07065e+00, 9.16996e-01, 3.32084e-02, 1.08061e-01
1.07065e+00, 1.50089e+00, 1.28577e+00, 3.21593e-02, 7.47479e-02
1.50089e+00, 2.10322e+00, 1.80205e+00, 2.95831e-02, 4.91144e-02
2.10322e+00, 2.94648e+00, 2.52485e+00, 2.62397e-02, 3.11169e-02
2.94648e+00, 4.12705e+00, 3.53676e+00, 2.26548e-02, 1.91897e-02
4.12705e+00, 5.77984e+00, 4.95345e+00, 1.90139e-02, 1.15041e-02
5.77984e+00, 8.09376e+00, 6.93680e+00, 1.53727e-02, 6.64360e-03
8.09376e+00, 1.13332e+01, 9.71349e+00, 1.17958e-02, 3.64125e-03
1.13332e+01, 1.58685e+01, 1.36009e+01, 8.40148e-03, 1.85248e-03
1.58685e+01, 2.22179e+01, 1.90432e+01, 5.38024e-03, 8.47365e-04
2.22179e+01, 3.11070e+01, 2.66624e+01, 2.96479e-03, 3.33530e-04
3.11070e+01, 4.35518e+01, 3.73294e+01, 1.32682e-03, 1.06616e-04
4.35518e+01, 6.09745e+01, 5.22631e+01, 4.48520e-04, 2.57434e-05
6.09745e+01, 8.53662e+01, 7.31704e+01, 1.05113e-04, 4.30935e-06
8.53662e+01, 1.19515e+02, 1.02440e+02, 1.55178e-05, 4.54421e-07
1.19515e+02, 1.67323e+02, 1.43419e+02, 1.30232e-06, 2.72408e-08
1.67323e+02, 2.34254e+02, 2.00788e+02, 5.54367e-08, 8.28267e-10
2.34254e+02, 3.27957e+02, 2.81105e+02, 1.02031e-09, 1.08887e-11
3.27957e+02, 4.59142e+02, 3.93549e+02, 5.98675e-12, 4.56360e-14
4.59142e+02, 6.42800e+02, 5.50971e+02, 6.45190e-15, 3.51299e-17
6.42800e+02, 8.99923e+02, 7.71361e+02, 5.80698e-19, 2.25845e-21
8.99923e+02, 1.25989e+03, 1.07991e+03, 1.55455e-24, 4.31855e-27
1.25989e+03, 1.76385e+03, 1.51187e+03, 3.07438e-32, 6.10045e-35
1.76385e+03, 2.46940e+03, 2.11662e+03, 6.22508e-43, 8.82310e-46
2.46940e+03, 3.45716e+03, 2.96328e+03, 7.72613e-58, 7.82187e-61
3.45716e+03, 4.84002e+03, 4.14859e+03, 1.16061e-78, 8.39278e-82
4.84002e+03, 6.77603e+03, 5.80803e+03, 9.03098e-108, 4.66474e-111
6.77603e+03, 9.48645e+03, 8.13124e+03, 1.74337e-148, 6.43211e-152
9.48645e+03, 1.32810e+04, 1.13837e+04, 1.82716e-205, 4.81518e-209
1.32810e+04, 1.85934e+04, 1.59372e+04, 3.14056e-285, 5.91175e-289
1.85934e+04, 2.60308e+04, 2.23121e+04, 0.00000e+00, 0.00000e+00
2.60308e+04, 3.64431e+04, 3.12370e+04, 0.00000e+00, 0.00000e+00
3.64431e+04, 5.10204e+04, 4.37318e+04, 0.00000e+00, 0.00000e+00
5.10204e+04, 7.14286e+04, 6.12245e+04, 0.00000e+00, 0.00000e+00
7.14286e+04, 1.00000e+05, 8.57143e+04, 0.00000e+00, 0.00000e+00
