# time = 8.000000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 3.32107e-02, 1.66053e-02, 1.31813e-02, 3.96899e-01
3.32107e-02, 9.29899e-02, 6.31003e-02, 2.20318e-02, 3.68554e-01
9.29899e-02, 2.00592e-01, 1.46791e-01, 3.47171e-02, 3.22642e-01
2.00592e-01, 3.94277e-01, 2.97435e-01, 5.00551e-02, 2.58436e-01
3.94277e-01, 7.42909e-01, 5.68593e-01, 6.24779e-02, 1.79209e-01
7.42909e-01, 1.37045e+00, 1.05668e+00, 6.47564e-02, 1.03191e-01
1.37045e+00, 2.50002e+00, 1.93523e+00, 5.23294e-02, 4.63269e-02
2.50002e+00, 4.53324e+00, 3.51663e+00, 4.43962e-02, 2.18354e-02
4.53324e+00, 8.19304e+00, 6.36314e+00, 3.35098e-02, 9.15619e-03
8.19304e+00, 1.47807e+01, 1.14869e+01, 2.05002e-02, 3.11192e-03
1.47807e+01, 2.66384e+01, 2.07096e+01, 8.12900e-03, 6.85542e-04
2.66384e+01, 4.79824e+01, 3.73104e+01, 1.48293e-03, 6.94776e-05
4.79824e+01, 8.64015e+01, 6.71920e+01, 8.39014e-05, 2.18385e-06
8.64015e+01, 1.55556e+02, 1.20979e+02, 8.60552e-07, 1.24439e-08
1.55556e+02, 2.80034e+02, 2.17795e+02, 6.40697e-10, 5.14707e-12
2.80034e+02, 5.04094e+02, 3.92064e+02, 6.55711e-15, 2.92649e-17
5.04094e+02, 9.07403e+02, 7.05749e+02, 4.90049e-23, 1.21507e-25
9.07403e+02, 1.63336e+03, 1.27038e+03, 1.60063e-36, 2.20486e-39
1.63336e+03, 2.94008e+03, 2.28672e+03, 1.85280e-59, 1.41790e-62
2.94008e+03, 5.29218e+03, 4.11613e+03, 2.71305e-99, 1.15346e-102
5.29218e+03, 9.52595e+03, 7.40906e+03, 1.73003e-170, 4.08627e-174
9.52595e+03, 1.71467e+04, 1.33363e+04, 2.11935e-299, 2.78101e-303
1.71467e+04, 3.08642e+04, 2.40055e+04, 0.00000e+00, 0.00000e+00
3.08642e+04, 5.55555e+04, 4.32099e+04, 0.00000e+00, 0.00000e+00
5.55555e+04, 1.00000e+05, 7.77778e+04, 0.00000e+00, 0.00000e+00
