# time = 1.000000000000000e+00# start, end, pivot, particles, density
0.00000e+00, 3.32107e-02, 1.66053e-02, 3.26652e-02, 9.83577e-01
3.32107e-02, 9.29899e-02, 6.31003e-02, 1.75155e-02, 2.93003e-01
9.29899e-02, 2.00592e-01, 1.46791e-01, 2.75270e-02, 2.55821e-01
2.00592e-01, 3.94277e-01, 2.97435e-01, 3.94325e-02, 2.03591e-01
3.94277e-01, 7.42909e-01, 5.68593e-01, 4.90772e-02, 1.40771e-01
7.42909e-01, 1.37045e+00, 1.05668e+00, 5.09126e-02, 8.11307e-02
1.37045e+00, 2.50002e+00, 1.93523e+00, 4.41315e-02, 3.90693e-02
2.50002e+00, 4.53324e+00, 3.51663e+00, 3.38638e-02, 1.66552e-02
4.53324e+00, 8.19304e+00, 6.36314e+00, 2.39426e-02, 6.54206e-03
8.19304e+00, 1.47807e+01, 1.14869e+01, 1.52746e-02, 2.31868e-03
1.47807e+01, 2.66384e+01, 2.07096e+01, 8.36741e-03, 7.05648e-04
2.66384e+01, 4.79824e+01, 3.73104e+01, 3.66599e-03, 1.71758e-04
4.79824e+01, 8.64015e+01, 6.71920e+01, 1.18171e-03, 3.07584e-05
8.64015e+01, 1.55556e+02, 1.20979e+02, 2.59084e-04, 3.74646e-06
1.55556e+02, 2.80034e+02, 2.17795e+02, 3.66612e-05, 2.94519e-07
2.80034e+02, 5.04094e+02, 3.92064e+02, 3.29788e-06, 1.47187e-08
5.04094e+02, 9.07403e+02, 7.05749e+02, 1.89569e-07, 4.70034e-10
9.07403e+02, 1.63336e+03, 1.27038e+03, 6.83027e-09, 9.40866e-12
1.63336e+03, 2.94008e+03, 2.28672e+03, 1.40269e-10, 1.07344e-13
2.94008e+03, 5.29218e+03, 4.11613e+03, 1.24763e-12, 5.30434e-16
5.29218e+03, 9.52595e+03, 7.40906e+03, 1.21597e-15, 2.87207e-19
9.52595e+03, 1.71467e+04, 1.33363e+04, 6.42134e-21, 8.42607e-25
1.71467e+04, 3.08642e+04, 2.40055e+04, 2.78735e-30, 2.03198e-34
3.08642e+04, 5.55555e+04, 4.32099e+04, 5.35736e-47, 2.16973e-51
5.55555e+04, 1.00000e+05, 7.77778e+04, 0.00000e+00, 0.00000e+00
