# time = 2.000000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 2.41493e-04, 1.20747e-04, 1.95340e-04, 8.08882e-01
2.41493e-04, 5.31286e-04, 3.86390e-04, 2.34332e-04, 8.08622e-01
5.31286e-04, 8.79036e-04, 7.05161e-04, 2.81090e-04, 8.08310e-01
8.79036e-04, 1.29634e-03, 1.08769e-03, 3.37152e-04, 8.07935e-01
1.29634e-03, 1.79710e-03, 1.54672e-03, 4.04358e-04, 8.07486e-01
1.79710e-03, 2.39801e-03, 2.09755e-03, 4.84905e-04, 8.06948e-01
2.39801e-03, 3.11911e-03, 2.75856e-03, 5.81421e-04, 8.06302e-01
3.11911e-03, 3.98442e-03, 3.55176e-03, 6.97036e-04, 8.05529e-01
3.98442e-03, 5.02280e-03, 4.50361e-03, 8.35480e-04, 8.04601e-01
5.02280e-03, 6.26885e-03, 5.64583e-03, 1.00119e-03, 8.03489e-01
6.26885e-03, 7.76412e-03, 7.01648e-03, 1.19944e-03, 8.02158e-01
7.76412e-03, 9.55843e-03, 8.66127e-03, 1.43646e-03, 8.00563e-01
9.55843e-03, 1.17116e-02, 1.06350e-02, 1.71965e-03, 7.98655e-01
1.17116e-02, 1.42954e-02, 1.30035e-02, 2.05768e-03, 7.96371e-01
1.42954e-02, 1.73960e-02, 1.58457e-02, 2.46075e-03, 7.93641e-01
1.73960e-02, 2.11167e-02, 1.92564e-02, 2.94075e-03, 7.90377e-01
2.11167e-02, 2.55815e-02, 2.33491e-02, 3.51152e-03, 7.86485e-01
2.55815e-02, 3.09393e-02, 2.82604e-02, 4.18892e-03, 7.81836e-01
3.09393e-02, 3.73687e-02, 3.41540e-02, 4.99115e-03, 7.76305e-01
3.73687e-02, 4.50839e-02, 4.12263e-02, 5.93859e-03, 7.69723e-01
4.50839e-02, 5.43422e-02, 4.97131e-02, 7.05397e-03, 7.61909e-01
5.43422e-02, 6.54521e-02, 5.98972e-02, 8.36166e-03, 7.52629e-01
6.54521e-02, 7.87841e-02, 7.21181e-02, 9.88845e-03, 7.41712e-01
7.87841e-02, 9.47824e-02, 8.67832e-02, 1.16597e-02, 7.28810e-01
9.47824e-02, 1.13980e-01, 1.04381e-01, 1.37011e-02, 7.13673e-01
1.13980e-01, 1.37018e-01, 1.25499e-01, 1.60337e-02, 6.95979e-01
1.37018e-01, 1.64663e-01, 1.50840e-01, 1.86716e-02, 6.75403e-01
1.64663e-01, 1.97837e-01, 1.81250e-01, 2.16170e-02, 6.51624e-01
1.97837e-01, 2.37646e-01, 2.17742e-01, 2.48545e-02, 6.24345e-01
2.37646e-01, 2.85417e-01, 2.61531e-01, 2.83313e-02, 5.93068e-01
2.85417e-01, 3.42742e-01, 3.14079e-01, 3.20139e-02, 5.58465e-01
3.42742e-01, 4.11531e-01, 3.77136e-01, 3.57393e-02, 5.19543e-01
4.11531e-01, 4.94079e-01, 4.52805e-01, 3.93780e-02, 4.77034e-01
4.94079e-01, 5.93136e-01, 5.43608e-01, 4.27168e-02, 4.31233e-01
5.93136e-01, 7.12005e-01, 6.52571e-01, 4.55294e-02, 3.83022e-01
7.12005e-01, 8.54648e-01, 7.83326e-01, 4.75428e-02, 3.33300e-01
8.54648e-01, 1.02582e+00, 9.40233e-01, 4.85230e-02, 2.83477e-01
1.02582e+00, 1.23122e+00, 1.12852e+00, 4.82823e-02, 2.35059e-01
1.23122e+00, 1.47771e+00, 1.35447e+00, 4.67349e-02, 1.89604e-01
1.47771e+00, 1.77349e+00, 1.62560e+00, 4.39232e-02, 1.48498e-01
1.77349e+00, 2.12843e+00, 1.95096e+00, 4.00202e-02, 1.12752e-01
2.12843e+00, 2.55436e+00, 2.34140e+00, 3.52930e-02, 8.28613e-02
2.55436e+00, 3.06548e+00, 2.80992e+00, 3.00462e-02, 5.87857e-02
3.06548e+00, 3.67881e+00, 3.37214e+00, 2.45713e-02, 4.00616e-02
3.67881e+00, 4.41482e+00, 4.04681e+00, 1.91328e-02, 2.59956e-02
4.41482e+00, 5.29802e+00, 4.85642e+00, 1.39895e-02, 1.58394e-02
5.29802e+00, 6.35787e+00, 5.82794e+00, 9.41507e-03, 8.88343e-03
6.35787e+00, 7.62968e+00, 6.99378e+00, 5.67702e-03, 4.46372e-03
7.62968e+00, 9.15586e+00, 8.39277e+00, 2.96102e-03, 1.94015e-03
9.15586e+00, 1.09873e+01, 1.00716e+01, 1.27834e-03, 6.98008e-04
1.09873e+01, 1.31850e+01, 1.20861e+01, 4.33133e-04, 1.97085e-04
1.31850e+01, 1.58222e+01, 1.45036e+01, 1.08221e-04, 4.10357e-05
1.58222e+01, 1.89869e+01, 1.74045e+01, 1.85637e-05, 5.86589e-06
1.89869e+01, 2.27845e+01, 2.08857e+01, 2.01537e-06, 5.30692e-07
2.27845e+01, 2.73417e+01, 2.50631e+01, 1.26240e-07, 2.77016e-08
2.73417e+01, 3.28102e+01, 3.00759e+01, 4.10353e-09, 7.50384e-10
3.28102e+01, 3.93725e+01, 3.60914e+01, 6.11980e-11, 9.32571e-12
3.93725e+01, 4.72473e+01, 4.33099e+01, 3.62007e-13, 4.59706e-14
4.72473e+01, 5.66969e+01, 5.19721e+01, 7.13320e-16, 7.54860e-17
5.66969e+01, 6.80366e+01, 6.23668e+01, 3.79063e-19, 3.34282e-20
6.80366e+01, 8.16441e+01, 7.48404e+01, 4.20459e-23, 3.08989e-24
8.16441e+01, 9.79732e+01, 8.98087e+01, 7.13759e-28, 4.37109e-29
9.79732e+01, 1.17568e+02, 1.07771e+02, 1.27489e-33, 6.50626e-35
1.17568e+02, 1.41082e+02, 1.29325e+02, 1.52577e-40, 6.48882e-42
1.41082e+02, 1.69299e+02, 1.55190e+02, 7.10971e-49, 2.51969e-50
1.69299e+02, 2.03159e+02, 1.86229e+02, 6.71877e-59, 1.98428e-60
2.03159e+02, 2.43790e+02, 2.23475e+02, 5.88456e-71, 1.44826e-72
2.43790e+02, 2.92549e+02, 2.68170e+02, 1.86674e-85, 3.82856e-87
2.92549e+02, 3.51059e+02, 3.21804e+02, 6.95013e-103, 1.18785e-104
3.51059e+02, 4.21271e+02, 3.86165e+02, 7.86118e-124, 1.11964e-125
4.21271e+02, 5.05525e+02, 4.63398e+02, 5.34117e-149, 6.33934e-151
5.05525e+02, 6.06631e+02, 5.56078e+02, 3.12047e-179, 3.08636e-181
6.06631e+02, 7.27957e+02, 6.67294e+02, 1.52340e-215, 1.25562e-217
7.27957e+02, 8.73548e+02, 8.00753e+02, 3.79556e-259, 2.60699e-261
8.73548e+02, 1.04826e+03, 9.60903e+02, 1.68817e-311, 9.66272e-314
1.04826e+03, 1.25791e+03, 1.15308e+03, 0.00000e+00, 0.00000e+00
1.25791e+03, 1.50949e+03, 1.38370e+03, 0.00000e+00, 0.00000e+00
1.50949e+03, 1.81139e+03, 1.66044e+03, 0.00000e+00, 0.00000e+00
1.81139e+03, 2.17367e+03, 1.99253e+03, 0.00000e+00, 0.00000e+00
2.17367e+03, 2.60840e+03, 2.39104e+03, 0.00000e+00, 0.00000e+00
2.60840e+03, 3.13009e+03, 2.86924e+03, 0.00000e+00, 0.00000e+00
3.13009e+03, 3.75610e+03, 3.44309e+03, 0.00000e+00, 0.00000e+00
3.75610e+03, 4.50732e+03, 4.13171e+03, 0.00000e+00, 0.00000e+00
4.50732e+03, 5.40879e+03, 4.95806e+03, 0.00000e+00, 0.00000e+00
5.40879e+03, 6.49055e+03, 5.94967e+03, 0.00000e+00, 0.00000e+00
6.49055e+03, 7.78866e+03, 7.13960e+03, 0.00000e+00, 0.00000e+00
