# time = 1.000000000000000e+00# start, end, pivot, particles, density
0.00000e+00, 2.41493e-04, 1.20747e-04, 2.41464e-04, 9.99879e-01
2.41493e-04, 5.31286e-04, 3.86390e-04, 1.00355e-04, 3.46301e-01
5.31286e-04, 8.79036e-04, 7.05161e-04, 1.20360e-04, 3.46111e-01
8.79036e-04, 1.29634e-03, 1.08769e-03, 1.44337e-04, 3.45883e-01
1.29634e-03, 1.79710e-03, 1.54672e-03, 1.73068e-04, 3.45610e-01
1.79710e-03, 2.39801e-03, 2.09755e-03, 2.07485e-04, 3.45283e-01
2.39801e-03, 3.11911e-03, 2.75856e-03, 2.48699e-04, 3.44890e-01
3.11911e-03, 3.98442e-03, 3.55176e-03, 2.98032e-04, 3.44420e-01
3.98442e-03, 5.02280e-03, 4.50361e-03, 3.57053e-04, 3.43856e-01
5.02280e-03, 6.26885e-03, 5.64583e-03, 4.27623e-04, 3.43182e-01
6.26885e-03, 7.76412e-03, 7.01648e-03, 5.11941e-04, 3.42375e-01
7.76412e-03, 9.55843e-03, 8.66127e-03, 6.12596e-04, 3.41409e-01
9.55843e-03, 1.17116e-02, 1.06350e-02, 7.32630e-04, 3.40255e-01
1.17116e-02, 1.42954e-02, 1.30035e-02, 8.75593e-04, 3.38876e-01
1.42954e-02, 1.73960e-02, 1.58457e-02, 1.04561e-03, 3.37231e-01
1.73960e-02, 2.11167e-02, 1.92564e-02, 1.24744e-03, 3.35269e-01
2.11167e-02, 2.55815e-02, 2.33491e-02, 1.48650e-03, 3.32934e-01
2.55815e-02, 3.09393e-02, 2.82604e-02, 1.76892e-03, 3.30158e-01
3.09393e-02, 3.73687e-02, 3.41540e-02, 2.10153e-03, 3.26865e-01
3.73687e-02, 4.50839e-02, 4.12263e-02, 2.49177e-03, 3.22968e-01
4.50839e-02, 5.43422e-02, 4.97131e-02, 2.94752e-03, 3.18366e-01
5.43422e-02, 6.54521e-02, 5.98972e-02, 3.47686e-03, 3.12951e-01
6.54521e-02, 7.87841e-02, 7.21181e-02, 4.08761e-03, 3.06603e-01
7.87841e-02, 9.47824e-02, 8.67832e-02, 4.78665e-03, 2.99197e-01
9.47824e-02, 1.13980e-01, 1.04381e-01, 5.57900e-03, 2.90604e-01
1.13980e-01, 1.37018e-01, 1.25499e-01, 6.46656e-03, 2.80696e-01
1.37018e-01, 1.64663e-01, 1.50840e-01, 7.44657e-03, 2.69363e-01
1.64663e-01, 1.97837e-01, 1.81250e-01, 8.50976e-03, 2.56518e-01
1.97837e-01, 2.37646e-01, 2.17742e-01, 9.63842e-03, 2.42117e-01
