# time = 5.000000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 2.41493e-04, 1.20747e-04, 2.41464e-04, 9.99879e-01
2.41493e-04, 5.31286e-04, 3.86390e-04, 1.70496e-04, 5.88339e-01
5.31286e-04, 8.79036e-04, 7.05161e-04, 2.04500e-04, 5.88066e-01
8.79036e-04, 1.29634e-03, 1.08769e-03, 2.45264e-04, 5.87739e-01
1.29634e-03, 1.79710e-03, 1.54672e-03, 2.94120e-04, 5.87347e-01
1.79710e-03, 2.39801e-03, 2.09755e-03, 3.52662e-04, 5.86877e-01
2.39801e-03, 3.11911e-03, 2.75856e-03, 4.22788e-04, 5.86313e-01
3.11911e-03, 3.98442e-03, 3.55176e-03, 5.06761e-04, 5.85637e-01
3.98442e-03, 5.02280e-03, 4.50361e-03, 6.07272e-04, 5.84828e-01
5.02280e-03, 6.26885e-03, 5.64583e-03, 7.27519e-04, 5.83858e-01
6.26885e-03, 7.76412e-03, 7.01648e-03, 8.71287e-04, 5.82697e-01
7.76412e-03, 9.55843e-03, 8.66127e-03, 1.04305e-03, 5.81308e-01
9.55843e-03, 1.17116e-02, 1.06350e-02, 1.24808e-03, 5.79646e-01
1.17116e-02, 1.42954e-02, 1.30035e-02, 1.49256e-03, 5.77659e-01
1.42954e-02, 1.73960e-02, 1.58457e-02, 1.78372e-03, 5.75286e-01
1.73960e-02, 2.11167e-02, 1.92564e-02, 2.12992e-03, 5.72453e-01
2.11167e-02, 2.55815e-02, 2.33491e-02, 2.54083e-03, 5.69076e-01
2.55815e-02, 3.09393e-02, 2.82604e-02, 3.02745e-03, 5.65055e-01
3.09393e-02, 3.73687e-02, 3.41540e-02, 3.60221e-03, 5.60276e-01
3.73687e-02, 4.50839e-02, 4.12263e-02, 4.27891e-03, 5.54605e-01
4.50839e-02, 5.43422e-02, 4.97131e-02, 5.07253e-03, 5.47891e-01
5.43422e-02, 6.54521e-02, 5.98972e-02, 5.99896e-03, 5.39964e-01
6.54521e-02, 7.87841e-02, 7.21181e-02, 7.07437e-03, 5.30634e-01
7.87841e-02, 9.47824e-02, 8.67832e-02, 8.31424e-03, 5.19695e-01
9.47824e-02, 1.13980e-01, 1.04381e-01, 9.73199e-03, 5.06928e-01
1.13980e-01, 1.37018e-01, 1.25499e-01, 1.13370e-02, 4.92109e-01
1.37018e-01, 1.64663e-01, 1.50840e-01, 1.31320e-02, 4.75020e-01
1.64663e-01, 1.97837e-01, 1.81250e-01, 1.51096e-02, 4.55464e-01
