# start, end, pivot, particles, density
0.00000e+00, 2.41493e-04, 1.20747e-04, 2.41464e-04, 9.99879e-01
2.41493e-04, 5.31286e-04, 3.86390e-04, 2.89680e-04, 9.99614e-01
5.31286e-04, 8.79036e-04, 7.05161e-04, 3.47505e-04, 9.99295e-01
8.79036e-04, 1.29634e-03, 1.08769e-03, 4.16847e-04, 9.98913e-01
1.29634e-03, 1.79710e-03, 1.54672e-03, 4.99987e-04, 9.98454e-01
1.79710e-03, 2.39801e-03, 2.09755e-03, 5.99654e-04, 9.97905e-01
2.39801e-03, 3.11911e-03, 2.75856e-03, 7.19109e-04, 9.97245e-01
3.11911e-03, 3.98442e-03, 3.55176e-03, 8.62247e-04, 9.96455e-01
3.98442e-03, 5.02280e-03, 4.50361e-03, 1.03371e-03, 9.95507e-01
5.02280e-03, 6.26885e-03, 5.64583e-03, 1.23904e-03, 9.94370e-01
6.26885e-03, 7.76412e-03, 7.01648e-03, 1.48481e-03, 9.93008e-01
7.76412e-03, 9.55843e-03, 8.66127e-03, 1.77884e-03, 9.91376e-01
9.55843e-03, 1.17116e-02, 1.06350e-02, 2.13040e-03, 9.89422e-01
1.17116e-02, 1.42954e-02, 1.30035e-02, 2.55044e-03, 9.87081e-01
1.42954e-02, 1.73960e-02, 1.58457e-02, 3.05184e-03, 9.84280e-01
1.73960e-02, 2.11167e-02, 1.92564e-02, 3.64974e-03, 9.80928e-01
2.11167e-02, 2.55815e-02, 2.33491e-02, 4.36180e-03, 9.76922e-01
2.55815e-02, 3.09393e-02, 2.82604e-02, 5.20851e-03, 9.72136e-01
3.09393e-02, 3.73687e-02, 3.41540e-02, 6.21349e-03, 9.66424e-01
3.73687e-02, 4.50839e-02, 4.12263e-02, 7.40365e-03, 9.59614e-01
4.50839e-02, 5.43422e-02, 4.97131e-02, 8.80931e-03, 9.51506e-01
5.43422e-02, 6.54521e-02, 5.98972e-02, 1.04641e-02, 9.41866e-01
6.54521e-02, 7.87841e-02, 7.21181e-02, 1.24044e-02, 9.30428e-01
7.87841e-02, 9.47824e-02, 8.67832e-02, 1.46686e-02, 9.16886e-01
9.47824e-02, 1.13980e-01, 1.04381e-01, 1.72954e-02, 9.00896e-01
1.13980e-01, 1.37018e-01, 1.25499e-01, 2.03209e-02, 8.82076e-01
1.37018e-01, 1.64663e-01, 1.50840e-01, 2.37751e-02, 8.60012e-01
1.64663e-01, 1.97837e-01, 1.81250e-01, 2.76760e-02, 8.34265e-01
1.97837e-01, 2.37646e-01, 2.17742e-01, 3.20217e-02, 8.04386e-01
2.37646e-01, 2.85417e-01, 2.61531e-01, 3.67808e-02, 7.69945e-01
2.85417e-01, 3.42742e-01, 3.14079e-01, 4.18793e-02, 7.30561e-01
3.42742e-01, 4.11531e-01, 3.77136e-01, 4.71869e-02, 6.85958e-01
4.11531e-01, 4.94079e-01, 4.52805e-01, 5.25022e-02, 6.36023e-01
4.94079e-01, 5.93136e-01, 5.43608e-01, 5.75411e-02, 5.80887e-01
5.93136e-01, 7.12005e-01, 6.52571e-01, 6.19321e-02, 5.21012e-01
7.12005e-01, 8.54648e-01, 7.83326e-01, 6.52263e-02, 4.57271e-01
8.54648e-01, 1.02582e+00, 9.40233e-01, 6.69302e-02, 3.91014e-01
1.02582e+00, 1.23122e+00, 1.12852e+00, 6.65678e-02, 3.24080e-01
1.23122e+00, 1.47771e+00, 1.35447e+00, 6.37755e-02, 2.58739e-01
1.47771e+00, 1.77349e+00, 1.62560e+00, 5.84206e-02, 1.97511e-01
1.77349e+00, 2.12843e+00, 1.95096e+00, 5.07154e-02, 1.42884e-01
2.12843e+00, 2.55436e+00, 2.34140e+00, 4.12817e-02, 9.69218e-02
2.55436e+00, 3.06548e+00, 2.80992e+00, 3.11102e-02, 6.08674e-02
3.06548e+00, 3.67881e+00, 3.37214e+00, 2.13787e-02, 3.48564e-02
3.67881e+00, 4.41482e+00, 4.04681e+00, 1.31562e-02, 1.78751e-02
4.41482e+00, 5.29802e+00, 4.85642e+00, 7.09529e-03, 8.03357e-03
5.29802e+00, 6.35787e+00, 5.82794e+00, 3.26842e-03, 3.08386e-03
6.35787e+00, 7.62968e+00, 6.99378e+00, 1.24724e-03, 9.80680e-04
7.62968e+00, 9.15586e+00, 8.39277e+00, 3.80216e-04, 2.49129e-04
9.15586e+00, 1.09873e+01, 1.00716e+01, 8.86835e-05, 4.84235e-05
1.09873e+01, 1.31850e+01, 1.20861e+01, 1.50370e-05, 6.84215e-06
1.31850e+01, 1.58222e+01, 1.45036e+01, 1.74419e-06, 6.61371e-07
1.58222e+01, 1.89869e+01, 1.74045e+01, 1.28755e-07, 4.06851e-08
1.89869e+01, 2.27845e+01, 2.08857e+01, 5.54944e-09, 1.46129e-09
2.27845e+01, 2.73417e+01, 2.50631e+01, 1.25960e-10, 2.76401e-11
2.73417e+01, 3.28102e+01, 3.00759e+01, 1.32995e-12, 2.43199e-13
3.28102e+01, 3.93725e+01, 3.60914e+01, 5.62454e-15, 8.57100e-16
3.93725e+01, 4.72473e+01, 4.33099e+01, 7.95373e-18, 1.01003e-18
4.72473e+01, 5.66969e+01, 5.19721e+01, 3.02513e-21, 3.20130e-22
5.66969e+01, 6.80366e+01, 6.23668e+01, 2.38135e-25, 2.10003e-26
6.80366e+01, 8.16441e+01, 7.48404e+01, 2.83198e-30, 2.08118e-31
8.16441e+01, 9.79732e+01, 8.98087e+01, 3.48661e-36, 2.13522e-37
9.79732e+01, 1.17568e+02, 1.07771e+02, 2.82344e-43, 1.44091e-44
1.17568e+02, 1.41082e+02, 1.29325e+02, 8.72629e-52, 3.71113e-53
1.41082e+02, 1.69299e+02, 1.55190e+02, 5.35662e-62, 1.89839e-63
1.69299e+02, 2.03159e+02, 1.86229e+02, 2.98239e-74, 8.80801e-76
2.03159e+02, 2.43790e+02, 2.23475e+02, 5.87993e-89, 1.44712e-90
2.43790e+02, 2.92549e+02, 2.68170e+02, 1.32783e-106, 2.72328e-108
2.92549e+02, 3.51059e+02, 3.21804e+02, 8.86472e-128, 1.51508e-129
3.51059e+02, 4.21271e+02, 3.86165e+02, 3.44424e-153, 4.90548e-155
4.21271e+02, 5.05525e+02, 4.63398e+02, 1.10766e-183, 1.31466e-185
5.05525e+02, 6.06631e+02, 5.56078e+02, 2.83912e-220, 2.80808e-222
6.06631e+02, 7.27957e+02, 6.67294e+02, 3.49716e-264, 2.88244e-266
7.27957e+02, 8.73548e+02, 8.00753e+02, 7.11792e-317, 4.88898e-319
8.73548e+02, 1.04826e+03, 9.60903e+02, 0.00000e+00, 0.00000e+00
1.04826e+03, 1.25791e+03, 1.15308e+03, 0.00000e+00, 0.00000e+00
1.25791e+03, 1.50949e+03, 1.38370e+03, 0.00000e+00, 0.00000e+00
1.50949e+03, 1.81139e+03, 1.66044e+03, 0.00000e+00, 0.00000e+00
1.81139e+03, 2.17367e+03, 1.99253e+03, 0.00000e+00, 0.00000e+00
2.17367e+03, 2.60840e+03, 2.39104e+03, 0.00000e+00, 0.00000e+00
2.60840e+03, 3.13009e+03, 2.86924e+03, 0.00000e+00, 0.00000e+00
3.13009e+03, 3.75610e+03, 3.44309e+03, 0.00000e+00, 0.00000e+00
3.75610e+03, 4.50732e+03, 4.13171e+03, 0.00000e+00, 0.00000e+00
4.50732e+03, 5.40879e+03, 4.95806e+03, 0.00000e+00, 0.00000e+00
5.40879e+03, 6.49055e+03, 5.94967e+03, 0.00000e+00, 0.00000e+00
6.49055e+03, 7.78866e+03, 7.13960e+03, 0.00000e+00, 0.00000e+00
