# time = 9.000000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 1.97541e-03, 9.87707e-04, 7.49602e-04, 3.79466e-01
1.97541e-03, 4.74099e-03, 3.35820e-03, 1.04528e-03, 3.77962e-01
4.74099e-03, 8.61281e-03, 6.67690e-03, 1.45528e-03, 3.75866e-01
8.61281e-03, 1.40333e-02, 1.13231e-02, 2.02163e-03, 3.72958e-01
1.40333e-02, 2.16221e-02, 1.78277e-02, 2.79976e-03, 3.68935e-01
2.16221e-02, 3.22463e-02, 2.69342e-02, 3.86068e-03, 3.63383e-01
3.22463e-02, 4.71203e-02, 3.96833e-02, 5.29230e-03, 3.55810e-01
4.71203e-02, 6.79438e-02, 5.75321e-02, 7.19393e-03, 3.45471e-01
6.79438e-02, 9.70968e-02, 8.25203e-02, 9.66647e-03, 3.31578e-01
9.70968e-02, 1.37911e-01, 1.17504e-01, 1.27933e-02, 3.13453e-01
1.37911e-01, 1.95051e-01, 1.66481e-01, 1.65689e-02, 2.89972e-01
1.95051e-01, 2.75046e-01, 2.35049e-01, 2.08573e-02, 2.60730e-01
2.75046e-01, 3.87040e-01, 3.31043e-01, 2.52479e-02, 2.25440e-01
3.87040e-01, 5.43832e-01, 4.65436e-01, 2.91986e-02, 1.86226e-01
5.43832e-01, 7.63340e-01, 6.53586e-01, 3.18520e-02, 1.45106e-01
7.63340e-01, 1.07065e+00, 9.16996e-01, 3.26316e-02, 1.06184e-01
1.07065e+00, 1.50089e+00, 1.28577e+00, 3.14695e-02, 7.31448e-02
1.50089e+00, 2.10322e+00, 1.80205e+00, 2.89322e-02, 4.80337e-02
2.10322e+00, 2.94648e+00, 2.52485e+00, 2.58023e-02, 3.05981e-02
2.94648e+00, 4.12705e+00, 3.53676e+00, 2.26652e-02, 1.91986e-02
4.12705e+00, 5.77984e+00, 4.95345e+00, 1.94773e-02, 1.17845e-02
5.77984e+00, 8.09376e+00, 6.93680e+00, 1.62445e-02, 7.02037e-03
8.09376e+00, 1.13332e+01, 9.71349e+00, 1.28831e-02, 3.97691e-03
1.13332e+01, 1.58685e+01, 1.36009e+01, 9.40835e-03, 2.07448e-03
1.58685e+01, 2.22179e+01, 1.90432e+01, 5.98354e-03, 9.42382e-04
2.22179e+01, 3.11070e+01, 2.66624e+01, 2.88159e-03, 3.24170e-04
3.11070e+01, 4.35518e+01, 3.73294e+01, 9.25178e-04, 7.43426e-05
4.35518e+01, 6.09745e+01, 5.22631e+01, 1.71989e-04, 9.87158e-06
6.09745e+01, 8.53662e+01, 7.31704e+01, 1.47903e-05, 6.06366e-07
8.53662e+01, 1.19515e+02, 1.02440e+02, 4.45273e-07, 1.30393e-08
1.19515e+02, 1.67323e+02, 1.43419e+02, 3.11056e-09, 6.50639e-11
1.67323e+02, 2.34254e+02, 2.00788e+02, 2.68341e-12, 4.00921e-14
2.34254e+02, 3.27957e+02, 2.81105e+02, 1.09264e-16, 1.16606e-18
3.27957e+02, 4.59142e+02, 3.93549e+02, 4.83946e-23, 3.68904e-25
4.59142e+02, 6.42800e+02, 5.50971e+02, 2.72412e-32, 1.48325e-34
6.42800e+02, 8.99923e+02, 7.71361e+02, 8.49090e-46, 3.30228e-48
8.99923e+02, 1.25989e+03, 1.07991e+03, 1.53870e-65, 4.27451e-68
1.25989e+03, 1.76385e+03, 1.51187e+03, 2.55590e-94, 5.07165e-97
1.76385e+03, 2.46940e+03, 2.11662e+03, 1.25008e-135, 1.77179e-138
2.46940e+03, 3.45716e+03, 2.96328e+03, 1.31940e-194, 1.33575e-197
3.45716e+03, 4.84002e+03, 4.14859e+03, 1.47403e-279, 1.06593e-282
4.84002e+03, 6.77603e+03, 5.80803e+03, 0.00000e+00, 0.00000e+00
6.77603e+03, 9.48645e+03, 8.13124e+03, 0.00000e+00, 0.00000e+00
9.48645e+03, 1.32810e+04, 1.13837e+04, 0.00000e+00, 0.00000e+00
1.32810e+04, 1.85934e+04, 1.59372e+04, 0.00000e+00, 0.00000e+00
1.85934e+04, 2.60308e+04, 2.23121e+04, 0.00000e+00, 0.00000e+00
2.60308e+04, 3.64431e+04, 3.12370e+04, 0.00000e+00, 0.00000e+00
3.64431e+04, 5.10204e+04, 4.37318e+04, 0.00000e+00, 0.00000e+00
5.10204e+04, 7.14286e+04, 6.12245e+04, 0.00000e+00, 0.00000e+00
7.14286e+04, 1.00000e+05, 8.57143e+04, 0.00000e+00, 0.00000e+00
