# time = 1.000000000000000e+00# start, end, pivot, particles, density
0.00000e+00, 1.97541e-03, 9.87707e-04, 1.97346e-03, 9.99013e-01
1.97541e-03, 4.74099e-03, 3.35820e-03, 9.38627e-04, 3.39396e-01
4.74099e-03, 8.61281e-03, 6.67690e-03, 1.30662e-03, 3.37470e-01
8.61281e-03, 1.40333e-02, 1.13231e-02, 1.81476e-03, 3.34794e-01
1.40333e-02, 2.16221e-02, 1.78277e-02, 2.51260e-03, 3.31096e-01
2.16221e-02, 3.22463e-02, 2.69342e-02, 3.46351e-03, 3.26000e-01
3.22463e-02, 4.71203e-02, 3.96833e-02, 4.74522e-03, 3.19029e-01
4.71203e-02, 6.79438e-02, 5.75321e-02, 6.44681e-03, 3.09592e-01
6.79438e-02, 9.70968e-02, 8.25203e-02, 8.65716e-03, 2.96956e-01
9.70968e-02, 1.37911e-01, 1.17504e-01, 1.14421e-02, 2.80346e-01
1.37911e-01, 1.95051e-01, 1.66481e-01, 1.48010e-02, 2.59031e-01
1.95051e-01, 2.75046e-01, 2.35049e-01, 1.86059e-02, 2.32587e-01
2.75046e-01, 3.87040e-01, 3.31043e-01, 2.25298e-02, 2.01169e-01
3.87040e-01, 5.43832e-01, 4.65436e-01, 2.60263e-02, 1.65993e-01
5.43832e-01, 7.63340e-01, 6.53586e-01, 2.84194e-02, 1.29468e-01
7.63340e-01, 1.07065e+00, 9.16996e-01, 2.91668e-02, 9.49097e-02
1.07065e+00, 1.50089e+00, 1.28577e+00, 2.81847e-02, 6.55099e-02
1.50089e+00, 2.10322e+00, 1.80205e+00, 2.59335e-02, 4.30552e-02
2.10322e+00, 2.94648e+00, 2.52485e+00, 2.30810e-02, 2.73710e-02
2.94648e+00, 4.12705e+00, 3.53676e+00, 2.00706e-02, 1.70008e-02
4.12705e+00, 5.77984e+00, 4.95345e+00, 1.70520e-02, 1.03171e-02
5.77984e+00, 8.09376e+00, 6.93680e+00, 1.40611e-02, 6.07678e-03
8.09376e+00, 1.13332e+01, 9.71349e+00, 1.11270e-02, 3.43480e-03
1.13332e+01, 1.58685e+01, 1.36009e+01, 8.30564e-03, 1.83134e-03
1.58685e+01, 2.22179e+01, 1.90432e+01, 5.70304e-03, 8.98205e-04
2.22179e+01, 3.11070e+01, 2.66624e+01, 3.47771e-03, 3.91231e-04
3.11070e+01, 4.35518e+01, 3.73294e+01, 1.79628e-03, 1.44340e-04
4.35518e+01, 6.09745e+01, 5.22631e+01, 7.39508e-04, 4.24451e-05
6.09745e+01, 8.53662e+01, 7.31704e+01, 2.25370e-04, 9.23959e-06
8.53662e+01, 1.19515e+02, 1.02440e+02, 4.67339e-05, 1.36855e-06
1.19515e+02, 1.67323e+02, 1.43419e+02, 6.02851e-06, 1.26099e-07
1.67323e+02, 2.34254e+02, 2.00788e+02, 4.41937e-07, 6.60287e-09
2.34254e+02, 3.27957e+02, 2.81105e+02, 1.67240e-08, 1.78478e-10
3.27957e+02, 4.59142e+02, 3.93549e+02, 2.83410e-10, 2.16039e-12
4.59142e+02, 6.42800e+02, 5.50971e+02, 1.59299e-12, 8.67362e-15
6.42800e+02, 8.99923e+02, 7.71361e+02, 1.68610e-15, 6.55759e-18
8.99923e+02, 1.25989e+03, 1.07991e+03, 1.50461e-19, 4.17982e-22
1.25989e+03, 1.76385e+03, 1.51187e+03, 4.00713e-25, 7.95130e-28
1.76385e+03, 2.46940e+03, 2.11662e+03, 7.89726e-33, 1.11932e-35
2.46940e+03, 3.45716e+03, 2.96328e+03, 1.59522e-43, 1.61498e-46
3.45716e+03, 4.84002e+03, 4.14859e+03, 1.97653e-58, 1.42930e-61
4.84002e+03, 6.77603e+03, 5.80803e+03, 2.96558e-79, 1.53180e-82
6.77603e+03, 9.48645e+03, 8.13124e+03, 2.30564e-108, 8.50658e-112
9.48645e+03, 1.32810e+04, 1.13837e+04, 4.44820e-149, 1.17225e-152
1.32810e+04, 1.85934e+04, 1.59372e+04, 4.66000e-206, 8.77190e-210
1.85934e+04, 2.60308e+04, 2.23121e+04, 8.00727e-286, 1.07662e-289
2.60308e+04, 3.64431e+04, 3.12370e+04, 0.00000e+00, 0.00000e+00
3.64431e+04, 5.10204e+04, 4.37318e+04, 0.00000e+00, 0.00000e+00
5.10204e+04, 7.14286e+04, 6.12245e+04, 0.00000e+00, 0.00000e+00
7.14286e+04, 1.00000e+05, 8.57143e+04, 0.00000e+00, 0.00000e+00
