# time = 7.000000000000001e-01# start, end, pivot, particles, density
0.00000e+00, 1.97541e-03, 9.87707e-04, 1.97346e-03, 9.99013e-01
1.97541e-03, 4.74099e-03, 3.35820e-03, 1.29639e-03, 4.68759e-01
4.74099e-03, 8.61281e-03, 6.67690e-03, 1.80549e-03, 4.66317e-01
8.61281e-03, 1.40333e-02, 1.13231e-02, 2.50928e-03, 4.62921e-01
1.40333e-02, 2.16221e-02, 1.78277e-02, 3.47735e-03, 4.58224e-01
2.16221e-02, 3.22463e-02, 2.69342e-02, 4.79941e-03, 4.51741e-01
3.22463e-02, 4.71203e-02, 3.96833e-02, 6.58700e-03, 4.42855e-01
4.71203e-02, 6.79438e-02, 5.75321e-02, 8.97054e-03, 4.30788e-01
6.79438e-02, 9.70968e-02, 8.25203e-02, 1.20858e-02, 4.14566e-01
9.70968e-02, 1.37911e-01, 1.17504e-01, 1.60449e-02, 3.93122e-01
1.37911e-01, 1.95051e-01, 1.66481e-01, 2.08785e-02, 3.65393e-01
1.95051e-01, 2.75046e-01, 2.35049e-01, 2.64491e-02, 3.30632e-01
2.75046e-01, 3.87040e-01, 3.31043e-01, 3.23399e-02, 2.88765e-01
3.87040e-01, 5.43832e-01, 4.65436e-01, 3.77937e-02, 2.41044e-01
5.43832e-01, 7.63340e-01, 6.53586e-01, 4.17888e-02, 1.90375e-01
7.63340e-01, 1.07065e+00, 9.16996e-01, 4.33761e-02, 1.41147e-01
1.07065e+00, 1.50089e+00, 1.28577e+00, 4.21878e-02, 9.80573e-02
1.50089e+00, 2.10322e+00, 1.80205e+00, 3.87146e-02, 6.42748e-02
2.10322e+00, 2.94648e+00, 2.52485e+00, 3.39397e-02, 4.02481e-02
2.94648e+00, 4.12705e+00, 3.53676e+00, 2.86336e-02, 2.42541e-02
4.12705e+00, 5.77984e+00, 4.95345e+00, 2.31225e-02, 1.39899e-02
5.77984e+00, 8.09376e+00, 6.93680e+00, 1.75804e-02, 7.59768e-03
8.09376e+00, 1.13332e+01, 9.71349e+00, 1.22671e-02, 3.78675e-03
1.13332e+01, 1.58685e+01, 1.36009e+01, 7.57132e-03, 1.66943e-03
1.58685e+01, 2.22179e+01, 1.90432e+01, 3.92772e-03, 6.18599e-04
2.22179e+01, 3.11070e+01, 2.66624e+01, 1.60044e-03, 1.80045e-04
3.11070e+01, 4.35518e+01, 3.73294e+01, 4.70270e-04, 3.77886e-05
4.35518e+01, 6.09745e+01, 5.22631e+01, 8.98887e-05, 5.15929e-06
6.09745e+01, 8.53662e+01, 7.31704e+01, 9.90451e-06, 4.06060e-07
8.53662e+01, 1.19515e+02, 1.02440e+02, 5.44041e-07, 1.59316e-08
1.19515e+02, 1.67323e+02, 1.43419e+02, 1.22049e-08, 2.55290e-10
1.67323e+02, 2.34254e+02, 2.00788e+02, 8.05721e-11, 1.20381e-12
2.34254e+02, 3.27957e+02, 2.81105e+02, 9.19703e-14, 9.81505e-16
3.27957e+02, 4.59142e+02, 3.93549e+02, 8.52035e-18, 6.49492e-20
4.59142e+02, 6.42800e+02, 5.50971e+02, 2.31911e-23, 1.26273e-25
6.42800e+02, 8.99923e+02, 7.71361e+02, 4.63444e-31, 1.80243e-33
8.99923e+02, 1.25989e+03, 1.07991e+03, 9.44789e-42, 2.62462e-44
1.25989e+03, 1.76385e+03, 1.51187e+03, 1.17794e-56, 2.33737e-59
1.76385e+03, 2.46940e+03, 2.11662e+03, 1.77501e-77, 2.51580e-80
2.46940e+03, 3.45716e+03, 2.96328e+03, 1.38417e-106, 1.40132e-109
3.45716e+03, 4.84002e+03, 4.14859e+03, 2.67607e-147, 1.93516e-150
4.84002e+03, 6.77603e+03, 5.80803e+03, 2.80766e-204, 1.45023e-207
6.77603e+03, 9.48645e+03, 8.13124e+03, 4.82950e-284, 1.78183e-287
9.48645e+03, 1.32810e+04, 1.13837e+04, 0.00000e+00, 0.00000e+00
1.32810e+04, 1.85934e+04, 1.59372e+04, 0.00000e+00, 0.00000e+00
1.85934e+04, 2.60308e+04, 2.23121e+04, 0.00000e+00, 0.00000e+00
2.60308e+04, 3.64431e+04, 3.12370e+04, 0.00000e+00, 0.00000e+00
3.64431e+04, 5.10204e+04, 4.37318e+04, 0.00000e+00, 0.00000e+00
5.10204e+04, 7.14286e+04, 6.12245e+04, 0.00000e+00, 0.00000e+00
7.14286e+04, 1.00000e+05, 8.57143e+04, 0.00000e+00, 0.00000e+00
