# time = 7.000000000000001e-01# start, end, pivot, particles, density
0.00000e+00, 3.32107e-02, 1.66053e-02, 1.47582e-02, 4.44381e-01
3.32107e-02, 9.29899e-02, 6.31003e-02, 2.47234e-02, 4.13578e-01
9.29899e-02, 2.00592e-01, 1.46791e-01, 3.91162e-02, 3.63525e-01
2.00592e-01, 3.94277e-01, 2.97435e-01, 5.67304e-02, 2.92901e-01
3.94277e-01, 7.42909e-01, 5.68593e-01, 7.13865e-02, 2.04762e-01
7.42909e-01, 1.37045e+00, 1.05668e+00, 7.45313e-02, 1.18768e-01
1.37045e+00, 2.50002e+00, 1.93523e+00, 6.06529e-02, 5.36957e-02
2.50002e+00, 4.53324e+00, 3.51663e+00, 5.07068e-02, 2.49391e-02
4.53324e+00, 8.19304e+00, 6.36314e+00, 3.64823e-02, 9.96838e-03
8.19304e+00, 1.47807e+01, 1.14869e+01, 1.98588e-02, 3.01455e-03
1.47807e+01, 2.66384e+01, 2.07096e+01, 6.27202e-03, 5.28938e-04
2.66384e+01, 4.79824e+01, 3.73104e+01, 7.95558e-04, 3.72732e-05
4.79824e+01, 8.64015e+01, 6.71920e+01, 2.62460e-05, 6.83149e-07
8.64015e+01, 1.55556e+02, 1.20979e+02, 1.17888e-07, 1.70471e-09
1.55556e+02, 2.80034e+02, 2.17795e+02, 2.24305e-11, 1.80196e-13
2.80034e+02, 5.04094e+02, 3.92064e+02, 2.09990e-17, 9.37204e-20
5.04094e+02, 9.07403e+02, 7.05749e+02, 2.00315e-27, 4.96678e-30
9.07403e+02, 1.63336e+03, 1.27038e+03, 1.37583e-44, 1.89519e-47
1.63336e+03, 2.94008e+03, 2.28672e+03, 1.17321e-74, 8.97830e-78
2.94008e+03, 5.29218e+03, 4.11613e+03, 6.05108e-129, 2.57263e-132
5.29218e+03, 9.52595e+03, 7.40906e+03, 4.82932e-228, 1.14067e-231
9.52595e+03, 1.71467e+04, 1.33363e+04, 0.00000e+00, 0.00000e+00
1.71467e+04, 3.08642e+04, 2.40055e+04, 0.00000e+00, 0.00000e+00
3.08642e+04, 5.55555e+04, 4.32099e+04, 0.00000e+00, 0.00000e+00
5.55555e+04, 1.00000e+05, 7.77778e+04, 0.00000e+00, 0.00000e+00
