# time = 5.000000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 3.32107e-02, 1.66053e-02, 3.26652e-02, 9.83577e-01
3.32107e-02, 9.29899e-02, 6.31003e-02, 3.11738e-02, 5.21482e-01
9.29899e-02, 2.00592e-01, 1.46791e-01, 4.99329e-02, 4.64050e-01
2.00592e-01, 3.94277e-01, 2.97435e-01, 7.36100e-02, 3.80051e-01
3.94277e-01, 7.42909e-01, 5.68593e-01, 9.51288e-02, 2.72863e-01
7.42909e-01, 1.37045e+00, 1.05668e+00, 1.01971e-01, 1.62493e-01
1.37045e+00, 2.50002e+00, 1.93523e+00, 8.74574e-02, 7.74255e-02
2.50002e+00, 4.53324e+00, 3.51663e+00, 6.04372e-02, 2.97248e-02
4.53324e+00, 8.19304e+00, 6.36314e+00, 3.37653e-02, 9.22599e-03
8.19304e+00, 1.47807e+01, 1.14869e+01, 1.41241e-02, 2.14403e-03
1.47807e+01, 2.66384e+01, 2.07096e+01, 3.92440e-03, 3.30956e-04
2.66384e+01, 4.79824e+01, 3.73104e+01, 6.37184e-04, 2.98531e-05
4.79824e+01, 8.64015e+01, 6.71920e+01, 5.36493e-05, 1.39642e-06
8.64015e+01, 1.55556e+02, 1.20979e+02, 2.05928e-06, 2.97780e-08
1.55556e+02, 2.80034e+02, 2.17795e+02, 2.68584e-08, 2.15768e-10
2.80034e+02, 5.04094e+02, 3.92064e+02, 2.81442e-11, 1.25610e-13
5.04094e+02, 9.07403e+02, 7.05749e+02, 1.51947e-16, 3.76751e-19
9.07403e+02, 1.63336e+03, 1.27038e+03, 6.67668e-26, 9.19709e-29
1.63336e+03, 2.94008e+03, 2.28672e+03, 1.29189e-42, 9.88654e-46
2.94008e+03, 5.29218e+03, 4.11613e+03, 1.16999e-72, 4.97422e-76
5.29218e+03, 9.52595e+03, 7.40906e+03, 1.00659e-126, 2.37752e-130
9.52595e+03, 1.71467e+04, 1.33363e+04, 4.92848e-224, 6.46715e-228
1.71467e+04, 3.08642e+04, 2.40055e+04, 0.00000e+00, 0.00000e+00
3.08642e+04, 5.55555e+04, 4.32099e+04, 0.00000e+00, 0.00000e+00
5.55555e+04, 1.00000e+05, 7.77778e+04, 0.00000e+00, 0.00000e+00
