# start, end, pivot, particles, density
0.00000e+00, 3.32107e-02, 1.66053e-02, 3.26652e-02, 9.83577e-01
3.32107e-02, 9.29899e-02, 6.31003e-02, 5.61320e-02, 9.38989e-01
9.29899e-02, 2.00592e-01, 1.46791e-01, 9.29569e-02, 8.63891e-01
2.00592e-01, 3.94277e-01, 2.97435e-01, 1.44079e-01, 7.43883e-01
3.94277e-01, 7.42909e-01, 5.68593e-01, 1.98439e-01, 5.69194e-01
7.42909e-01, 1.37045e+00, 1.05668e+00, 2.21735e-01, 3.53340e-01
1.37045e+00, 2.50002e+00, 1.93523e+00, 1.71910e-01, 1.52191e-01
2.50002e+00, 4.53324e+00, 3.51663e+00, 7.13379e-02, 3.50861e-02
4.53324e+00, 8.19304e+00, 6.36314e+00, 1.04692e-02, 2.86060e-03
8.19304e+00, 1.47807e+01, 1.14869e+01, 2.76191e-04, 4.19256e-05
1.47807e+01, 2.66384e+01, 2.07096e+01, 3.80914e-07, 3.21236e-08
2.66384e+01, 4.79824e+01, 3.73104e+01, 2.69818e-12, 1.26414e-13
4.79824e+01, 8.64015e+01, 6.71920e+01, 1.45046e-21, 3.77535e-23
8.64015e+01, 1.55556e+02, 1.20979e+02, 2.99424e-38, 4.32978e-40
1.55556e+02, 2.80034e+02, 2.17795e+02, 2.77263e-68, 2.22741e-70
2.80034e+02, 5.04094e+02, 3.92064e+02, 2.41430e-122, 1.07752e-124
5.04094e+02, 9.07403e+02, 7.05749e+02, 1.19004e-219, 2.95070e-222
9.07403e+02, 1.63336e+03, 1.27038e+03, 0.00000e+00, 0.00000e+00
1.63336e+03, 2.94008e+03, 2.28672e+03, 0.00000e+00, 0.00000e+00
2.94008e+03, 5.29218e+03, 4.11613e+03, 0.00000e+00, 0.00000e+00
5.29218e+03, 9.52595e+03, 7.40906e+03, 0.00000e+00, 0.00000e+00
9.52595e+03, 1.71467e+04, 1.33363e+04, 0.00000e+00, 0.00000e+00
1.71467e+04, 3.08642e+04, 2.40055e+04, 0.00000e+00, 0.00000e+00
3.08642e+04, 5.55555e+04, 4.32099e+04, 0.00000e+00, 0.00000e+00
5.55555e+04, 1.00000e+05, 7.77778e+04, 0.00000e+00, 0.00000e+00
