# time = 6.300000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 2.41493e-04, 1.20747e-04, 1.27735e-04, 5.28938e-01
2.41493e-04, 5.31286e-04, 3.86390e-04, 1.53222e-04, 5.28731e-01
5.31286e-04, 8.79036e-04, 7.05161e-04, 1.83780e-04, 5.28482e-01
8.79036e-04, 1.29634e-03, 1.08769e-03, 2.20412e-04, 5.28185e-01
1.29634e-03, 1.79710e-03, 1.54672e-03, 2.64316e-04, 5.27828e-01
1.79710e-03, 2.39801e-03, 2.09755e-03, 3.16922e-04, 5.27400e-01
2.39801e-03, 3.11911e-03, 2.75856e-03, 3.79936e-04, 5.26887e-01
3.11911e-03, 3.98442e-03, 3.55176e-03, 4.55392e-04, 5.26273e-01
3.98442e-03, 5.02280e-03, 4.50361e-03, 5.45705e-04, 5.25536e-01
5.02280e-03, 6.26885e-03, 5.64583e-03, 6.53746e-04, 5.24654e-01
6.26885e-03, 7.76412e-03, 7.01648e-03, 7.82918e-04, 5.23598e-01
7.76412e-03, 9.55843e-03, 8.66127e-03, 9.37231e-04, 5.22333e-01
9.55843e-03, 1.17116e-02, 1.06350e-02, 1.12142e-03, 5.20822e-01
1.17116e-02, 1.42954e-02, 1.30035e-02, 1.34104e-03, 5.19014e-01
1.42954e-02, 1.73960e-02, 1.58457e-02, 1.60255e-03, 5.16856e-01
1.73960e-02, 2.11167e-02, 1.92564e-02, 1.91347e-03, 5.14278e-01
2.11167e-02, 2.55815e-02, 2.33491e-02, 2.28248e-03, 5.11212e-01
2.55815e-02, 3.09393e-02, 2.82604e-02, 2.71937e-03, 5.07553e-01
3.09393e-02, 3.73687e-02, 3.41540e-02, 3.23534e-03, 5.03213e-01
3.73687e-02, 4.50839e-02, 4.12263e-02, 3.84265e-03, 4.98060e-01
4.50839e-02, 5.43422e-02, 4.97131e-02, 4.55472e-03, 4.91962e-01
5.43422e-02, 6.54521e-02, 5.98972e-02, 5.38537e-03, 4.84735e-01
6.54521e-02, 7.87841e-02, 7.21181e-02, 6.35005e-03, 4.76304e-01
7.87841e-02, 9.47824e-02, 8.67832e-02, 7.46109e-03, 4.66368e-01
9.47824e-02, 1.13980e-01, 1.04381e-01, 8.73110e-03, 4.54793e-01
1.13980e-01, 1.37018e-01, 1.25499e-01, 1.01680e-02, 4.41367e-01
1.37018e-01, 1.64663e-01, 1.50840e-01, 1.17739e-02, 4.25896e-01
1.64663e-01, 1.97837e-01, 1.81250e-01, 1.35419e-02, 4.08208e-01
1.97837e-01, 2.37646e-01, 2.17742e-01, 1.54527e-02, 3.88171e-01
2.37646e-01, 2.85417e-01, 2.61531e-01, 1.74544e-02, 3.65378e-01
2.85417e-01, 3.42742e-01, 3.14079e-01, 1.95452e-02, 3.40955e-01
3.42742e-01, 4.11531e-01, 3.77136e-01, 2.15819e-02, 3.13737e-01
4.11531e-01, 4.94079e-01, 4.52805e-01, 2.35059e-02, 2.84755e-01
4.94079e-01, 5.93136e-01, 5.43608e-01, 2.51922e-02, 2.54319e-01
5.93136e-01, 7.12005e-01, 6.52571e-01, 2.65322e-02, 2.23206e-01
7.12005e-01, 8.54648e-01, 7.83326e-01, 2.74032e-02, 1.92111e-01
8.54648e-01, 1.02582e+00, 9.40233e-01, 2.77266e-02, 1.61982e-01
1.02582e+00, 1.23122e+00, 1.12852e+00, 2.74610e-02, 1.33692e-01
1.23122e+00, 1.47771e+00, 1.35447e+00, 2.66227e-02, 1.08009e-01
1.47771e+00, 1.77349e+00, 1.62560e+00, 2.52808e-02, 8.54705e-02
1.77349e+00, 2.12843e+00, 1.95096e+00, 2.35457e-02, 6.63371e-02
2.12843e+00, 2.55436e+00, 2.34140e+00, 2.15430e-02, 5.05790e-02
2.55436e+00, 3.06548e+00, 2.80992e+00, 1.93913e-02, 3.79394e-02
3.06548e+00, 3.67881e+00, 3.37214e+00, 1.71849e-02, 2.80186e-02
3.67881e+00, 4.41482e+00, 4.04681e+00, 1.49938e-02, 2.03720e-02
4.41482e+00, 5.29802e+00, 4.85642e+00, 1.28658e-02, 1.45671e-02
