# time = 5.700000000000001e-01# start, end, pivot, particles, density
0.00000e+00, 2.41493e-04, 1.20747e-04, 2.41464e-04, 9.99879e-01
2.41493e-04, 5.31286e-04, 3.86390e-04, 1.62803e-04, 5.61791e-01
5.31286e-04, 8.79036e-04, 7.05161e-04, 1.95274e-04, 5.61534e-01
8.79036e-04, 1.29634e-03, 1.08769e-03, 2.34199e-04, 5.61225e-01
1.29634e-03, 1.79710e-03, 1.54672e-03, 2.80854e-04, 5.60854e-01
1.79710e-03, 2.39801e-03, 2.09755e-03, 3.36757e-04, 5.60410e-01
2.39801e-03, 3.11911e-03, 2.75856e-03, 4.03725e-04, 5.59877e-01
3.11911e-03, 3.98442e-03, 3.55176e-03, 4.83917e-04, 5.59238e-01
3.98442e-03, 5.02280e-03, 4.50361e-03, 5.79906e-04, 5.58473e-01
5.02280e-03, 6.26885e-03, 5.64583e-03, 6.94746e-04, 5.57557e-01
6.26885e-03, 7.76412e-03, 7.01648e-03, 8.32055e-04, 5.56460e-01
7.76412e-03, 9.55843e-03, 8.66127e-03, 9.96109e-04, 5.55147e-01
9.55843e-03, 1.17116e-02, 1.06350e-02, 1.19195e-03, 5.53576e-01
1.17116e-02, 1.42954e-02, 1.30035e-02, 1.42549e-03, 5.51698e-01
1.42954e-02, 1.73960e-02, 1.58457e-02, 1.70363e-03, 5.49455e-01
1.73960e-02, 2.11167e-02, 1.92564e-02, 2.03440e-03, 5.46779e-01
2.11167e-02, 2.55815e-02, 2.33491e-02, 2.42703e-03, 5.43587e-01
2.55815e-02, 3.09393e-02, 2.82604e-02, 2.89207e-03, 5.39787e-01
3.09393e-02, 3.73687e-02, 3.41540e-02, 3.44145e-03, 5.35271e-01
3.73687e-02, 4.50839e-02, 4.12263e-02, 4.08840e-03, 5.29912e-01
4.50839e-02, 5.43422e-02, 4.97131e-02, 4.84733e-03, 5.23567e-01
5.43422e-02, 6.54521e-02, 5.98972e-02, 5.73357e-03, 5.16076e-01
6.54521e-02, 7.87841e-02, 7.21181e-02, 6.76274e-03, 5.07259e-01
7.87841e-02, 9.47824e-02, 8.67832e-02, 7.94990e-03, 4.96921e-01
