# time = 5.000000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 7.25710e-05, 3.62855e-05, 7.02816e-05, 9.68453e-01
7.25710e-05, 1.52399e-04, 1.12485e-04, 7.73097e-05, 9.68453e-01
1.52399e-04, 2.40210e-04, 1.96305e-04, 8.50407e-05, 9.68453e-01
2.40210e-04, 3.36802e-04, 2.88506e-04, 9.35447e-05, 9.68453e-01
3.36802e-04, 4.43053e-04, 3.89928e-04, 1.02899e-04, 9.68453e-01
4.43053e-04, 5.59929e-04, 5.01491e-04, 1.13189e-04, 9.68453e-01
5.59929e-04, 6.88493e-04, 6.24211e-04, 1.24508e-04, 9.68452e-01
6.88493e-04, 8.29914e-04, 7.59203e-04, 1.36959e-04, 9.68452e-01
8.29914e-04, 9.85476e-04, 9.07695e-04, 1.50655e-04, 9.68452e-01
9.85476e-04, 1.15659e-03, 1.07104e-03, 1.65720e-04, 9.68452e-01
1.15659e-03, 1.34482e-03, 1.25071e-03, 1.82292e-04, 9.68452e-01
1.34482e-03, 1.55188e-03, 1.44835e-03, 2.00521e-04, 9.68452e-01
1.55188e-03, 1.77964e-03, 1.66576e-03, 2.20573e-04, 9.68452e-01
1.77964e-03, 2.03017e-03, 1.90490e-03, 2.42631e-04, 9.68451e-01
2.03017e-03, 2.30576e-03, 2.16797e-03, 2.66894e-04, 9.68451e-01
2.30576e-03, 2.60891e-03, 2.45733e-03, 2.93583e-04, 9.68450e-01
2.60891e-03, 2.94237e-03, 2.77564e-03, 3.22941e-04, 9.68450e-01
2.94237e-03, 3.30918e-03, 3.12577e-03, 3.55235e-04, 9.68449e-01
3.30918e-03, 3.71267e-03, 3.51092e-03, 3.90758e-04, 9.68448e-01
3.71267e-03, 4.15650e-03, 3.93458e-03, 4.29833e-04, 9.68447e-01
4.15650e-03, 4.64472e-03, 4.40061e-03, 4.72816e-04, 9.68445e-01
4.64472e-03, 5.18177e-03, 4.91325e-03, 5.20096e-04, 9.68443e-01
5.18177e-03, 5.77252e-03, 5.47714e-03, 5.72104e-04, 9.68441e-01
5.77252e-03, 6.42234e-03, 6.09743e-03, 6.29313e-04, 9.68438e-01
6.42234e-03, 7.13714e-03, 6.77974e-03, 6.92242e-04, 9.68435e-01
7.13714e-03, 7.92343e-03, 7.53029e-03, 7.61463e-04, 9.68431e-01
7.92343e-03, 8.78834e-03, 8.35588e-03, 8.37605e-04, 9.68426e-01
8.78834e-03, 9.73975e-03, 9.26404e-03, 9.21359e-04, 9.68419e-01
9.73975e-03, 1.07863e-02, 1.02630e-02, 1.01349e-03, 9.68412e-01
1.07863e-02, 1.19375e-02, 1.13619e-02, 1.11483e-03, 9.68403e-01
1.19375e-02, 1.32038e-02, 1.25707e-02, 1.22629e-03, 9.68392e-01
