# time = 5.400000000000000e+00# start, end, pivot, particles, density
0.00000e+00, 7.25710e-05, 3.62855e-05, 7.59041e-04, 1.04593e+01
7.25710e-05, 1.52399e-04, 1.12485e-04, 8.34945e-04, 1.04593e+01
1.52399e-04, 2.40210e-04, 1.96305e-04, 9.18439e-04, 1.04593e+01
2.40210e-04, 3.36802e-04, 2.88506e-04, 1.01028e-03, 1.04593e+01
3.36802e-04, 4.43053e-04, 3.89928e-04, 1.11131e-03, 1.04593e+01
4.43053e-04, 5.59929e-04, 5.01491e-04, 1.22244e-03, 1.04593e+01
5.59929e-04, 6.88493e-04, 6.24211e-04, 1.34468e-03, 1.04593e+01
6.88493e-04, 8.29914e-04, 7.59203e-04, 1.47915e-03, 1.04593e+01
8.29914e-04, 9.85476e-04, 9.07695e-04, 1.62706e-03, 1.04592e+01
9.85476e-04, 1.15659e-03, 1.07104e-03, 1.78977e-03, 1.04592e+01
1.15659e-03, 1.34482e-03, 1.25071e-03, 1.96874e-03, 1.04592e+01
1.34482e-03, 1.55188e-03, 1.44835e-03, 2.16561e-03, 1.04592e+01
1.55188e-03, 1.77964e-03, 1.66576e-03, 2.38216e-03, 1.04591e+01
1.77964e-03, 2.03017e-03, 1.90490e-03, 2.62036e-03, 1.04591e+01
2.03017e-03, 2.30576e-03, 2.16797e-03, 2.88238e-03, 1.04590e+01
2.30576e-03, 2.60891e-03, 2.45733e-03, 3.17060e-03, 1.04590e+01
2.60891e-03, 2.94237e-03, 2.77564e-03, 3.48763e-03, 1.04589e+01
2.94237e-03, 3.30918e-03, 3.12577e-03, 3.83635e-03, 1.04587e+01
3.30918e-03, 3.71267e-03, 3.51092e-03, 4.21993e-03, 1.04586e+01
3.71267e-03, 4.15650e-03, 3.93458e-03, 4.64185e-03, 1.04584e+01
4.15650e-03, 4.64472e-03, 4.40061e-03, 5.10592e-03, 1.04582e+01
4.64472e-03, 5.18177e-03, 4.91325e-03, 5.61638e-03, 1.04580e+01
5.18177e-03, 5.77252e-03, 5.47714e-03, 6.17782e-03, 1.04576e+01
5.77252e-03, 6.42234e-03, 6.09743e-03, 6.79535e-03, 1.04572e+01
6.42234e-03, 7.13714e-03, 6.77974e-03, 7.47453e-03, 1.04567e+01
7.13714e-03, 7.92343e-03, 7.53029e-03, 8.22152e-03, 1.04562e+01
7.92343e-03, 8.78834e-03, 8.35588e-03, 9.04305e-03, 1.04554e+01
8.78834e-03, 9.73975e-03, 9.26404e-03, 9.94651e-03, 1.04545e+01
9.73975e-03, 1.07863e-02, 1.02630e-02, 1.09400e-02, 1.04535e+01
1.07863e-02, 1.19375e-02, 1.13619e-02, 1.20325e-02, 1.04522e+01
1.19375e-02, 1.32038e-02, 1.25707e-02, 1.32338e-02, 1.04506e+01
1.32038e-02, 1.45968e-02, 1.39003e-02, 1.45544e-02, 1.04486e+01
1.45968e-02, 1.61290e-02, 1.53629e-02, 1.60062e-02, 1.04463e+01
1.61290e-02, 1.78145e-02, 1.69717e-02, 1.76020e-02, 1.04434e+01
1.78145e-02, 1.96685e-02, 1.87415e-02, 1.93558e-02, 1.04399e+01
1.96685e-02, 2.17079e-02, 2.06882e-02, 2.12827e-02, 1.04357e+01
2.17079e-02, 2.39513e-02, 2.28296e-02, 2.33995e-02, 1.04305e+01
2.39513e-02, 2.64190e-02, 2.51851e-02, 2.57240e-02, 1.04243e+01
2.64190e-02, 2.91335e-02, 2.77762e-02, 2.82759e-02, 1.04167e+01
2.91335e-02, 3.21194e-02, 3.06264e-02, 3.10762e-02, 1.04076e+01
3.21194e-02, 3.54039e-02, 3.37616e-02, 3.41473e-02, 1.03965e+01
3.54039e-02, 3.90168e-02, 3.72104e-02, 3.75135e-02, 1.03830e+01
3.90168e-02, 4.29911e-02, 4.10040e-02, 4.12002e-02, 1.03668e+01
4.29911e-02, 4.73628e-02, 4.51769e-02, 4.52342e-02, 1.03471e+01
4.73628e-02, 5.21716e-02, 4.97672e-02, 4.96431e-02, 1.03233e+01
5.21716e-02, 5.74614e-02, 5.48165e-02, 5.44552e-02, 1.02945e+01
5.74614e-02, 6.32801e-02, 6.03707e-02, 5.96985e-02, 1.02597e+01
6.32801e-02, 6.96806e-02, 6.64804e-02, 6.53998e-02, 1.02178e+01
6.96806e-02, 7.67213e-02, 7.32010e-02, 7.15836e-02, 1.01672e+01
7.67213e-02, 8.44660e-02, 8.05936e-02, 7.82700e-02, 1.01063e+01
8.44660e-02, 9.29852e-02, 8.87256e-02, 8.54724e-02, 1.00329e+01
