# time = 4.000000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 7.25710e-05, 3.62855e-05, 0.00000e+00, 0.00000e+00
7.25710e-05, 1.52399e-04, 1.12485e-04, 6.12236e-05, 7.66943e-01
1.52399e-04, 2.40210e-04, 1.96305e-04, 6.73460e-05, 7.66943e-01
2.40210e-04, 3.36802e-04, 2.88506e-04, 7.40806e-05, 7.66943e-01
3.36802e-04, 4.43053e-04, 3.89928e-04, 8.14886e-05, 7.66943e-01
4.43053e-04, 5.59929e-04, 5.01491e-04, 8.96375e-05, 7.66943e-01
5.59929e-04, 6.88493e-04, 6.24211e-04, 9.86012e-05, 7.66943e-01
6.88493e-04, 8.29914e-04, 7.59203e-04, 1.08461e-04, 7.66943e-01
8.29914e-04, 9.85476e-04, 9.07695e-04, 1.19307e-04, 7.66943e-01
9.85476e-04, 1.15659e-03, 1.07104e-03, 1.31238e-04, 7.66943e-01
1.15659e-03, 1.34482e-03, 1.25071e-03, 1.44362e-04, 7.66943e-01
1.34482e-03, 1.55188e-03, 1.44835e-03, 1.58798e-04, 7.66943e-01
1.55188e-03, 1.77964e-03, 1.66576e-03, 1.74678e-04, 7.66943e-01
1.77964e-03, 2.03017e-03, 1.90490e-03, 1.92146e-04, 7.66943e-01
2.03017e-03, 2.30576e-03, 2.16797e-03, 2.11360e-04, 7.66942e-01
2.30576e-03, 2.60891e-03, 2.45733e-03, 2.32496e-04, 7.66942e-01
2.60891e-03, 2.94237e-03, 2.77564e-03, 2.55746e-04, 7.66942e-01
2.94237e-03, 3.30918e-03, 3.12577e-03, 2.81320e-04, 7.66941e-01
3.30918e-03, 3.71267e-03, 3.51092e-03, 3.09452e-04, 7.66940e-01
3.71267e-03, 4.15650e-03, 3.93458e-03, 3.40397e-04, 7.66940e-01
4.15650e-03, 4.64472e-03, 4.40061e-03, 3.74436e-04, 7.66939e-01
4.64472e-03, 5.18177e-03, 4.91325e-03, 4.11879e-04, 7.66937e-01
5.18177e-03, 5.77252e-03, 5.47714e-03, 4.53066e-04, 7.66936e-01
5.77252e-03, 6.42234e-03, 6.09743e-03, 4.98371e-04, 7.66934e-01
6.42234e-03, 7.13714e-03, 6.77974e-03, 5.48207e-04, 7.66932e-01
7.13714e-03, 7.92343e-03, 7.53029e-03, 6.03025e-04, 7.66930e-01
7.92343e-03, 8.78834e-03, 8.35588e-03, 6.63325e-04, 7.66926e-01
8.78834e-03, 9.73975e-03, 9.26404e-03, 7.29654e-04, 7.66922e-01
9.73975e-03, 1.07863e-02, 1.02630e-02, 8.02614e-04, 7.66918e-01
1.07863e-02, 1.19375e-02, 1.13619e-02, 8.82869e-04, 7.66912e-01
1.19375e-02, 1.32038e-02, 1.25707e-02, 9.71147e-04, 7.66905e-01
1.32038e-02, 1.45968e-02, 1.39003e-02, 1.06825e-03, 7.66896e-01
1.45968e-02, 1.61290e-02, 1.53629e-02, 1.17506e-03, 7.66886e-01
1.61290e-02, 1.78145e-02, 1.69717e-02, 1.29254e-03, 7.66873e-01
1.78145e-02, 1.96685e-02, 1.87415e-02, 1.42177e-03, 7.66858e-01
1.96685e-02, 2.17079e-02, 2.06882e-02, 1.56391e-03, 7.66839e-01
2.17079e-02, 2.39513e-02, 2.28296e-02, 1.72025e-03, 7.66816e-01
2.39513e-02, 2.64190e-02, 2.51851e-02, 1.89220e-03, 7.66789e-01
2.64190e-02, 2.91335e-02, 2.77762e-02, 2.08133e-03, 7.66756e-01
2.91335e-02, 3.21194e-02, 3.06264e-02, 2.28935e-03, 7.66715e-01
3.21194e-02, 3.54039e-02, 3.37616e-02, 2.51812e-03, 7.66666e-01
3.54039e-02, 3.90168e-02, 3.72104e-02, 2.76972e-03, 7.66606e-01
3.90168e-02, 4.29911e-02, 4.10040e-02, 3.04640e-03, 7.66534e-01
4.29911e-02, 4.73628e-02, 4.51769e-02, 3.35066e-03, 7.66447e-01
4.73628e-02, 5.21716e-02, 4.97672e-02, 3.68522e-03, 7.66341e-01
5.21716e-02, 5.74614e-02, 5.48165e-02, 4.05306e-03, 7.66212e-01
5.74614e-02, 6.32801e-02, 6.03707e-02, 4.45746e-03, 7.66057e-01
6.32801e-02, 6.96806e-02, 6.64804e-02, 4.90200e-03, 7.65868e-01
6.96806e-02, 7.67213e-02, 7.32010e-02, 5.39059e-03, 7.65640e-01
7.67213e-02, 8.44660e-02, 8.05936e-02, 5.92751e-03, 7.65364e-01
8.44660e-02, 9.29852e-02, 8.87256e-02, 6.51742e-03, 7.65029e-01
9.29852e-02, 1.02356e-01, 9.76707e-02, 7.16536e-03, 7.64625e-01
1.02356e-01, 1.12664e-01, 1.07510e-01, 7.87685e-03, 7.64135e-01
1.12664e-01, 1.24003e-01, 1.18334e-01, 8.65781e-03, 7.63542e-01
1.24003e-01, 1.36476e-01, 1.30240e-01, 9.51464e-03, 7.62824e-01
1.36476e-01, 1.50197e-01, 1.43336e-01, 1.04542e-02, 7.61956e-01
1.50197e-01, 1.65289e-01, 1.57743e-01, 1.14838e-02, 7.60906e-01
1.65289e-01, 1.81890e-01, 1.73590e-01, 1.26111e-02, 7.59636e-01
1.81890e-01, 2.00152e-01, 1.91021e-01, 1.38441e-02, 7.58101e-01
2.00152e-01, 2.20240e-01, 2.10196e-01, 1.51913e-02, 7.56246e-01
2.20240e-01, 2.42336e-01, 2.31288e-01, 1.66609e-02, 7.54004e-01
2.42336e-01, 2.66642e-01, 2.54489e-01, 1.82612e-02, 7.51298e-01
2.66642e-01, 2.93379e-01, 2.80011e-01, 1.99999e-02, 7.48030e-01
2.93379e-01, 3.22790e-01, 3.08084e-01, 2.18840e-02, 7.44088e-01
3.22790e-01, 3.55141e-01, 3.38965e-01, 2.39187e-02, 7.39337e-01
3.55141e-01, 3.90728e-01, 3.72934e-01, 2.61069e-02, 7.33613e-01
3.90728e-01, 4.29873e-01, 4.10301e-01, 2.84480e-02, 7.26727e-01
4.29873e-01, 4.72933e-01, 4.51403e-01, 3.09365e-02, 7.18452e-01
4.72933e-01, 5.20299e-01, 4.96616e-01, 3.35598e-02, 7.08523e-01
5.20299e-01, 5.72401e-01, 5.46350e-01, 3.62963e-02, 6.96633e-01
5.72401e-01, 6.29714e-01, 6.01058e-01, 3.91116e-02, 6.82425e-01
6.29714e-01, 6.92758e-01, 6.61236e-01, 4.19555e-02, 6.65495e-01
6.92758e-01, 7.62106e-01, 7.27432e-01, 4.47568e-02, 6.45391e-01
7.62106e-01, 8.38390e-01, 8.00248e-01, 4.74190e-02, 6.21618e-01
8.38390e-01, 9.22301e-01, 8.80345e-01, 4.98143e-02, 5.93653e-01
9.22301e-01, 1.01460e+00, 9.68453e-01, 6.74397e-01, 7.30636e+00
1.01460e+00, 1.11614e+00, 1.06537e+00, 9.70041e-96, 9.55396e-95
1.11614e+00, 1.22782e+00, 1.17198e+00, 0.00000e+00, 0.00000e+00
1.22782e+00, 1.35068e+00, 1.28925e+00, 0.00000e+00, 0.00000e+00
1.35068e+00, 1.48582e+00, 1.41825e+00, 0.00000e+00, 0.00000e+00
1.48582e+00, 1.63447e+00, 1.56015e+00, 0.00000e+00, 0.00000e+00
1.63447e+00, 1.79799e+00, 1.71623e+00, 0.00000e+00, 0.00000e+00
1.79799e+00, 1.97786e+00, 1.88793e+00, 0.00000e+00, 0.00000e+00
1.97786e+00, 2.17572e+00, 2.07679e+00, 0.00000e+00, 0.00000e+00
2.17572e+00, 2.39337e+00, 2.28455e+00, 0.00000e+00, 0.00000e+00
2.39337e+00, 2.63278e+00, 2.51307e+00, 0.00000e+00, 0.00000e+00
2.63278e+00, 2.89613e+00, 2.76445e+00, 0.00000e+00, 0.00000e+00
2.89613e+00, 3.18581e+00, 3.04097e+00, 0.00000e+00, 0.00000e+00
3.18581e+00, 3.50447e+00, 3.34514e+00, 0.00000e+00, 0.00000e+00
3.50447e+00, 3.85499e+00, 3.67973e+00, 0.00000e+00, 0.00000e+00
3.85499e+00, 4.24056e+00, 4.04777e+00, 0.00000e+00, 0.00000e+00
4.24056e+00, 4.66469e+00, 4.45262e+00, 0.00000e+00, 0.00000e+00
4.66469e+00, 5.13123e+00, 4.89796e+00, 0.00000e+00, 0.00000e+00
5.13123e+00, 5.64442e+00, 5.38783e+00, 0.00000e+00, 0.00000e+00
5.64442e+00, 6.20894e+00, 5.92668e+00, 0.00000e+00, 0.00000e+00
6.20894e+00, 6.82990e+00, 6.51942e+00, 0.00000e+00, 0.00000e+00
6.82990e+00, 7.51297e+00, 7.17144e+00, 0.00000e+00, 0.00000e+00
7.51297e+00, 8.26434e+00, 7.88865e+00, 0.00000e+00, 0.00000e+00
8.26434e+00, 9.09084e+00, 8.67759e+00, 0.00000e+00, 0.00000e+00
9.09084e+00, 1.00000e+01, 9.54542e+00, 0.00000e+00, 0.00000e+00
