# time = 9.200000000000001e+00# start, end, pivot, particles, density
0.00000e+00, 7.25710e-05, 3.62855e-05, 0.00000e+00, 0.00000e+00
7.25710e-05, 1.52399e-04, 1.12485e-04, 1.21248e-03, 1.51886e+01
1.52399e-04, 2.40210e-04, 1.96305e-04, 1.33372e-03, 1.51886e+01
2.40210e-04, 3.36802e-04, 2.88506e-04, 1.46710e-03, 1.51886e+01
3.36802e-04, 4.43053e-04, 3.89928e-04, 1.61380e-03, 1.51886e+01
4.43053e-04, 5.59929e-04, 5.01491e-04, 1.77518e-03, 1.51886e+01
5.59929e-04, 6.88493e-04, 6.24211e-04, 1.95270e-03, 1.51885e+01
6.88493e-04, 8.29914e-04, 7.59203e-04, 2.14796e-03, 1.51885e+01
8.29914e-04, 9.85476e-04, 9.07695e-04, 2.36275e-03, 1.51885e+01
9.85476e-04, 1.15659e-03, 1.07104e-03, 2.59902e-03, 1.51884e+01
1.15659e-03, 1.34482e-03, 1.25071e-03, 2.85891e-03, 1.51884e+01
1.34482e-03, 1.55188e-03, 1.44835e-03, 3.14479e-03, 1.51883e+01
1.55188e-03, 1.77964e-03, 1.66576e-03, 3.45924e-03, 1.51882e+01
1.77964e-03, 2.03017e-03, 1.90490e-03, 3.80513e-03, 1.51880e+01
2.03017e-03, 2.30576e-03, 2.16797e-03, 4.18560e-03, 1.51879e+01
2.30576e-03, 2.60891e-03, 2.45733e-03, 4.60410e-03, 1.51877e+01
2.60891e-03, 2.94237e-03, 2.77564e-03, 5.06442e-03, 1.51874e+01
2.94237e-03, 3.30918e-03, 3.12577e-03, 5.57075e-03, 1.51871e+01
3.30918e-03, 3.71267e-03, 3.51092e-03, 6.12767e-03, 1.51867e+01
3.71267e-03, 4.15650e-03, 3.93458e-03, 6.74023e-03, 1.51862e+01
4.15650e-03, 4.64472e-03, 4.40061e-03, 7.41396e-03, 1.51857e+01
4.64472e-03, 5.18177e-03, 4.91325e-03, 8.15497e-03, 1.51849e+01
5.18177e-03, 5.77252e-03, 5.47714e-03, 8.96995e-03, 1.51841e+01
5.77252e-03, 6.42234e-03, 6.09743e-03, 9.86624e-03, 1.51830e+01
6.42234e-03, 7.13714e-03, 6.77974e-03, 1.08519e-02, 1.51817e+01
7.13714e-03, 7.92343e-03, 7.53029e-03, 1.19358e-02, 1.51800e+01
7.92343e-03, 8.78834e-03, 8.35588e-03, 1.31277e-02, 1.51781e+01
8.78834e-03, 9.73975e-03, 9.26404e-03, 1.44382e-02, 1.51757e+01
9.73975e-03, 1.07863e-02, 1.02630e-02, 1.58789e-02, 1.51727e+01
1.07863e-02, 1.19375e-02, 1.13619e-02, 1.74627e-02, 1.51691e+01
1.19375e-02, 1.32038e-02, 1.25707e-02, 1.92035e-02, 1.51648e+01
1.32038e-02, 1.45968e-02, 1.39003e-02, 2.11165e-02, 1.51595e+01
1.45968e-02, 1.61290e-02, 1.53629e-02, 2.32183e-02, 1.51531e+01
1.61290e-02, 1.78145e-02, 1.69717e-02, 2.55269e-02, 1.51453e+01
1.78145e-02, 1.96685e-02, 1.87415e-02, 2.80620e-02, 1.51358e+01
1.96685e-02, 2.17079e-02, 2.06882e-02, 3.08448e-02, 1.51243e+01
2.17079e-02, 2.39513e-02, 2.28296e-02, 3.38979e-02, 1.51103e+01
2.39513e-02, 2.64190e-02, 2.51851e-02, 3.72460e-02, 1.50934e+01
2.64190e-02, 2.91335e-02, 2.77762e-02, 4.09149e-02, 1.50729e+01
2.91335e-02, 3.21194e-02, 3.06264e-02, 4.49323e-02, 1.50481e+01
3.21194e-02, 3.54039e-02, 3.37616e-02, 4.93267e-02, 1.50180e+01
3.54039e-02, 3.90168e-02, 3.72104e-02, 5.41280e-02, 1.49816e+01
3.90168e-02, 4.29911e-02, 4.10040e-02, 5.93661e-02, 1.49377e+01
4.29911e-02, 4.73628e-02, 4.51769e-02, 6.50705e-02, 1.48846e+01
4.73628e-02, 5.21716e-02, 4.97672e-02, 7.12693e-02, 1.48204e+01
5.21716e-02, 5.74614e-02, 5.48165e-02, 7.79872e-02, 1.47431e+01
5.74614e-02, 6.32801e-02, 6.03707e-02, 8.52441e-02, 1.46500e+01
6.32801e-02, 6.96806e-02, 6.64804e-02, 9.30514e-02, 1.45380e+01
6.96806e-02, 7.67213e-02, 7.32010e-02, 1.01409e-01, 1.44034e+01
7.67213e-02, 8.44660e-02, 8.05936e-02, 1.10301e-01, 1.42421e+01
8.44660e-02, 9.29852e-02, 8.87256e-02, 1.19687e-01, 1.40492e+01
9.29852e-02, 1.02356e-01, 9.76707e-02, 1.29499e-01, 1.38190e+01
1.02356e-01, 1.12664e-01, 1.07510e-01, 1.39628e-01, 1.35453e+01
1.12664e-01, 1.24003e-01, 1.18334e-01, 1.49914e-01, 1.32211e+01
1.24003e-01, 1.36476e-01, 1.30240e-01, 1.60139e-01, 1.28389e+01
1.36476e-01, 1.50197e-01, 1.43336e-01, 1.70005e-01, 1.23908e+01
1.50197e-01, 1.65289e-01, 1.57743e-01, 1.79132e-01, 1.18691e+01
1.65289e-01, 1.81890e-01, 1.73590e-01, 1.87044e-01, 1.12667e+01
1.81890e-01, 2.00152e-01, 1.91021e-01, 1.93171e-01, 1.05780e+01
2.00152e-01, 2.20240e-01, 2.10196e-01, 1.96860e-01, 9.79998e+00
2.20240e-01, 2.42336e-01, 2.31288e-01, 1.97409e-01, 8.93393e+00
2.42336e-01, 2.66642e-01, 2.54489e-01, 1.94127e-01, 7.98674e+00
2.66642e-01, 2.93379e-01, 2.80011e-01, 1.86429e-01, 6.97277e+00
2.93379e-01, 3.22790e-01, 3.08084e-01, 1.73966e-01, 5.91509e+00
3.22790e-01, 3.55141e-01, 3.38965e-01, 1.56774e-01, 4.84594e+00
3.55141e-01, 3.90728e-01, 3.72934e-01, 1.35428e-01, 3.80558e+00
3.90728e-01, 4.29873e-01, 4.10301e-01, 1.11130e-01, 2.83890e+00
4.29873e-01, 4.72933e-01, 4.51403e-01, 8.56721e-02, 1.98960e+00
4.72933e-01, 5.20299e-01, 4.96616e-01, 6.12170e-02, 1.29243e+00
5.20299e-01, 5.72401e-01, 5.46350e-01, 3.98809e-02, 7.65433e-01
5.72401e-01, 6.29714e-01, 6.01058e-01, 2.32141e-02, 4.05043e-01
6.29714e-01, 6.92758e-01, 6.61236e-01, 1.17786e-02, 1.86831e-01
6.92758e-01, 7.62106e-01, 7.27432e-01, 5.05402e-03, 7.28787e-02
7.62106e-01, 8.38390e-01, 8.00248e-01, 1.76752e-03, 2.31706e-02
8.38390e-01, 9.22301e-01, 8.80345e-01, 4.82092e-04, 5.74525e-03
9.22301e-01, 1.01460e+00, 9.68453e-01, 1.16159e-04, 1.25846e-03
1.01460e+00, 1.11614e+00, 1.06537e+00, 2.41245e-100, 2.37603e-99
1.11614e+00, 1.22782e+00, 1.17198e+00, 0.00000e+00, 0.00000e+00
1.22782e+00, 1.35068e+00, 1.28925e+00, 0.00000e+00, 0.00000e+00
1.35068e+00, 1.48582e+00, 1.41825e+00, 0.00000e+00, 0.00000e+00
1.48582e+00, 1.63447e+00, 1.56015e+00, 0.00000e+00, 0.00000e+00
1.63447e+00, 1.79799e+00, 1.71623e+00, 0.00000e+00, 0.00000e+00
1.79799e+00, 1.97786e+00, 1.88793e+00, 0.00000e+00, 0.00000e+00
1.97786e+00, 2.17572e+00, 2.07679e+00, 0.00000e+00, 0.00000e+00
2.17572e+00, 2.39337e+00, 2.28455e+00, 0.00000e+00, 0.00000e+00
2.39337e+00, 2.63278e+00, 2.51307e+00, 0.00000e+00, 0.00000e+00
2.63278e+00, 2.89613e+00, 2.76445e+00, 0.00000e+00, 0.00000e+00
2.89613e+00, 3.18581e+00, 3.04097e+00, 0.00000e+00, 0.00000e+00
3.18581e+00, 3.50447e+00, 3.34514e+00, 0.00000e+00, 0.00000e+00
3.50447e+00, 3.85499e+00, 3.67973e+00, 0.00000e+00, 0.00000e+00
3.85499e+00, 4.24056e+00, 4.04777e+00, 0.00000e+00, 0.00000e+00
4.24056e+00, 4.66469e+00, 4.45262e+00, 0.00000e+00, 0.00000e+00
4.66469e+00, 5.13123e+00, 4.89796e+00, 0.00000e+00, 0.00000e+00
5.13123e+00, 5.64442e+00, 5.38783e+00, 0.00000e+00, 0.00000e+00
5.64442e+00, 6.20894e+00, 5.92668e+00, 0.00000e+00, 0.00000e+00
6.20894e+00, 6.82990e+00, 6.51942e+00, 0.00000e+00, 0.00000e+00
6.82990e+00, 7.51297e+00, 7.17144e+00, 0.00000e+00, 0.00000e+00
7.51297e+00, 8.26434e+00, 7.88865e+00, 0.00000e+00, 0.00000e+00
8.26434e+00, 9.09084e+00, 8.67759e+00, 0.00000e+00, 0.00000e+00
9.09084e+00, 1.00000e+01, 9.54542e+00, 0.00000e+00, 0.00000e+00
