# time = 5.000000000000000e+00# start, end, pivot, particles, density
0.00000e+00, 8.59174e-03, 4.29587e-03, 8.49883e-02, 9.89186e+00
8.59174e-03, 1.80427e-02, 1.33172e-02, 9.34305e-02, 9.88587e+00
1.80427e-02, 2.84387e-02, 2.32407e-02, 1.02626e-01, 9.87168e+00
2.84387e-02, 3.98743e-02, 3.41565e-02, 1.12608e-01, 9.84715e+00
3.98743e-02, 5.24534e-02, 4.61639e-02, 1.23394e-01, 9.80942e+00
5.24534e-02, 6.62905e-02, 5.93720e-02, 1.34981e-01, 9.75503e+00
6.62905e-02, 8.15113e-02, 7.39009e-02, 1.47334e-01, 9.67980e+00
8.15113e-02, 9.82542e-02, 8.98827e-02, 1.60376e-01, 9.57876e+00
9.82542e-02, 1.16671e-01, 1.07463e-01, 1.73969e-01, 9.44601e+00
1.16671e-01, 1.36930e-01, 1.26801e-01, 1.87895e-01, 9.27470e+00
1.36930e-01, 1.59215e-01, 1.48073e-01, 2.01833e-01, 9.05699e+00
1.59215e-01, 1.83728e-01, 1.71472e-01, 2.15328e-01, 8.78413e+00
1.83728e-01, 2.10693e-01, 1.97210e-01, 2.27761e-01, 8.44669e+00
2.10693e-01, 2.40354e-01, 2.25523e-01, 2.38325e-01, 8.03494e+00
2.40354e-01, 2.72981e-01, 2.56667e-01, 2.45999e-01, 7.53970e+00
2.72981e-01, 3.08871e-01, 2.90926e-01, 2.49558e-01, 6.95343e+00
3.08871e-01, 3.48350e-01, 3.28610e-01, 2.47615e-01, 6.27211e+00
3.48350e-01, 3.91776e-01, 3.70063e-01, 2.38744e-01, 5.49762e+00
3.91776e-01, 4.39546e-01, 4.15661e-01, 2.21697e-01, 4.64098e+00
4.39546e-01, 4.92092e-01, 4.65819e-01, 1.95785e-01, 3.72595e+00
4.92092e-01, 5.49893e-01, 5.20992e-01, 1.61404e-01, 2.79240e+00
5.49893e-01, 6.13474e-01, 5.81683e-01, 1.20672e-01, 1.89793e+00
6.13474e-01, 6.83413e-01, 6.48443e-01, 7.79564e-02, 1.11463e+00
6.83413e-01, 7.60346e-01, 7.21880e-01, 3.97729e-02, 5.16980e-01
7.60346e-01, 8.44972e-01, 8.02659e-01, 1.31751e-02, 1.55685e-01
8.44972e-01, 9.38061e-01, 8.91517e-01, 1.65140e-03, 1.77400e-02
9.38061e-01, 1.04046e+00, 9.89260e-01, 8.20980e-06, 8.01755e-05
1.04046e+00, 1.15310e+00, 1.09678e+00, 0.00000e+00, 0.00000e+00
1.15310e+00, 1.27700e+00, 1.21505e+00, 0.00000e+00, 0.00000e+00
1.27700e+00, 1.41329e+00, 1.34514e+00, 0.00000e+00, 0.00000e+00
1.41329e+00, 1.56321e+00, 1.48825e+00, 0.00000e+00, 0.00000e+00
1.56321e+00, 1.72812e+00, 1.64567e+00, 0.00000e+00, 0.00000e+00
1.72812e+00, 1.90953e+00, 1.81883e+00, 0.00000e+00, 0.00000e+00
1.90953e+00, 2.10907e+00, 2.00930e+00, 0.00000e+00, 0.00000e+00
2.10907e+00, 2.32857e+00, 2.21882e+00, 0.00000e+00, 0.00000e+00
2.32857e+00, 2.57002e+00, 2.44930e+00, 0.00000e+00, 0.00000e+00
2.57002e+00, 2.83561e+00, 2.70282e+00, 0.00000e+00, 0.00000e+00
2.83561e+00, 3.12777e+00, 2.98169e+00, 0.00000e+00, 0.00000e+00
3.12777e+00, 3.44914e+00, 3.28845e+00, 0.00000e+00, 0.00000e+00
3.44914e+00, 3.80264e+00, 3.62589e+00, 0.00000e+00, 0.00000e+00
3.80264e+00, 4.19150e+00, 3.99707e+00, 0.00000e+00, 0.00000e+00
4.19150e+00, 4.61924e+00, 4.40537e+00, 0.00000e+00, 0.00000e+00
4.61924e+00, 5.08975e+00, 4.85450e+00, 0.00000e+00, 0.00000e+00
5.08975e+00, 5.60732e+00, 5.34854e+00, 0.00000e+00, 0.00000e+00
5.60732e+00, 6.17664e+00, 5.89198e+00, 0.00000e+00, 0.00000e+00
6.17664e+00, 6.80290e+00, 6.48977e+00, 0.00000e+00, 0.00000e+00
6.80290e+00, 7.49178e+00, 7.14734e+00, 0.00000e+00, 0.00000e+00
7.49178e+00, 8.24955e+00, 7.87067e+00, 0.00000e+00, 0.00000e+00
8.24955e+00, 9.08310e+00, 8.66632e+00, 0.00000e+00, 0.00000e+00
9.08310e+00, 1.00000e+01, 9.54155e+00, 0.00000e+00, 0.00000e+00
