# time = 1.300000000000000e+00# start, end, pivot, particles, density
0.00000e+00, 7.25710e-05, 3.62855e-05, 1.82732e-04, 2.51798e+00
7.25710e-05, 1.52399e-04, 1.12485e-04, 2.01005e-04, 2.51798e+00
1.52399e-04, 2.40210e-04, 1.96305e-04, 2.21106e-04, 2.51798e+00
2.40210e-04, 3.36802e-04, 2.88506e-04, 2.43216e-04, 2.51798e+00
3.36802e-04, 4.43053e-04, 3.89928e-04, 2.67538e-04, 2.51798e+00
4.43053e-04, 5.59929e-04, 5.01491e-04, 2.94292e-04, 2.51798e+00
5.59929e-04, 6.88493e-04, 6.24211e-04, 3.23721e-04, 2.51798e+00
6.88493e-04, 8.29914e-04, 7.59203e-04, 3.56093e-04, 2.51798e+00
8.29914e-04, 9.85476e-04, 9.07695e-04, 3.91702e-04, 2.51797e+00
9.85476e-04, 1.15659e-03, 1.07104e-03, 4.30872e-04, 2.51797e+00
1.15659e-03, 1.34482e-03, 1.25071e-03, 4.73959e-04, 2.51797e+00
1.34482e-03, 1.55188e-03, 1.44835e-03, 5.21355e-04, 2.51797e+00
1.55188e-03, 1.77964e-03, 1.66576e-03, 5.73490e-04, 2.51797e+00
1.77964e-03, 2.03017e-03, 1.90490e-03, 6.30838e-04, 2.51797e+00
2.03017e-03, 2.30576e-03, 2.16797e-03, 6.93921e-04, 2.51796e+00
2.30576e-03, 2.60891e-03, 2.45733e-03, 7.63312e-04, 2.51796e+00
2.60891e-03, 2.94237e-03, 2.77564e-03, 8.39641e-04, 2.51795e+00
2.94237e-03, 3.30918e-03, 3.12577e-03, 9.23603e-04, 2.51795e+00
3.30918e-03, 3.71267e-03, 3.51092e-03, 1.01596e-03, 2.51794e+00
3.71267e-03, 4.15650e-03, 3.93458e-03, 1.11755e-03, 2.51793e+00
4.15650e-03, 4.64472e-03, 4.40061e-03, 1.22930e-03, 2.51792e+00
4.64472e-03, 5.18177e-03, 4.91325e-03, 1.35222e-03, 2.51790e+00
5.18177e-03, 5.77252e-03, 5.47714e-03, 1.48744e-03, 2.51789e+00
5.77252e-03, 6.42234e-03, 6.09743e-03, 1.63617e-03, 2.51786e+00
6.42234e-03, 7.13714e-03, 6.77974e-03, 1.79976e-03, 2.51784e+00
7.13714e-03, 7.92343e-03, 7.53029e-03, 1.97971e-03, 2.51781e+00
7.92343e-03, 8.78834e-03, 8.35588e-03, 2.17765e-03, 2.51777e+00
8.78834e-03, 9.73975e-03, 9.26404e-03, 2.39537e-03, 2.51772e+00
9.73975e-03, 1.07863e-02, 1.02630e-02, 2.63485e-03, 2.51766e+00
1.07863e-02, 1.19375e-02, 1.13619e-02, 2.89825e-03, 2.51759e+00
1.19375e-02, 1.32038e-02, 1.25707e-02, 3.18796e-03, 2.51750e+00
1.32038e-02, 1.45968e-02, 1.39003e-02, 3.50661e-03, 2.51739e+00
1.45968e-02, 1.61290e-02, 1.53629e-02, 3.85707e-03, 2.51727e+00
1.61290e-02, 1.78145e-02, 1.69717e-02, 4.24252e-03, 2.51711e+00
1.78145e-02, 1.96685e-02, 1.87415e-02, 4.66642e-03, 2.51692e+00
1.96685e-02, 2.17079e-02, 2.06882e-02, 5.13259e-03, 2.51669e+00
2.17079e-02, 2.39513e-02, 2.28296e-02, 5.64522e-03, 2.51641e+00
2.39513e-02, 2.64190e-02, 2.51851e-02, 6.20890e-03, 2.51607e+00
2.64190e-02, 2.91335e-02, 2.77762e-02, 6.82867e-03, 2.51565e+00
2.91335e-02, 3.21194e-02, 3.06264e-02, 7.51004e-03, 2.51515e+00
3.21194e-02, 3.54039e-02, 3.37616e-02, 8.25905e-03, 2.51455e+00
