# time = 8.000000000000000e+00# start, end, pivot, particles, density
0.00000e+00, 7.25710e-05, 3.62855e-05, 0.00000e+00, 0.00000e+00
7.25710e-05, 1.52399e-04, 1.12485e-04, 1.06545e-03, 1.33469e+01
1.52399e-04, 2.40210e-04, 1.96305e-04, 1.17200e-03, 1.33469e+01
2.40210e-04, 3.36802e-04, 2.88506e-04, 1.28920e-03, 1.33468e+01
3.36802e-04, 4.43053e-04, 3.89928e-04, 1.41812e-03, 1.33468e+01
4.43053e-04, 5.59929e-04, 5.01491e-04, 1.55993e-03, 1.33468e+01
5.59929e-04, 6.88493e-04, 6.24211e-04, 1.71592e-03, 1.33468e+01
6.88493e-04, 8.29914e-04, 7.59203e-04, 1.88751e-03, 1.33468e+01
8.29914e-04, 9.85476e-04, 9.07695e-04, 2.07625e-03, 1.33468e+01
9.85476e-04, 1.15659e-03, 1.07104e-03, 2.28387e-03, 1.33467e+01
1.15659e-03, 1.34482e-03, 1.25071e-03, 2.51225e-03, 1.33467e+01
1.34482e-03, 1.55188e-03, 1.44835e-03, 2.76346e-03, 1.33466e+01
1.55188e-03, 1.77964e-03, 1.66576e-03, 3.03979e-03, 1.33465e+01
1.77964e-03, 2.03017e-03, 1.90490e-03, 3.34375e-03, 1.33464e+01
2.03017e-03, 2.30576e-03, 2.16797e-03, 3.67809e-03, 1.33463e+01
2.30576e-03, 2.60891e-03, 2.45733e-03, 4.04585e-03, 1.33462e+01
2.60891e-03, 2.94237e-03, 2.77564e-03, 4.45037e-03, 1.33460e+01
2.94237e-03, 3.30918e-03, 3.12577e-03, 4.89532e-03, 1.33457e+01
3.30918e-03, 3.71267e-03, 3.51092e-03, 5.38473e-03, 1.33454e+01
3.71267e-03, 4.15650e-03, 3.93458e-03, 5.92304e-03, 1.33451e+01
4.15650e-03, 4.64472e-03, 4.40061e-03, 6.51513e-03, 1.33446e+01
4.64472e-03, 5.18177e-03, 4.91325e-03, 7.16635e-03, 1.33441e+01
5.18177e-03, 5.77252e-03, 5.47714e-03, 7.88258e-03, 1.33434e+01
5.77252e-03, 6.42234e-03, 6.09743e-03, 8.67031e-03, 1.33426e+01
6.42234e-03, 7.13714e-03, 6.77974e-03, 9.53662e-03, 1.33416e+01
7.13714e-03, 7.92343e-03, 7.53029e-03, 1.04893e-02, 1.33403e+01
7.92343e-03, 8.78834e-03, 8.35588e-03, 1.15369e-02, 1.33388e+01
8.78834e-03, 9.73975e-03, 9.26404e-03, 1.26889e-02, 1.33370e+01
9.73975e-03, 1.07863e-02, 1.02630e-02, 1.39554e-02, 1.33348e+01
1.07863e-02, 1.19375e-02, 1.13619e-02, 1.53478e-02, 1.33320e+01
1.19375e-02, 1.32038e-02, 1.25707e-02, 1.68784e-02, 1.33287e+01
1.32038e-02, 1.45968e-02, 1.39003e-02, 1.85606e-02, 1.33247e+01
1.45968e-02, 1.61290e-02, 1.53629e-02, 2.04092e-02, 1.33198e+01
1.61290e-02, 1.78145e-02, 1.69717e-02, 2.24401e-02, 1.33138e+01
1.78145e-02, 1.96685e-02, 1.87415e-02, 2.46707e-02, 1.33066e+01
1.96685e-02, 2.17079e-02, 2.06882e-02, 2.71199e-02, 1.32978e+01
2.17079e-02, 2.39513e-02, 2.28296e-02, 2.98080e-02, 1.32872e+01
2.39513e-02, 2.64190e-02, 2.51851e-02, 3.27569e-02, 1.32743e+01
2.64190e-02, 2.91335e-02, 2.77762e-02, 3.59902e-02, 1.32586e+01
2.91335e-02, 3.21194e-02, 3.06264e-02, 3.95326e-02, 1.32397e+01
3.21194e-02, 3.54039e-02, 3.37616e-02, 4.34105e-02, 1.32167e+01
3.54039e-02, 3.90168e-02, 3.72104e-02, 4.76513e-02, 1.31890e+01
3.90168e-02, 4.29911e-02, 4.10040e-02, 5.22830e-02, 1.31554e+01
4.29911e-02, 4.73628e-02, 4.51769e-02, 5.73339e-02, 1.31148e+01
4.73628e-02, 5.21716e-02, 4.97672e-02, 6.28316e-02, 1.30658e+01
5.21716e-02, 5.74614e-02, 5.48165e-02, 6.88019e-02, 1.30067e+01
5.74614e-02, 6.32801e-02, 6.03707e-02, 7.52673e-02, 1.29354e+01
6.32801e-02, 6.96806e-02, 6.64804e-02, 8.22447e-02, 1.28496e+01
6.96806e-02, 7.67213e-02, 7.32010e-02, 8.97425e-02, 1.27464e+01
7.67213e-02, 8.44660e-02, 8.05936e-02, 9.77572e-02, 1.26225e+01
8.44660e-02, 9.29852e-02, 8.87256e-02, 1.06268e-01, 1.24740e+01
9.29852e-02, 1.02356e-01, 9.76707e-02, 1.15232e-01, 1.22966e+01
1.02356e-01, 1.12664e-01, 1.07510e-01, 1.24575e-01, 1.20851e+01
1.12664e-01, 1.24003e-01, 1.18334e-01, 1.34184e-01, 1.18338e+01
1.24003e-01, 1.36476e-01, 1.30240e-01, 1.43894e-01, 1.15365e+01
1.36476e-01, 1.50197e-01, 1.43336e-01, 1.53481e-01, 1.11865e+01
1.50197e-01, 1.65289e-01, 1.57743e-01, 1.62646e-01, 1.07768e+01
1.65289e-01, 1.81890e-01, 1.73590e-01, 1.71008e-01, 1.03008e+01
