# time = 9.000000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 7.25710e-05, 3.62855e-05, 0.00000e+00, 0.00000e+00
7.25710e-05, 1.52399e-04, 1.12485e-04, 1.35266e-04, 1.69447e+00
1.52399e-04, 2.40210e-04, 1.96305e-04, 1.48793e-04, 1.69447e+00
2.40210e-04, 3.36802e-04, 2.88506e-04, 1.63672e-04, 1.69447e+00
3.36802e-04, 4.43053e-04, 3.89928e-04, 1.80040e-04, 1.69447e+00
4.43053e-04, 5.59929e-04, 5.01491e-04, 1.98044e-04, 1.69447e+00
5.59929e-04, 6.88493e-04, 6.24211e-04, 2.17848e-04, 1.69447e+00
6.88493e-04, 8.29914e-04, 7.59203e-04, 2.39633e-04, 1.69447e+00
8.29914e-04, 9.85476e-04, 9.07695e-04, 2.63596e-04, 1.69447e+00
9.85476e-04, 1.15659e-03, 1.07104e-03, 2.89955e-04, 1.69447e+00
1.15659e-03, 1.34482e-03, 1.25071e-03, 3.18951e-04, 1.69447e+00
1.34482e-03, 1.55188e-03, 1.44835e-03, 3.50846e-04, 1.69447e+00
1.55188e-03, 1.77964e-03, 1.66576e-03, 3.85930e-04, 1.69447e+00
1.77964e-03, 2.03017e-03, 1.90490e-03, 4.24523e-04, 1.69447e+00
2.03017e-03, 2.30576e-03, 2.16797e-03, 4.66974e-04, 1.69446e+00
2.30576e-03, 2.60891e-03, 2.45733e-03, 5.13671e-04, 1.69446e+00
2.60891e-03, 2.94237e-03, 2.77564e-03, 5.65038e-04, 1.69446e+00
2.94237e-03, 3.30918e-03, 3.12577e-03, 6.21540e-04, 1.69446e+00
3.30918e-03, 3.71267e-03, 3.51092e-03, 6.83693e-04, 1.69445e+00
3.71267e-03, 4.15650e-03, 3.93458e-03, 7.52060e-04, 1.69445e+00
4.15650e-03, 4.64472e-03, 4.40061e-03, 8.27263e-04, 1.69444e+00
4.64472e-03, 5.18177e-03, 4.91325e-03, 9.09986e-04, 1.69444e+00
5.18177e-03, 5.77252e-03, 5.47714e-03, 1.00098e-03, 1.69443e+00
5.77252e-03, 6.42234e-03, 6.09743e-03, 1.10107e-03, 1.69442e+00
6.42234e-03, 7.13714e-03, 6.77974e-03, 1.21117e-03, 1.69441e+00
7.13714e-03, 7.92343e-03, 7.53029e-03, 1.33227e-03, 1.69439e+00
7.92343e-03, 8.78834e-03, 8.35588e-03, 1.46548e-03, 1.69437e+00
8.78834e-03, 9.73975e-03, 9.26404e-03, 1.61201e-03, 1.69435e+00
9.73975e-03, 1.07863e-02, 1.02630e-02, 1.77318e-03, 1.69432e+00
1.07863e-02, 1.19375e-02, 1.13619e-02, 1.95046e-03, 1.69429e+00
1.19375e-02, 1.32038e-02, 1.25707e-02, 2.14545e-03, 1.69424e+00
1.32038e-02, 1.45968e-02, 1.39003e-02, 2.35993e-03, 1.69419e+00
1.45968e-02, 1.61290e-02, 1.53629e-02, 2.59583e-03, 1.69413e+00
1.61290e-02, 1.78145e-02, 1.69717e-02, 2.85528e-03, 1.69406e+00
1.78145e-02, 1.96685e-02, 1.87415e-02, 3.14064e-03, 1.69396e+00
1.96685e-02, 2.17079e-02, 2.06882e-02, 3.45448e-03, 1.69385e+00
2.17079e-02, 2.39513e-02, 2.28296e-02, 3.79963e-03, 1.69372e+00
2.39513e-02, 2.64190e-02, 2.51851e-02, 4.17919e-03, 1.69356e+00
2.64190e-02, 2.91335e-02, 2.77762e-02, 4.59657e-03, 1.69336e+00
2.91335e-02, 3.21194e-02, 3.06264e-02, 5.05551e-03, 1.69312e+00
3.21194e-02, 3.54039e-02, 3.37616e-02, 5.56011e-03, 1.69283e+00
3.54039e-02, 3.90168e-02, 3.72104e-02, 6.11485e-03, 1.69248e+00
3.90168e-02, 4.29911e-02, 4.10040e-02, 6.72463e-03, 1.69205e+00
4.29911e-02, 4.73628e-02, 4.51769e-02, 7.39484e-03, 1.69153e+00
4.73628e-02, 5.21716e-02, 4.97672e-02, 8.13130e-03, 1.69090e+00
5.21716e-02, 5.74614e-02, 5.48165e-02, 8.94042e-03, 1.69014e+00
5.74614e-02, 6.32801e-02, 6.03707e-02, 9.82911e-03, 1.68923e+00
