# time = 1.000000000000000e+01# start, end, pivot, particles, density
0.00000e+00, 7.25710e-05, 3.62855e-05, 1.40563e-03, 1.93691e+01
7.25710e-05, 1.52399e-04, 1.12485e-04, 1.54619e-03, 1.93690e+01
1.52399e-04, 2.40210e-04, 1.96305e-04, 1.70081e-03, 1.93690e+01
2.40210e-04, 3.36802e-04, 2.88506e-04, 1.87089e-03, 1.93690e+01
3.36802e-04, 4.43053e-04, 3.89928e-04, 2.05798e-03, 1.93690e+01
4.43053e-04, 5.59929e-04, 5.01491e-04, 2.26378e-03, 1.93690e+01
5.59929e-04, 6.88493e-04, 6.24211e-04, 2.49015e-03, 1.93690e+01
6.88493e-04, 8.29914e-04, 7.59203e-04, 2.73916e-03, 1.93690e+01
8.29914e-04, 9.85476e-04, 9.07695e-04, 3.01307e-03, 1.93689e+01
9.85476e-04, 1.15659e-03, 1.07104e-03, 3.31437e-03, 1.93689e+01
1.15659e-03, 1.34482e-03, 1.25071e-03, 3.64579e-03, 1.93688e+01
1.34482e-03, 1.55188e-03, 1.44835e-03, 4.01035e-03, 1.93687e+01
1.55188e-03, 1.77964e-03, 1.66576e-03, 4.41136e-03, 1.93686e+01
1.77964e-03, 2.03017e-03, 1.90490e-03, 4.85246e-03, 1.93684e+01
2.03017e-03, 2.30576e-03, 2.16797e-03, 5.33766e-03, 1.93682e+01
2.30576e-03, 2.60891e-03, 2.45733e-03, 5.87135e-03, 1.93680e+01
2.60891e-03, 2.94237e-03, 2.77564e-03, 6.45839e-03, 1.93677e+01
2.94237e-03, 3.30918e-03, 3.12577e-03, 7.10410e-03, 1.93674e+01
3.30918e-03, 3.71267e-03, 3.51092e-03, 7.81433e-03, 1.93669e+01
3.71267e-03, 4.15650e-03, 3.93458e-03, 8.59552e-03, 1.93664e+01
4.15650e-03, 4.64472e-03, 4.40061e-03, 9.45474e-03, 1.93657e+01
4.64472e-03, 5.18177e-03, 4.91325e-03, 1.03998e-02, 1.93649e+01
5.18177e-03, 5.77252e-03, 5.47714e-03, 1.14391e-02, 1.93638e+01
5.77252e-03, 6.42234e-03, 6.09743e-03, 1.25822e-02, 1.93626e+01
6.42234e-03, 7.13714e-03, 6.77974e-03, 1.38394e-02, 1.93611e+01
7.13714e-03, 7.92343e-03, 7.53029e-03, 1.52219e-02, 1.93592e+01
7.92343e-03, 8.78834e-03, 8.35588e-03, 1.67421e-02, 1.93569e+01
8.78834e-03, 9.73975e-03, 9.26404e-03, 1.84136e-02, 1.93541e+01
9.73975e-03, 1.07863e-02, 1.02630e-02, 2.02515e-02, 1.93508e+01
1.07863e-02, 1.19375e-02, 1.13619e-02, 2.22718e-02, 1.93466e+01
1.19375e-02, 1.32038e-02, 1.25707e-02, 2.44927e-02, 1.93416e+01
1.32038e-02, 1.45968e-02, 1.39003e-02, 2.69334e-02, 1.93355e+01
1.45968e-02, 1.61290e-02, 1.53629e-02, 2.96154e-02, 1.93281e+01
1.61290e-02, 1.78145e-02, 1.69717e-02, 3.25617e-02, 1.93191e+01
1.78145e-02, 1.96685e-02, 1.87415e-02, 3.57976e-02, 1.93081e+01
1.96685e-02, 2.17079e-02, 2.06882e-02, 3.93502e-02, 1.92948e+01
2.17079e-02, 2.39513e-02, 2.28296e-02, 4.32491e-02, 1.92787e+01
