# time = 1.000000000000000e+01# start, end, pivot, particles, density
0.00000e+00, 7.25710e-05, 3.62855e-05, 0.00000e+00, 0.00000e+00
7.25710e-05, 1.52399e-04, 1.12485e-04, 1.31425e-03, 1.64635e+01
1.52399e-04, 2.40210e-04, 1.96305e-04, 1.44568e-03, 1.64635e+01
2.40210e-04, 3.36802e-04, 2.88506e-04, 1.59024e-03, 1.64635e+01
3.36802e-04, 4.43053e-04, 3.89928e-04, 1.74927e-03, 1.64635e+01
4.43053e-04, 5.59929e-04, 5.01491e-04, 1.92419e-03, 1.64635e+01
5.59929e-04, 6.88493e-04, 6.24211e-04, 2.11661e-03, 1.64635e+01
6.88493e-04, 8.29914e-04, 7.59203e-04, 2.32826e-03, 1.64634e+01
8.29914e-04, 9.85476e-04, 9.07695e-04, 2.56108e-03, 1.64634e+01
9.85476e-04, 1.15659e-03, 1.07104e-03, 2.81718e-03, 1.64633e+01
1.15659e-03, 1.34482e-03, 1.25071e-03, 3.09889e-03, 1.64633e+01
1.34482e-03, 1.55188e-03, 1.44835e-03, 3.40876e-03, 1.64632e+01
1.55188e-03, 1.77964e-03, 1.66576e-03, 3.74961e-03, 1.64631e+01
1.77964e-03, 2.03017e-03, 1.90490e-03, 4.12453e-03, 1.64629e+01
2.03017e-03, 2.30576e-03, 2.16797e-03, 4.53694e-03, 1.64627e+01
2.30576e-03, 2.60891e-03, 2.45733e-03, 4.99056e-03, 1.64625e+01
2.60891e-03, 2.94237e-03, 2.77564e-03, 5.48953e-03, 1.64623e+01
2.94237e-03, 3.30918e-03, 3.12577e-03, 6.03836e-03, 1.64619e+01
3.30918e-03, 3.71267e-03, 3.51092e-03, 6.64203e-03, 1.64615e+01
3.71267e-03, 4.15650e-03, 3.93458e-03, 7.30600e-03, 1.64610e+01
4.15650e-03, 4.64472e-03, 4.40061e-03, 8.03629e-03, 1.64603e+01
4.64472e-03, 5.18177e-03, 4.91325e-03, 8.83950e-03, 1.64596e+01
5.18177e-03, 5.77252e-03, 5.47714e-03, 9.72289e-03, 1.64586e+01
5.77252e-03, 6.42234e-03, 6.09743e-03, 1.06944e-02, 1.64574e+01
6.42234e-03, 7.13714e-03, 6.77974e-03, 1.17628e-02, 1.64560e+01
7.13714e-03, 7.92343e-03, 7.53029e-03, 1.29377e-02, 1.64543e+01
7.92343e-03, 8.78834e-03, 8.35588e-03, 1.42297e-02, 1.64521e+01
8.78834e-03, 9.73975e-03, 9.26404e-03, 1.56502e-02, 1.64495e+01
9.73975e-03, 1.07863e-02, 1.02630e-02, 1.72119e-02, 1.64464e+01
1.07863e-02, 1.19375e-02, 1.13619e-02, 1.89286e-02, 1.64425e+01
1.19375e-02, 1.32038e-02, 1.25707e-02, 2.08155e-02, 1.64378e+01
1.32038e-02, 1.45968e-02, 1.39003e-02, 2.28891e-02, 1.64321e+01
1.45968e-02, 1.61290e-02, 1.53629e-02, 2.51674e-02, 1.64251e+01
1.61290e-02, 1.78145e-02, 1.69717e-02, 2.76699e-02, 1.64167e+01
1.78145e-02, 1.96685e-02, 1.87415e-02, 3.04179e-02, 1.64065e+01
1.96685e-02, 2.17079e-02, 2.06882e-02, 3.34343e-02, 1.63940e+01
2.17079e-02, 2.39513e-02, 2.28296e-02, 3.67439e-02, 1.63789e+01
2.39513e-02, 2.64190e-02, 2.51851e-02, 4.03732e-02, 1.63607e+01
2.64190e-02, 2.91335e-02, 2.77762e-02, 4.43504e-02, 1.63385e+01
2.91335e-02, 3.21194e-02, 3.06264e-02, 4.87052e-02, 1.63117e+01
3.21194e-02, 3.54039e-02, 3.37616e-02, 5.34690e-02, 1.62792e+01
3.54039e-02, 3.90168e-02, 3.72104e-02, 5.86738e-02, 1.62398e+01
3.90168e-02, 4.29911e-02, 4.10040e-02, 6.43522e-02, 1.61923e+01
4.29911e-02, 4.73628e-02, 4.51769e-02, 7.05361e-02, 1.61348e+01
4.73628e-02, 5.21716e-02, 4.97672e-02, 7.72560e-02, 1.60654e+01
5.21716e-02, 5.74614e-02, 5.48165e-02, 8.45387e-02, 1.59816e+01
5.74614e-02, 6.32801e-02, 6.03707e-02, 9.24053e-02, 1.58807e+01
6.32801e-02, 6.96806e-02, 6.64804e-02, 1.00868e-01, 1.57592e+01
6.96806e-02, 7.67213e-02, 7.32010e-02, 1.09927e-01, 1.56132e+01
7.67213e-02, 8.44660e-02, 8.05936e-02, 1.19562e-01, 1.54379e+01
8.44660e-02, 9.29852e-02, 8.87256e-02, 1.29730e-01, 1.52280e+01
9.29852e-02, 1.02356e-01, 9.76707e-02, 1.40353e-01, 1.49772e+01
1.02356e-01, 1.12664e-01, 1.07510e-01, 1.51309e-01, 1.46785e+01
1.12664e-01, 1.24003e-01, 1.18334e-01, 1.62420e-01, 1.43240e+01
1.24003e-01, 1.36476e-01, 1.30240e-01, 1.73436e-01, 1.39050e+01
1.36476e-01, 1.50197e-01, 1.43336e-01, 1.84021e-01, 1.34124e+01
1.50197e-01, 1.65289e-01, 1.57743e-01, 1.93737e-01, 1.28369e+01
1.65289e-01, 1.81890e-01, 1.73590e-01, 2.02036e-01, 1.21698e+01
1.81890e-01, 2.00152e-01, 1.91021e-01, 2.08250e-01, 1.14037e+01
2.00152e-01, 2.20240e-01, 2.10196e-01, 2.11607e-01, 1.05341e+01
2.20240e-01, 2.42336e-01, 2.31288e-01, 2.11266e-01, 9.56103e+00
2.42336e-01, 2.66642e-01, 2.54489e-01, 2.06383e-01, 8.49098e+00
2.66642e-01, 2.93379e-01, 2.80011e-01, 1.96237e-01, 7.33957e+00
2.93379e-01, 3.22790e-01, 3.08084e-01, 1.80392e-01, 6.13361e+00
3.22790e-01, 3.55141e-01, 3.38965e-01, 1.58927e-01, 4.91250e+00
3.55141e-01, 3.90728e-01, 3.72934e-01, 1.32658e-01, 3.72773e+00
3.90728e-01, 4.29873e-01, 4.10301e-01, 1.03310e-01, 2.63913e+00
4.29873e-01, 4.72933e-01, 4.51403e-01, 7.34943e-02, 1.70679e+00
4.72933e-01, 5.20299e-01, 4.96616e-01, 4.63569e-02, 9.78698e-01
5.20299e-01, 5.72401e-01, 5.46350e-01, 2.48140e-02, 4.76255e-01
5.72401e-01, 6.29714e-01, 6.01058e-01, 1.05357e-02, 1.83828e-01
6.29714e-01, 6.92758e-01, 6.61236e-01, 3.17466e-03, 5.03563e-02
6.92758e-01, 7.62106e-01, 7.27432e-01, 5.55669e-04, 8.01272e-03
7.62106e-01, 8.38390e-01, 8.00248e-01, 3.74676e-05, 4.91165e-04
8.38390e-01, 9.22301e-01, 8.80345e-01, 3.32416e-07, 3.96151e-06
9.22301e-01, 1.01460e+00, 9.68453e-01, 8.52875e-13, 9.23998e-12
1.01460e+00, 1.11614e+00, 1.06537e+00, 0.00000e+00, 0.00000e+00
1.11614e+00, 1.22782e+00, 1.17198e+00, 0.00000e+00, 0.00000e+00
1.22782e+00, 1.35068e+00, 1.28925e+00, 0.00000e+00, 0.00000e+00
1.35068e+00, 1.48582e+00, 1.41825e+00, 0.00000e+00, 0.00000e+00
1.48582e+00, 1.63447e+00, 1.56015e+00, 0.00000e+00, 0.00000e+00
1.63447e+00, 1.79799e+00, 1.71623e+00, 0.00000e+00, 0.00000e+00
1.79799e+00, 1.97786e+00, 1.88793e+00, 0.00000e+00, 0.00000e+00
1.97786e+00, 2.17572e+00, 2.07679e+00, 0.00000e+00, 0.00000e+00
2.17572e+00, 2.39337e+00, 2.28455e+00, 0.00000e+00, 0.00000e+00
2.39337e+00, 2.63278e+00, 2.51307e+00, 0.00000e+00, 0.00000e+00
2.63278e+00, 2.89613e+00, 2.76445e+00, 0.00000e+00, 0.00000e+00
2.89613e+00, 3.18581e+00, 3.04097e+00, 0.00000e+00, 0.00000e+00
3.18581e+00, 3.50447e+00, 3.34514e+00, 0.00000e+00, 0.00000e+00
3.50447e+00, 3.85499e+00, 3.67973e+00, 0.00000e+00, 0.00000e+00
3.85499e+00, 4.24056e+00, 4.04777e+00, 0.00000e+00, 0.00000e+00
4.24056e+00, 4.66469e+00, 4.45262e+00, 0.00000e+00, 0.00000e+00
4.66469e+00, 5.13123e+00, 4.89796e+00, 0.00000e+00, 0.00000e+00
5.13123e+00, 5.64442e+00, 5.38783e+00, 0.00000e+00, 0.00000e+00
5.64442e+00, 6.20894e+00, 5.92668e+00, 0.00000e+00, 0.00000e+00
6.20894e+00, 6.82990e+00, 6.51942e+00, 0.00000e+00, 0.00000e+00
6.82990e+00, 7.51297e+00, 7.17144e+00, 0.00000e+00, 0.00000e+00
7.51297e+00, 8.26434e+00, 7.88865e+00, 0.00000e+00, 0.00000e+00
8.26434e+00, 9.09084e+00, 8.67759e+00, 0.00000e+00, 0.00000e+00
9.09084e+00, 1.00000e+01, 9.54542e+00, 0.00000e+00, 0.00000e+00
