# time = 3.000000000000000e+00# start, end, pivot, particles, density
0.00000e+00, 8.59174e-03, 4.29587e-03, 5.09949e-02, 5.93534e+00
8.59174e-03, 1.80427e-02, 1.33172e-02, 5.60774e-02, 5.93354e+00
1.80427e-02, 2.84387e-02, 2.32407e-02, 6.16409e-02, 5.92928e+00
2.84387e-02, 3.98743e-02, 3.41565e-02, 6.77206e-02, 5.92191e+00
3.98743e-02, 5.24534e-02, 4.61639e-02, 7.43499e-02, 5.91056e+00
5.24534e-02, 6.62905e-02, 5.93720e-02, 8.15578e-02, 5.89415e+00
6.62905e-02, 8.15113e-02, 7.39009e-02, 8.93671e-02, 5.87138e+00
8.15113e-02, 9.82542e-02, 8.98827e-02, 9.77894e-02, 5.84066e+00
9.82542e-02, 1.16671e-01, 1.07463e-01, 1.06821e-01, 5.80006e+00
1.16671e-01, 1.36930e-01, 1.26801e-01, 1.16432e-01, 5.74723e+00
1.36930e-01, 1.59215e-01, 1.48073e-01, 1.26564e-01, 5.67940e+00
1.59215e-01, 1.83728e-01, 1.71472e-01, 1.37108e-01, 5.59323e+00
1.83728e-01, 2.10693e-01, 1.97210e-01, 1.47895e-01, 5.48479e+00
2.10693e-01, 2.40354e-01, 2.25523e-01, 1.58672e-01, 5.34952e+00
2.40354e-01, 2.72981e-01, 2.56667e-01, 1.69079e-01, 5.18215e+00
2.72981e-01, 3.08871e-01, 2.90926e-01, 1.78616e-01, 4.97678e+00
3.08871e-01, 3.48350e-01, 3.28610e-01, 1.86614e-01, 4.72695e+00
3.48350e-01, 3.91776e-01, 3.70063e-01, 1.92202e-01, 4.42590e+00
3.91776e-01, 4.39546e-01, 4.15661e-01, 1.94283e-01, 4.06711e+00
4.39546e-01, 4.92092e-01, 4.65819e-01, 1.91536e-01, 3.64510e+00
4.92092e-01, 5.49893e-01, 5.20992e-01, 1.82475e-01, 3.15695e+00
5.49893e-01, 6.13474e-01, 5.81683e-01, 1.65605e-01, 2.60463e+00
6.13474e-01, 6.83413e-01, 6.48443e-01, 1.39791e-01, 1.99875e+00
6.83413e-01, 7.60346e-01, 7.21880e-01, 1.04975e-01, 1.36449e+00
7.60346e-01, 8.44972e-01, 8.02659e-01, 6.36144e-02, 7.51709e-01
8.44972e-01, 9.38061e-01, 8.91517e-01, 2.23041e-02, 2.39600e-01
9.38061e-01, 1.04046e+00, 9.89260e-01, 8.88382e-04, 8.67578e-03
1.04046e+00, 1.15310e+00, 1.09678e+00, 0.00000e+00, 0.00000e+00
1.15310e+00, 1.27700e+00, 1.21505e+00, 0.00000e+00, 0.00000e+00
1.27700e+00, 1.41329e+00, 1.34514e+00, 0.00000e+00, 0.00000e+00
1.41329e+00, 1.56321e+00, 1.48825e+00, 0.00000e+00, 0.00000e+00
1.56321e+00, 1.72812e+00, 1.64567e+00, 0.00000e+00, 0.00000e+00
1.72812e+00, 1.90953e+00, 1.81883e+00, 0.00000e+00, 0.00000e+00
1.90953e+00, 2.10907e+00, 2.00930e+00, 0.00000e+00, 0.00000e+00
2.10907e+00, 2.32857e+00, 2.21882e+00, 0.00000e+00, 0.00000e+00
2.32857e+00, 2.57002e+00, 2.44930e+00, 0.00000e+00, 0.00000e+00
2.57002e+00, 2.83561e+00, 2.70282e+00, 0.00000e+00, 0.00000e+00
2.83561e+00, 3.12777e+00, 2.98169e+00, 0.00000e+00, 0.00000e+00
3.12777e+00, 3.44914e+00, 3.28845e+00, 0.00000e+00, 0.00000e+00
3.44914e+00, 3.80264e+00, 3.62589e+00, 0.00000e+00, 0.00000e+00
3.80264e+00, 4.19150e+00, 3.99707e+00, 0.00000e+00, 0.00000e+00
4.19150e+00, 4.61924e+00, 4.40537e+00, 0.00000e+00, 0.00000e+00
4.61924e+00, 5.08975e+00, 4.85450e+00, 0.00000e+00, 0.00000e+00
5.08975e+00, 5.60732e+00, 5.34854e+00, 0.00000e+00, 0.00000e+00
5.60732e+00, 6.17664e+00, 5.89198e+00, 0.00000e+00, 0.00000e+00
6.17664e+00, 6.80290e+00, 6.48977e+00, 0.00000e+00, 0.00000e+00
6.80290e+00, 7.49178e+00, 7.14734e+00, 0.00000e+00, 0.00000e+00
7.49178e+00, 8.24955e+00, 7.87067e+00, 0.00000e+00, 0.00000e+00
8.24955e+00, 9.08310e+00, 8.66632e+00, 0.00000e+00, 0.00000e+00
9.08310e+00, 1.00000e+01, 9.54155e+00, 0.00000e+00, 0.00000e+00
