# time = 1.000000000000000e+00# start, end, pivot, particles, density
0.00000e+00, 7.25710e-04, 3.62855e-04, 7.25447e-04, 9.99637e-01
7.25710e-04, 1.52399e-03, 1.12485e-03, 2.60544e-03, 3.26382e+00
1.52399e-03, 2.40210e-03, 1.96305e-03, 2.86087e-03, 3.25799e+00
2.40210e-03, 3.36802e-03, 2.88506e-03, 3.14096e-03, 3.25179e+00
3.36802e-03, 4.43053e-03, 3.89928e-03, 3.44820e-03, 3.24533e+00
4.43053e-03, 5.59929e-03, 5.01491e-03, 3.78468e-03, 3.23819e+00
5.59929e-03, 6.88493e-03, 6.24211e-03, 4.15221e-03, 3.22968e+00
6.88493e-03, 8.29914e-03, 7.59203e-03, 4.55483e-03, 3.22077e+00
8.29914e-03, 9.85476e-03, 9.07695e-03, 4.99625e-03, 3.21174e+00
9.85476e-03, 1.15659e-02, 1.07104e-02, 5.47600e-03, 3.20012e+00
1.15659e-02, 1.34482e-02, 1.25071e-02, 6.00329e-03, 3.18933e+00
1.34482e-02, 1.55188e-02, 1.44835e-02, 6.57601e-03, 3.17600e+00
1.55188e-02, 1.77964e-02, 1.66576e-02, 7.20338e-03, 3.16272e+00
1.77964e-02, 2.03017e-02, 1.90490e-02, 7.88203e-03, 3.14608e+00
2.03017e-02, 2.30576e-02, 2.16797e-02, 8.62818e-03, 3.13082e+00
2.30576e-02, 2.60891e-02, 2.45733e-02, 9.43238e-03, 3.11149e+00
2.60891e-02, 2.94237e-02, 2.77564e-02, 1.03092e-02, 3.09156e+00
2.94237e-02, 3.30918e-02, 3.12577e-02, 1.12609e-02, 3.06998e+00
3.30918e-02, 3.71267e-02, 3.51092e-02, 1.22904e-02, 3.04604e+00
3.71267e-02, 4.15650e-02, 3.93458e-02, 1.34000e-02, 3.01912e+00
4.15650e-02, 4.64472e-02, 4.40061e-02, 1.46060e-02, 2.99167e+00
4.64472e-02, 5.18177e-02, 4.91325e-02, 1.58993e-02, 2.96053e+00
5.18177e-02, 5.77252e-02, 5.47714e-02, 1.72860e-02, 2.92613e+00
5.77252e-02, 6.42234e-02, 6.09743e-02, 1.87813e-02, 2.89022e+00
6.42234e-02, 7.13714e-02, 6.77974e-02, 2.03691e-02, 2.84960e+00
7.13714e-02, 7.92343e-02, 7.53029e-02, 2.20738e-02, 2.80735e+00
7.92343e-02, 8.78834e-02, 8.35588e-02, 2.38713e-02, 2.75997e+00
8.78834e-02, 9.73975e-02, 9.26404e-02, 2.57839e-02, 2.71008e+00
9.73975e-02, 1.07863e-01, 1.02630e-01, 2.77933e-02, 2.65572e+00
1.07863e-01, 1.19375e-01, 1.13619e-01, 2.98898e-02, 2.59641e+00
1.19375e-01, 1.32038e-01, 1.25707e-01, 3.20793e-02, 2.53327e+00
1.32038e-01, 1.45968e-01, 1.39003e-01, 3.43435e-02, 2.46552e+00
1.45968e-01, 1.61290e-01, 1.53629e-01, 3.66845e-02, 2.39416e+00
1.61290e-01, 1.78145e-01, 1.69717e-01, 3.90509e-02, 2.31691e+00
1.78145e-01, 1.96685e-01, 1.87415e-01, 4.14293e-02, 2.23457e+00
1.96685e-01, 2.17079e-01, 2.06882e-01, 4.38117e-02, 2.14824e+00
2.17079e-01, 2.39513e-01, 2.28296e-01, 4.61437e-02, 2.05690e+00
2.39513e-01, 2.64190e-01, 2.51851e-01, 4.83745e-02, 1.96031e+00
2.64190e-01, 2.91335e-01, 2.77762e-01, 5.04847e-02, 1.85984e+00
2.91335e-01, 3.21194e-01, 3.06264e-01, 5.24024e-02, 1.75499e+00
3.21194e-01, 3.54039e-01, 3.37616e-01, 5.40811e-02, 1.64655e+00
3.54039e-01, 3.90168e-01, 3.72104e-01, 5.54553e-02, 1.53490e+00
3.90168e-01, 4.29911e-01, 4.10040e-01, 5.64683e-02, 1.42085e+00
4.29911e-01, 4.73628e-01, 4.51769e-01, 5.70593e-02, 1.30520e+00
4.73628e-01, 5.21716e-01, 4.97672e-01, 5.71721e-02, 1.18889e+00
5.21716e-01, 5.74614e-01, 5.48165e-01, 5.67417e-02, 1.07268e+00
5.74614e-01, 6.32801e-01, 6.03707e-01, 5.57436e-02, 9.58006e-01
6.32801e-01, 6.96806e-01, 6.64804e-01, 5.41496e-02, 8.46012e-01
6.96806e-01, 7.67213e-01, 7.32010e-01, 5.19468e-02, 7.37814e-01
7.67213e-01, 8.44660e-01, 8.05936e-01, 4.91575e-02, 6.34725e-01
8.44660e-01, 9.29852e-01, 8.87256e-01, 4.58239e-02, 5.37892e-01
9.29852e-01, 1.02356e+00, 9.76707e-01, 4.20155e-02, 4.48353e-01
1.02356e+00, 1.12664e+00, 1.07510e+00, 3.78332e-02, 3.67021e-01
1.12664e+00, 1.24003e+00, 1.18334e+00, 3.33890e-02, 2.94461e-01
1.24003e+00, 1.36476e+00, 1.30240e+00, 2.88238e-02, 2.31091e-01
1.36476e+00, 1.50197e+00, 1.43336e+00, 2.42916e-02, 1.77049e-01
1.50197e+00, 1.65289e+00, 1.57743e+00, 1.99362e-02, 1.32096e-01
1.65289e+00, 1.81890e+00, 1.73590e+00, 1.58920e-02, 9.57267e-02
1.81890e+00, 2.00152e+00, 1.91021e+00, 1.22695e-02, 6.71874e-02
2.00152e+00, 2.20240e+00, 2.10196e+00, 9.14596e-03, 4.55300e-02
2.20240e+00, 2.42336e+00, 2.31288e+00, 6.56001e-03, 2.96880e-02
2.42336e+00, 2.66642e+00, 2.54489e+00, 4.51058e-03, 1.85573e-02
2.66642e+00, 2.93379e+00, 2.80011e+00, 2.96103e-03, 1.10748e-02
2.93379e+00, 3.22790e+00, 3.08084e+00, 1.84760e-03, 6.28212e-03
3.22790e+00, 3.55141e+00, 3.38965e+00, 1.09049e-03, 3.37077e-03
3.55141e+00, 3.90728e+00, 3.72934e+00, 6.05615e-04, 1.70180e-03
3.90728e+00, 4.29873e+00, 4.10301e+00, 3.14657e-04, 8.03816e-04
4.29873e+00, 4.72933e+00, 4.51403e+00, 1.51994e-04, 3.52983e-04
4.72933e+00, 5.20299e+00, 4.96616e+00, 6.77958e-05, 1.43132e-04
5.20299e+00, 5.72401e+00, 5.46350e+00, 2.77221e-05, 5.32068e-05
5.72401e+00, 6.29714e+00, 6.01058e+00, 1.03089e-05, 1.79871e-05
6.29714e+00, 6.92758e+00, 6.61236e+00, 3.45650e-06, 5.48268e-06
6.92758e+00, 7.62106e+00, 7.27432e+00, 1.03527e-06, 1.49285e-06
7.62106e+00, 8.38390e+00, 8.00248e+00, 2.74226e-07, 3.59484e-07
8.38390e+00, 9.22301e+00, 8.80345e+00, 6.35509e-08, 7.57356e-08
9.22301e+00, 1.01460e+01, 9.68453e+00, 1.27370e-08, 1.37991e-08
1.01460e+01, 1.11614e+01, 1.06537e+01, 2.18051e-09, 2.14759e-09
1.11614e+01, 1.22782e+01, 1.17198e+01, 3.14667e-10, 2.81742e-10
