# time = 5.200000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 7.25710e-04, 3.62855e-04, 7.25447e-04, 9.99637e-01
7.25710e-04, 1.52399e-03, 1.12485e-03, 1.95410e-03, 2.44788e+00
1.52399e-03, 2.40210e-03, 1.96305e-03, 2.14643e-03, 2.44438e+00
2.40210e-03, 3.36802e-03, 2.88506e-03, 2.35739e-03, 2.44057e+00
3.36802e-03, 4.43053e-03, 3.89928e-03, 2.58882e-03, 2.43651e+00
4.43053e-03, 5.59929e-03, 5.01491e-03, 2.84247e-03, 2.43203e+00
5.59929e-03, 6.88493e-03, 6.24211e-03, 3.12008e-03, 2.42687e+00
6.88493e-03, 8.29914e-03, 7.59203e-03, 3.42430e-03, 2.42137e+00
8.29914e-03, 9.85476e-03, 9.07695e-03, 3.75776e-03, 2.41559e+00
9.85476e-03, 1.15659e-02, 1.07104e-02, 4.12161e-03, 2.40863e+00
1.15659e-02, 1.34482e-02, 1.25071e-02, 4.52075e-03, 2.40171e+00
1.34482e-02, 1.55188e-02, 1.44835e-02, 4.95596e-03, 2.39356e+00
1.55188e-02, 1.77964e-02, 1.66576e-02, 5.43234e-03, 2.38513e+00
1.77964e-02, 2.03017e-02, 1.90490e-02, 5.95045e-03, 2.37510e+00
2.03017e-02, 2.30576e-02, 2.16797e-02, 6.51825e-03, 2.36521e+00
2.30576e-02, 2.60891e-02, 2.45733e-02, 7.13427e-03, 2.35340e+00
2.60891e-02, 2.94237e-02, 2.77564e-02, 7.80611e-03, 2.34093e+00
2.94237e-02, 3.30918e-02, 3.12577e-02, 8.53695e-03, 2.32736e+00
3.30918e-02, 3.71267e-02, 3.51092e-02, 9.33021e-03, 2.31238e+00
3.71267e-02, 4.15650e-02, 3.93458e-02, 1.01892e-02, 2.29572e+00
4.15650e-02, 4.64472e-02, 4.40061e-02, 1.11228e-02, 2.27823e+00
4.64472e-02, 5.18177e-02, 4.91325e-02, 1.21301e-02, 2.25869e+00
5.18177e-02, 5.77252e-02, 5.47714e-02, 1.32161e-02, 2.23719e+00
5.77252e-02, 6.42234e-02, 6.09743e-02, 1.43892e-02, 2.21433e+00
6.42234e-02, 7.13714e-02, 6.77974e-02, 1.56459e-02, 2.18883e+00
7.13714e-02, 7.92343e-02, 7.53029e-02, 1.69980e-02, 2.16181e+00
7.92343e-02, 8.78834e-02, 8.35588e-02, 1.84385e-02, 2.13183e+00
8.78834e-02, 9.73975e-02, 9.26404e-02, 1.99781e-02, 2.09985e+00
9.73975e-02, 1.07863e-01, 1.02630e-01, 2.16114e-02, 2.06502e+00
1.07863e-01, 1.19375e-01, 1.13619e-01, 2.33356e-02, 2.02707e+00
1.19375e-01, 1.32038e-01, 1.25707e-01, 2.51536e-02, 1.98635e+00
1.32038e-01, 1.45968e-01, 1.39003e-01, 2.70578e-02, 1.94248e+00
1.45968e-01, 1.61290e-01, 1.53629e-01, 2.90478e-02, 1.89577e+00
1.61290e-01, 1.78145e-01, 1.69717e-01, 3.11007e-02, 1.84522e+00
1.78145e-01, 1.96685e-01, 1.87415e-01, 3.32068e-02, 1.79107e+00
1.96685e-01, 2.17079e-01, 2.06882e-01, 3.53574e-02, 1.73370e+00
2.17079e-01, 2.39513e-01, 2.28296e-01, 3.75229e-02, 1.67262e+00
2.39513e-01, 2.64190e-01, 2.51851e-01, 3.96721e-02, 1.60765e+00
2.64190e-01, 2.91335e-01, 2.77762e-01, 4.17848e-02, 1.53934e+00
2.91335e-01, 3.21194e-01, 3.06264e-01, 4.38158e-02, 1.46741e+00
3.21194e-01, 3.54039e-01, 3.37616e-01, 4.57273e-02, 1.39221e+00
3.54039e-01, 3.90168e-01, 3.72104e-01, 4.74700e-02, 1.31388e+00
3.90168e-01, 4.29911e-01, 4.10040e-01, 4.89951e-02, 1.23281e+00
4.29911e-01, 4.73628e-01, 4.51769e-01, 5.02487e-02, 1.14941e+00
4.73628e-01, 5.21716e-01, 4.97672e-01, 5.11759e-02, 1.06420e+00
5.21716e-01, 5.74614e-01, 5.48165e-01, 5.17143e-02, 9.77634e-01
5.74614e-01, 6.32801e-01, 6.03707e-01, 5.18188e-02, 8.90555e-01
6.32801e-01, 6.96806e-01, 6.64804e-01, 5.14420e-02, 8.03708e-01
6.96806e-01, 7.67213e-01, 7.32010e-01, 5.05432e-02, 7.17878e-01
7.67213e-01, 8.44660e-01, 8.05936e-01, 4.91020e-02, 6.34008e-01
8.44660e-01, 9.29852e-01, 8.87256e-01, 4.71122e-02, 5.53013e-01
9.29852e-01, 1.02356e+00, 9.76707e-01, 4.45881e-02, 4.75805e-01
1.02356e+00, 1.12664e+00, 1.07510e+00, 4.15708e-02, 4.03279e-01
1.12664e+00, 1.24003e+00, 1.18334e+00, 3.81181e-02, 3.36168e-01
