# time = 2.300000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 2.19794e-03, 1.09897e-03, 3.73855e-03, 1.70094e+00
2.19794e-03, 4.83546e-03, 3.51670e-03, 4.47251e-03, 1.69572e+00
4.83546e-03, 8.00049e-03, 6.41798e-03, 5.34657e-03, 1.68926e+00
8.00049e-03, 1.17985e-02, 9.89951e-03, 6.38466e-03, 1.68104e+00
1.17985e-02, 1.63562e-02, 1.40774e-02, 7.62523e-03, 1.67306e+00
1.63562e-02, 2.18253e-02, 1.90908e-02, 9.08729e-03, 1.66155e+00
2.18253e-02, 2.83884e-02, 2.51069e-02, 1.08166e-02, 1.64811e+00
2.83884e-02, 3.62640e-02, 3.23262e-02, 1.28687e-02, 1.63400e+00
3.62640e-02, 4.57147e-02, 4.09893e-02, 1.52675e-02, 1.61548e+00
4.57147e-02, 5.70556e-02, 5.13851e-02, 1.80567e-02, 1.59218e+00
5.70556e-02, 7.06646e-02, 6.38601e-02, 2.13588e-02, 1.56945e+00
7.06646e-02, 8.69955e-02, 7.88301e-02, 2.51001e-02, 1.53697e+00
8.69955e-02, 1.06593e-01, 9.67940e-02, 2.94547e-02, 1.50302e+00
1.06593e-01, 1.30109e-01, 1.18351e-01, 3.43681e-02, 1.46145e+00
1.30109e-01, 1.58329e-01, 1.44219e-01, 3.99036e-02, 1.41403e+00
1.58329e-01, 1.92192e-01, 1.75261e-01, 4.59164e-02, 1.35592e+00
1.92192e-01, 2.32829e-01, 2.12511e-01, 5.25859e-02, 1.29406e+00
2.32829e-01, 2.81592e-01, 2.57211e-01, 5.94756e-02, 1.21967e+00
2.81592e-01, 3.40109e-01, 3.10851e-01, 6.66024e-02, 1.13818e+00
3.40109e-01, 4.10329e-01, 3.75219e-01, 7.35218e-02, 1.04703e+00
4.10329e-01, 4.94592e-01, 4.52460e-01, 8.01484e-02, 9.51163e-01
4.94592e-01, 5.95709e-01, 5.45150e-01, 8.47429e-02, 8.38073e-01
5.95709e-01, 7.17048e-01, 6.56379e-01, 8.82456e-02, 7.27261e-01
7.17048e-01, 8.62656e-01, 7.89852e-01, 8.90503e-02, 6.11577e-01
8.62656e-01, 1.03739e+00, 9.50021e-01, 8.67990e-02, 4.96763e-01
1.03739e+00, 1.24706e+00, 1.14222e+00, 8.11492e-02, 3.87024e-01
1.24706e+00, 1.49867e+00, 1.37287e+00, 7.21545e-02, 2.86771e-01
1.49867e+00, 1.80060e+00, 1.64964e+00, 6.04117e-02, 2.00084e-01
1.80060e+00, 2.16292e+00, 1.98176e+00, 4.73768e-02, 1.30760e-01
2.16292e+00, 2.59770e+00, 2.38031e+00, 3.31969e-02, 7.63530e-02
2.59770e+00, 3.11944e+00, 2.85857e+00, 2.15519e-02, 4.13078e-02
3.11944e+00, 3.74553e+00, 3.43248e+00, 1.22195e-02, 1.95173e-02
3.74553e+00, 4.49683e+00, 4.12118e+00, 5.96831e-03, 7.94394e-03
4.49683e+00, 5.39839e+00, 4.94761e+00, 2.40875e-03, 2.67174e-03
5.39839e+00, 6.48027e+00, 5.93933e+00, 7.99137e-04, 7.38658e-04
6.48027e+00, 7.77852e+00, 7.12940e+00, 2.03613e-04, 1.56836e-04
7.77852e+00, 9.33643e+00, 8.55747e+00, 3.83633e-05, 2.46249e-05
9.33643e+00, 1.12059e+01, 1.02712e+01, 5.05997e-06, 2.70661e-06
1.12059e+01, 1.34493e+01, 1.23276e+01, 4.40089e-07, 1.96172e-07
1.34493e+01, 1.61413e+01, 1.47953e+01, 2.35058e-08, 8.73155e-09
1.61413e+01, 1.93718e+01, 1.77566e+01, 7.15337e-10, 2.21435e-10
1.93718e+01, 2.32484e+01, 2.13101e+01, 1.13381e-11, 2.92478e-12
2.32484e+01, 2.79002e+01, 2.55743e+01, 8.49978e-14, 1.82717e-14
2.79002e+01, 3.34825e+01, 3.06914e+01, 2.68709e-16, 4.81364e-17
3.34825e+01, 4.01812e+01, 3.68318e+01, 3.18233e-19, 4.75068e-20
4.01812e+01, 4.82196e+01, 4.42004e+01, 1.23496e-22, 1.53632e-23
4.82196e+01, 5.78657e+01, 5.30427e+01, 1.37447e-26, 1.42490e-27
5.78657e+01, 6.94411e+01, 6.36534e+01, 3.82569e-31, 3.30503e-32
6.94411e+01, 8.33315e+01, 7.63863e+01, 2.31823e-36, 1.66894e-37
8.33315e+01, 1.00000e+02, 9.16658e+01, 5.34057e-42, 3.20399e-43
