# time = 1.000000000000000e+00# start, end, pivot, particles, density
0.00000e+00, 7.25710e-04, 3.62855e-04, 2.47117e-03, 3.40518e+00
7.25710e-04, 1.52399e-03, 1.12485e-03, 2.71561e-03, 3.40182e+00
1.52399e-03, 2.40210e-03, 1.96305e-03, 2.98068e-03, 3.39443e+00
2.40210e-03, 3.36802e-03, 2.88506e-03, 3.27366e-03, 3.38916e+00
3.36802e-03, 4.43053e-03, 3.89928e-03, 3.59457e-03, 3.38309e+00
4.43053e-03, 5.59929e-03, 5.01491e-03, 3.94511e-03, 3.37546e+00
5.59929e-03, 6.88493e-03, 6.24211e-03, 4.33139e-03, 3.36905e+00
6.88493e-03, 8.29914e-03, 7.59203e-03, 4.75420e-03, 3.36175e+00
8.29914e-03, 9.85476e-03, 9.07695e-03, 5.20994e-03, 3.34910e+00
9.85476e-03, 1.15659e-02, 1.07104e-02, 5.72372e-03, 3.34489e+00
1.15659e-02, 1.34482e-02, 1.25071e-02, 6.26258e-03, 3.32708e+00
1.34482e-02, 1.55188e-02, 1.44835e-02, 6.87454e-03, 3.32018e+00
1.55188e-02, 1.77964e-02, 1.66576e-02, 7.53031e-03, 3.30626e+00
1.77964e-02, 2.03017e-02, 1.90490e-02, 8.24513e-03, 3.29101e+00
2.03017e-02, 2.30576e-02, 2.16797e-02, 9.02791e-03, 3.27587e+00
2.30576e-02, 2.60891e-02, 2.45733e-02, 9.87772e-03, 3.25839e+00
2.60891e-02, 2.94237e-02, 2.77564e-02, 1.08114e-02, 3.24218e+00
2.94237e-02, 3.30918e-02, 3.12577e-02, 1.17886e-02, 3.21385e+00
3.30918e-02, 3.71267e-02, 3.51092e-02, 1.29232e-02, 3.20288e+00
3.71267e-02, 4.15650e-02, 3.93458e-02, 1.40682e-02, 3.16967e+00
4.15650e-02, 4.64472e-02, 4.40061e-02, 1.53663e-02, 3.14740e+00
4.64472e-02, 5.18177e-02, 4.91325e-02, 1.67363e-02, 3.11637e+00
5.18177e-02, 5.77252e-02, 5.47714e-02, 1.82018e-02, 3.08114e+00
5.77252e-02, 6.42234e-02, 6.09743e-02, 1.98664e-02, 3.05721e+00
6.42234e-02, 7.13714e-02, 6.77974e-02, 2.14969e-02, 3.00738e+00
7.13714e-02, 7.92343e-02, 7.53029e-02, 2.34098e-02, 2.97726e+00
7.92343e-02, 8.78834e-02, 8.35588e-02, 2.52998e-02, 2.92512e+00
8.78834e-02, 9.73975e-02, 9.26404e-02, 2.73870e-02, 2.87858e+00
9.73975e-02, 1.07863e-01, 1.02630e-01, 2.95906e-02, 2.82745e+00
1.07863e-01, 1.19375e-01, 1.13619e-01, 3.19705e-02, 2.77715e+00
1.19375e-01, 1.32038e-01, 1.25707e-01, 3.43144e-02, 2.70977e+00
1.32038e-01, 1.45968e-01, 1.39003e-01, 3.68107e-02, 2.64264e+00
1.45968e-01, 1.61290e-01, 1.53629e-01, 3.96227e-02, 2.58592e+00
1.61290e-01, 1.78145e-01, 1.69717e-01, 4.21622e-02, 2.50151e+00
1.78145e-01, 1.96685e-01, 1.87415e-01, 4.48706e-02, 2.42018e+00
1.96685e-01, 2.17079e-01, 2.06882e-01, 4.76608e-02, 2.33698e+00
2.17079e-01, 2.39513e-01, 2.28296e-01, 5.06647e-02, 2.25843e+00
2.39513e-01, 2.64190e-01, 2.51851e-01, 5.29797e-02, 2.14693e+00
2.64190e-01, 2.91335e-01, 2.77762e-01, 5.59110e-02, 2.05974e+00
2.91335e-01, 3.21194e-01, 3.06264e-01, 5.84104e-02, 1.95620e+00
3.21194e-01, 3.54039e-01, 3.37616e-01, 6.05716e-02, 1.84416e+00
3.54039e-01, 3.90168e-01, 3.72104e-01, 6.24950e-02, 1.72975e+00
3.90168e-01, 4.29911e-01, 4.10040e-01, 6.39241e-02, 1.60846e+00
4.29911e-01, 4.73628e-01, 4.51769e-01, 6.54232e-02, 1.49652e+00
4.73628e-01, 5.21716e-01, 4.97672e-01, 6.59781e-02, 1.37202e+00
5.21716e-01, 5.74614e-01, 5.48165e-01, 6.62209e-02, 1.25188e+00
5.74614e-01, 6.32801e-01, 6.03707e-01, 6.57616e-02, 1.13018e+00
6.32801e-01, 6.96806e-01, 6.64804e-01, 6.48932e-02, 1.01386e+00
6.96806e-01, 7.67213e-01, 7.32010e-01, 6.27109e-02, 8.90700e-01
7.67213e-01, 8.44660e-01, 8.05936e-01, 6.01779e-02, 7.77021e-01
8.44660e-01, 9.29852e-01, 8.87256e-01, 5.70340e-02, 6.69478e-01
9.29852e-01, 1.02356e+00, 9.76707e-01, 5.31529e-02, 5.67201e-01
1.02356e+00, 1.12664e+00, 1.07510e+00, 4.87189e-02, 4.72623e-01
1.12664e+00, 1.24003e+00, 1.18334e+00, 4.38188e-02, 3.86443e-01
1.24003e+00, 1.36476e+00, 1.30240e+00, 3.86255e-02, 3.09675e-01
1.36476e+00, 1.50197e+00, 1.43336e+00, 3.32834e-02, 2.42587e-01
1.50197e+00, 1.65289e+00, 1.57743e+00, 2.80408e-02, 1.85796e-01
1.65289e+00, 1.81890e+00, 1.73590e+00, 2.28286e-02, 1.37510e-01
1.81890e+00, 2.00152e+00, 1.91021e+00, 1.81665e-02, 9.94795e-02
2.00152e+00, 2.20240e+00, 2.10196e+00, 1.39520e-02, 6.94550e-02
2.20240e+00, 2.42336e+00, 2.31288e+00, 1.03326e-02, 4.67614e-02
2.42336e+00, 2.66642e+00, 2.54489e+00, 7.35168e-03, 3.02461e-02
2.66642e+00, 2.93379e+00, 2.80011e+00, 5.00468e-03, 1.87183e-02
2.93379e+00, 3.22790e+00, 3.08084e+00, 3.24633e-03, 1.10380e-02
3.22790e+00, 3.55141e+00, 3.38965e+00, 1.99600e-03, 6.16973e-03
3.55141e+00, 3.90728e+00, 3.72934e+00, 1.15716e-03, 3.25167e-03
3.90728e+00, 4.29873e+00, 4.10301e+00, 6.28772e-04, 1.60625e-03
4.29873e+00, 4.72933e+00, 4.51403e+00, 3.18223e-04, 7.39023e-04
4.72933e+00, 5.20299e+00, 4.96616e+00, 1.48879e-04, 3.14317e-04
5.20299e+00, 5.72401e+00, 5.46350e+00, 6.38992e-05, 1.22641e-04
5.72401e+00, 6.29714e+00, 6.01058e+00, 2.49497e-05, 4.35326e-05
6.29714e+00, 6.92758e+00, 6.61236e+00, 8.84738e-06, 1.40337e-05
6.92758e+00, 7.62106e+00, 7.27432e+00, 2.82353e-06, 4.07152e-06
7.62106e+00, 8.38390e+00, 8.00248e+00, 4.31410e-07, 5.65538e-07
8.38390e+00, 9.22301e+00, 8.80345e+00, 3.45665e-07, 4.11940e-07
9.22301e+00, 1.01460e+01, 9.68453e+00, 6.30179e-08, 6.82731e-08
1.01460e+01, 1.11614e+01, 1.06537e+01, 9.52048e-10, 9.37674e-10
1.11614e+01, 1.22782e+01, 1.17198e+01, 2.39621e-09, 2.14548e-09
1.22782e+01, 1.35068e+01, 1.28925e+01, 0.00000e+00, 0.00000e+00
1.35068e+01, 1.48582e+01, 1.41825e+01, 0.00000e+00, 0.00000e+00
1.48582e+01, 1.63447e+01, 1.56015e+01, 0.00000e+00, 0.00000e+00
1.63447e+01, 1.79799e+01, 1.71623e+01, 0.00000e+00, 0.00000e+00
1.79799e+01, 1.97786e+01, 1.88793e+01, 0.00000e+00, 0.00000e+00
1.97786e+01, 2.17572e+01, 2.07679e+01, 5.38081e-18, 2.71952e-18
2.17572e+01, 2.39337e+01, 2.28455e+01, 4.19803e-17, 1.92884e-17
2.39337e+01, 2.63278e+01, 2.51307e+01, 0.00000e+00, 0.00000e+00
2.63278e+01, 2.89613e+01, 2.76445e+01, 2.45570e-20, 9.32485e-21
2.89613e+01, 3.18581e+01, 3.04097e+01, 1.77411e-22, 6.12427e-23
3.18581e+01, 3.50447e+01, 3.34514e+01, 6.74140e-25, 2.11559e-25
3.50447e+01, 3.85499e+01, 3.67973e+01, 1.58109e-27, 4.51072e-28
3.85499e+01, 4.24056e+01, 4.04777e+01, 7.52671e-30, 1.95209e-30
4.24056e+01, 4.66469e+01, 4.45262e+01, 0.00000e+00, 0.00000e+00
4.66469e+01, 5.13123e+01, 4.89796e+01, 2.68037e-34, 5.74519e-35
5.13123e+01, 5.64442e+01, 5.38783e+01, 0.00000e+00, 0.00000e+00
5.64442e+01, 6.20894e+01, 5.92668e+01, 2.53677e-41, 4.49372e-42
6.20894e+01, 6.82990e+01, 6.51942e+01, 0.00000e+00, 0.00000e+00
6.82990e+01, 7.51297e+01, 7.17144e+01, 7.76109e-48, 1.13622e-48
7.51297e+01, 8.26434e+01, 7.88865e+01, 1.11909e-52, 1.48940e-53
8.26434e+01, 9.09084e+01, 8.67759e+01, 1.16080e-52, 1.40446e-53
9.09084e+01, 1.00000e+02, 9.54542e+01, 0.00000e+00, 0.00000e+00
