# time = 5.000000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 7.25710e-04, 3.62855e-04, 1.79814e-03, 2.47777e+00
7.25710e-04, 1.52399e-03, 1.12485e-03, 1.97590e-03, 2.47520e+00
1.52399e-03, 2.40210e-03, 1.96305e-03, 2.17021e-03, 2.47146e+00
2.40210e-03, 3.36802e-03, 2.88506e-03, 2.38398e-03, 2.46809e+00
3.36802e-03, 4.43053e-03, 3.89928e-03, 2.61850e-03, 2.46444e+00
4.43053e-03, 5.59929e-03, 5.01491e-03, 2.87493e-03, 2.45981e+00
5.59929e-03, 6.88493e-03, 6.24211e-03, 3.15695e-03, 2.45555e+00
6.88493e-03, 8.29914e-03, 7.59203e-03, 3.46636e-03, 2.45110e+00
8.29914e-03, 9.85476e-03, 9.07695e-03, 3.80217e-03, 2.44414e+00
9.85476e-03, 1.15659e-02, 1.07104e-02, 4.17528e-03, 2.43999e+00
1.15659e-02, 1.34482e-02, 1.25071e-02, 4.57605e-03, 2.43109e+00
1.34482e-02, 1.55188e-02, 1.44835e-02, 5.02180e-03, 2.42536e+00
1.55188e-02, 1.77964e-02, 1.66576e-02, 5.50491e-03, 2.41699e+00
1.77964e-02, 2.03017e-02, 1.90490e-02, 6.03338e-03, 2.40820e+00
2.03017e-02, 2.30576e-02, 2.16797e-02, 6.61049e-03, 2.39868e+00
2.30576e-02, 2.60891e-02, 2.45733e-02, 7.23840e-03, 2.38775e+00
2.60891e-02, 2.94237e-02, 2.77564e-02, 7.92744e-03, 2.37732e+00
2.94237e-02, 3.30918e-02, 3.12577e-02, 8.66391e-03, 2.36197e+00
3.30918e-02, 3.71267e-02, 3.51092e-02, 9.48807e-03, 2.35151e+00
3.71267e-02, 4.15650e-02, 3.93458e-02, 1.03617e-02, 2.33457e+00
4.15650e-02, 4.64472e-02, 4.40061e-02, 1.13211e-02, 2.31885e+00
4.64472e-02, 5.18177e-02, 4.91325e-02, 1.23527e-02, 2.30013e+00
5.18177e-02, 5.77252e-02, 5.47714e-02, 1.34637e-02, 2.27909e+00
5.77252e-02, 6.42234e-02, 6.09743e-02, 1.46988e-02, 2.26197e+00
6.42234e-02, 7.13714e-02, 6.77974e-02, 1.59677e-02, 2.23386e+00
7.13714e-02, 7.92343e-02, 7.53029e-02, 1.73933e-02, 2.21209e+00
7.92343e-02, 8.78834e-02, 8.35588e-02, 1.88709e-02, 2.18182e+00
8.78834e-02, 9.73975e-02, 9.26404e-02, 2.04764e-02, 2.15223e+00
9.73975e-02, 1.07863e-01, 1.02630e-01, 2.21785e-02, 2.11921e+00
1.07863e-01, 1.19375e-01, 1.13619e-01, 2.40257e-02, 2.08702e+00
1.19375e-01, 1.32038e-01, 1.25707e-01, 2.59178e-02, 2.04670e+00
1.32038e-01, 1.45968e-01, 1.39003e-01, 2.79011e-02, 2.00302e+00
1.45968e-01, 1.61290e-01, 1.53629e-01, 3.01020e-02, 1.96457e+00
1.61290e-01, 1.78145e-01, 1.69717e-01, 3.22436e-02, 1.91303e+00
1.78145e-01, 1.96685e-01, 1.87415e-01, 3.45014e-02, 1.86090e+00
1.96685e-01, 2.17079e-01, 2.06882e-01, 3.68435e-02, 1.80657e+00
2.17079e-01, 2.39513e-01, 2.28296e-01, 3.93218e-02, 1.75281e+00
2.39513e-01, 2.64190e-01, 2.51851e-01, 4.15559e-02, 1.68399e+00
2.64190e-01, 2.91335e-01, 2.77762e-01, 4.40488e-02, 1.62274e+00
2.91335e-01, 3.21194e-01, 3.06264e-01, 4.64051e-02, 1.55413e+00
3.21194e-01, 3.54039e-01, 3.37616e-01, 4.85876e-02, 1.47929e+00
3.54039e-01, 3.90168e-01, 3.72104e-01, 5.06630e-02, 1.40226e+00
3.90168e-01, 4.29911e-01, 4.10040e-01, 5.24778e-02, 1.32044e+00
4.29911e-01, 4.73628e-01, 4.51769e-01, 5.42370e-02, 1.24064e+00
4.73628e-01, 5.21716e-01, 4.97672e-01, 5.54969e-02, 1.15406e+00
5.21716e-01, 5.74614e-01, 5.48165e-01, 5.64803e-02, 1.06774e+00
5.74614e-01, 6.32801e-01, 6.03707e-01, 5.69905e-02, 9.79435e-01
6.32801e-01, 6.96806e-01, 6.64804e-01, 5.71213e-02, 8.92440e-01
6.96806e-01, 7.67213e-01, 7.32010e-01, 5.64126e-02, 8.01244e-01
7.67213e-01, 8.44660e-01, 8.05936e-01, 5.52711e-02, 7.13663e-01
8.44660e-01, 9.29852e-01, 8.87256e-01, 5.35560e-02, 6.28653e-01
9.29852e-01, 1.02356e+00, 9.76707e-01, 5.11713e-02, 5.46055e-01
1.02356e+00, 1.12664e+00, 1.07510e+00, 4.81856e-02, 4.67449e-01
1.12664e+00, 1.24003e+00, 1.18334e+00, 4.46422e-02, 3.93705e-01
1.24003e+00, 1.36476e+00, 1.30240e+00, 4.06270e-02, 3.25721e-01
1.36476e+00, 1.50197e+00, 1.43336e+00, 3.62438e-02, 2.64163e-01
1.50197e+00, 1.65289e+00, 1.57743e+00, 3.16750e-02, 2.09876e-01
1.65289e+00, 1.81890e+00, 1.73590e+00, 2.68897e-02, 1.61972e-01
1.81890e+00, 2.00152e+00, 1.91021e+00, 2.23220e-02, 1.22234e-01
2.00152e+00, 2.20240e+00, 2.10196e+00, 1.79522e-02, 8.93689e-02
2.20240e+00, 2.42336e+00, 2.31288e+00, 1.39647e-02, 6.31988e-02
2.42336e+00, 2.66642e+00, 2.54489e+00, 1.04695e-02, 4.30736e-02
2.66642e+00, 2.93379e+00, 2.80011e+00, 7.53548e-03, 2.81839e-02
2.93379e+00, 3.22790e+00, 3.08084e+00, 5.18633e-03, 1.76343e-02
3.22790e+00, 3.55141e+00, 3.38965e+00, 3.39821e-03, 1.05040e-02
3.55141e+00, 3.90728e+00, 3.72934e+00, 2.11035e-03, 5.93017e-03
3.90728e+00, 4.29873e+00, 4.10301e+00, 1.23622e-03, 3.15802e-03
4.29873e+00, 4.72933e+00, 4.51403e+00, 6.79461e-04, 1.57794e-03
4.72933e+00, 5.20299e+00, 4.96616e+00, 3.47810e-04, 7.34306e-04
5.20299e+00, 5.72401e+00, 5.46350e+00, 1.64170e-04, 3.15090e-04
5.72401e+00, 6.29714e+00, 6.01058e+00, 7.07120e-05, 1.23379e-04
6.29714e+00, 6.92758e+00, 6.61236e+00, 2.82412e-05, 4.47960e-05
6.92758e+00, 7.62106e+00, 7.27432e+00, 1.17160e-05, 1.68944e-05
7.62106e+00, 8.38390e+00, 8.00248e+00, 4.52397e-06, 5.93049e-06
8.38390e+00, 9.22301e+00, 8.80345e+00, 0.00000e+00, 0.00000e+00
9.22301e+00, 1.01460e+01, 9.68453e+00, 0.00000e+00, 0.00000e+00
1.01460e+01, 1.11614e+01, 1.06537e+01, 0.00000e+00, 0.00000e+00
