# time = 4.000000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 7.25710e-04, 3.62855e-04, 7.25447e-04, 9.99637e-01
7.25710e-04, 1.52399e-03, 1.12485e-03, 1.74279e-03, 2.18318e+00
1.52399e-03, 2.40210e-03, 1.96305e-03, 1.91463e-03, 2.18041e+00
2.40210e-03, 3.36802e-03, 2.88506e-03, 2.10316e-03, 2.17737e+00
3.36802e-03, 4.43053e-03, 3.89928e-03, 2.31001e-03, 2.17410e+00
4.43053e-03, 5.59929e-03, 5.01491e-03, 2.53681e-03, 2.17051e+00
5.59929e-03, 6.88493e-03, 6.24211e-03, 2.78522e-03, 2.16641e+00
6.88493e-03, 8.29914e-03, 7.59203e-03, 3.05751e-03, 2.16200e+00
8.29914e-03, 9.85476e-03, 9.07695e-03, 3.35600e-03, 2.15733e+00
9.85476e-03, 1.15659e-02, 1.07104e-02, 3.68218e-03, 2.15183e+00
1.15659e-02, 1.34482e-02, 1.25071e-02, 4.03983e-03, 2.14622e+00
1.34482e-02, 1.55188e-02, 1.44835e-02, 4.43038e-03, 2.13973e+00
1.55188e-02, 1.77964e-02, 1.66576e-02, 4.85788e-03, 2.13291e+00
1.77964e-02, 2.03017e-02, 1.90490e-02, 5.32376e-03, 2.12496e+00
2.03017e-02, 2.30576e-02, 2.16797e-02, 5.83395e-03, 2.11691e+00
2.30576e-02, 2.60891e-02, 2.45733e-02, 6.38881e-03, 2.10750e+00
2.60891e-02, 2.94237e-02, 2.77564e-02, 6.99423e-03, 2.09746e+00
2.94237e-02, 3.30918e-02, 3.12577e-02, 7.65352e-03, 2.08652e+00
3.30918e-02, 3.71267e-02, 3.51092e-02, 8.37022e-03, 2.07446e+00
3.71267e-02, 4.15650e-02, 3.93458e-02, 9.14792e-03, 2.06110e+00
4.15650e-02, 4.64472e-02, 4.40061e-02, 9.99349e-03, 2.04692e+00
4.64472e-02, 5.18177e-02, 4.91325e-02, 1.09082e-02, 2.03115e+00
5.18177e-02, 5.77252e-02, 5.47714e-02, 1.18966e-02, 2.01383e+00
5.77252e-02, 6.42234e-02, 6.09743e-02, 1.29657e-02, 1.99527e+00
6.42234e-02, 7.13714e-02, 6.77974e-02, 1.41151e-02, 1.97468e+00
7.13714e-02, 7.92343e-02, 7.53029e-02, 1.53536e-02, 1.95267e+00
7.92343e-02, 8.78834e-02, 8.35588e-02, 1.66787e-02, 1.92836e+00
8.78834e-02, 9.73975e-02, 9.26404e-02, 1.80983e-02, 1.90227e+00
9.73975e-02, 1.07863e-01, 1.02630e-01, 1.96106e-02, 1.87384e+00
1.07863e-01, 1.19375e-01, 1.13619e-01, 2.12150e-02, 1.84286e+00
1.19375e-01, 1.32038e-01, 1.25707e-01, 2.29140e-02, 1.80950e+00
1.32038e-01, 1.45968e-01, 1.39003e-01, 2.47033e-02, 1.77345e+00
1.45968e-01, 1.61290e-01, 1.53629e-01, 2.65827e-02, 1.73488e+00
1.61290e-01, 1.78145e-01, 1.69717e-01, 2.85369e-02, 1.69311e+00
1.78145e-01, 1.96685e-01, 1.87415e-01, 3.05584e-02, 1.64822e+00
1.96685e-01, 2.17079e-01, 2.06882e-01, 3.26392e-02, 1.60041e+00
2.17079e-01, 2.39513e-01, 2.28296e-01, 3.47569e-02, 1.54932e+00
2.39513e-01, 2.64190e-01, 2.51851e-01, 3.68869e-02, 1.49479e+00
2.64190e-01, 2.91335e-01, 2.77762e-01, 3.90098e-02, 1.43711e+00
2.91335e-01, 3.21194e-01, 3.06264e-01, 4.10885e-02, 1.37608e+00
3.21194e-01, 3.54039e-01, 3.37616e-01, 4.30887e-02, 1.31188e+00
3.54039e-01, 3.90168e-01, 3.72104e-01, 4.49665e-02, 1.24459e+00
3.90168e-01, 4.29911e-01, 4.10040e-01, 4.66758e-02, 1.17445e+00
4.29911e-01, 4.73628e-01, 4.51769e-01, 4.81651e-02, 1.10175e+00
4.73628e-01, 5.21716e-01, 4.97672e-01, 4.93796e-02, 1.02685e+00
5.21716e-01, 5.74614e-01, 5.48165e-01, 5.02574e-02, 9.50092e-01
5.74614e-01, 6.32801e-01, 6.03707e-01, 5.07463e-02, 8.72123e-01
6.32801e-01, 6.96806e-01, 6.64804e-01, 5.07914e-02, 7.93545e-01
6.96806e-01, 7.67213e-01, 7.32010e-01, 5.03417e-02, 7.15017e-01
7.67213e-01, 8.44660e-01, 8.05936e-01, 4.93609e-02, 6.37351e-01
8.44660e-01, 9.29852e-01, 8.87256e-01, 4.78246e-02, 5.61376e-01
9.29852e-01, 1.02356e+00, 9.76707e-01, 4.57264e-02, 4.87952e-01
1.02356e+00, 1.12664e+00, 1.07510e+00, 4.30853e-02, 4.17971e-01
1.12664e+00, 1.24003e+00, 1.18334e+00, 3.99384e-02, 3.52221e-01
1.24003e+00, 1.36476e+00, 1.30240e+00, 3.63556e-02, 2.91476e-01
1.36476e+00, 1.50197e+00, 1.43336e+00, 3.24367e-02, 2.36416e-01
1.50197e+00, 1.65289e+00, 1.57743e+00, 2.83002e-02, 1.87515e-01
1.65289e+00, 1.81890e+00, 1.73590e+00, 2.40843e-02, 1.45073e-01
1.81890e+00, 2.00152e+00, 1.91021e+00, 1.99365e-02, 1.09172e-01
2.00152e+00, 2.20240e+00, 2.10196e+00, 1.60024e-02, 7.96622e-02
2.20240e+00, 2.42336e+00, 2.31288e+00, 1.24121e-02, 5.61723e-02
2.42336e+00, 2.66642e+00, 2.54489e+00, 9.26874e-03, 3.81333e-02
2.66642e+00, 2.93379e+00, 2.80011e+00, 6.63737e-03, 2.48248e-02
2.93379e+00, 3.22790e+00, 3.08084e+00, 4.53976e-03, 1.54359e-02
3.22790e+00, 3.55141e+00, 3.38965e+00, 2.95445e-03, 9.13234e-03
3.55141e+00, 3.90728e+00, 3.72934e+00, 1.82343e-03, 5.12390e-03
3.90728e+00, 4.29873e+00, 4.10301e+00, 1.06434e-03, 2.71894e-03
4.29873e+00, 4.72933e+00, 4.51403e+00, 5.85710e-04, 1.36022e-03
4.72933e+00, 5.20299e+00, 4.96616e+00, 3.01835e-04, 6.37241e-04
5.20299e+00, 5.72401e+00, 5.46350e+00, 1.44009e-04, 2.76397e-04
5.72401e+00, 6.29714e+00, 6.01058e+00, 6.58276e-05, 1.14857e-04
6.29714e+00, 6.92758e+00, 6.61236e+00, 3.13276e-05, 4.96916e-05
6.92758e+00, 7.62106e+00, 7.27432e+00, 1.38004e-05, 1.99001e-05
7.62106e+00, 8.38390e+00, 8.00248e+00, 5.83030e-06, 7.64296e-06
8.38390e+00, 9.22301e+00, 8.80345e+00, 2.32620e-06, 2.77221e-06
9.22301e+00, 1.01460e+01, 9.68453e+00, 8.73287e-07, 9.46112e-07
1.01460e+01, 1.11614e+01, 1.06537e+01, 3.06886e-07, 3.02252e-07
1.11614e+01, 1.22782e+01, 1.17198e+01, 1.00881e-07, 9.03249e-08
1.22782e+01, 1.35068e+01, 1.28925e+01, 3.15272e-08, 2.56621e-08
1.35068e+01, 1.48582e+01, 1.41825e+01, 9.66351e-09, 7.15072e-09
1.48582e+01, 1.63447e+01, 1.56015e+01, 2.97410e-09, 2.00068e-09
1.63447e+01, 1.79799e+01, 1.71623e+01, 8.99892e-10, 5.50326e-10
1.79799e+01, 1.97786e+01, 1.88793e+01, 2.53912e-10, 1.41162e-10
1.97786e+01, 2.17572e+01, 2.07679e+01, 6.38532e-11, 3.22720e-11
2.17572e+01, 2.39337e+01, 2.28455e+01, 1.39124e-11, 6.39226e-12
2.39337e+01, 2.63278e+01, 2.51307e+01, 2.57851e-12, 1.07703e-12
2.63278e+01, 2.89613e+01, 2.76445e+01, 4.02002e-13, 1.52649e-13
2.89613e+01, 3.18581e+01, 3.04097e+01, 5.19097e-14, 1.79193e-14
3.18581e+01, 3.50447e+01, 3.34514e+01, 5.47456e-15, 1.71803e-15
3.50447e+01, 3.85499e+01, 3.67973e+01, 4.64615e-16, 1.32551e-16
3.85499e+01, 4.24056e+01, 4.04777e+01, 3.10701e-17, 8.05819e-18
4.24056e+01, 4.66469e+01, 4.45262e+01, 1.60379e-18, 3.78138e-19
4.66469e+01, 5.13123e+01, 4.89796e+01, 6.25582e-20, 1.34089e-20
5.13123e+01, 5.64442e+01, 5.38783e+01, 1.79608e-21, 3.49979e-22
5.64442e+01, 6.20894e+01, 5.92668e+01, 3.68352e-23, 6.52511e-24
6.20894e+01, 6.82990e+01, 6.51942e+01, 5.23492e-25, 8.43028e-26
6.82990e+01, 7.51297e+01, 7.17144e+01, 4.98724e-27, 7.30129e-28
7.51297e+01, 8.26434e+01, 7.88865e+01, 3.06923e-29, 4.08485e-30
8.26434e+01, 9.09084e+01, 8.67759e+01, 1.17234e-31, 1.41843e-32
9.09084e+01, 1.00000e+02, 9.54542e+01, 3.71966e-44, 4.09133e-45
