# time = 8.300000000000001e-01# start, end, pivot, particles, density
0.00000e+00, 7.25710e-04, 3.62855e-04, 2.25581e-03, 3.10842e+00
7.25710e-04, 1.52399e-03, 1.12485e-03, 2.47885e-03, 3.10524e+00
1.52399e-03, 2.40210e-03, 1.96305e-03, 2.72125e-03, 3.09899e+00
2.40210e-03, 3.36802e-03, 2.88506e-03, 2.98882e-03, 3.09427e+00
3.36802e-03, 4.43053e-03, 3.89928e-03, 3.28202e-03, 3.08893e+00
4.43053e-03, 5.59929e-03, 5.01491e-03, 3.60232e-03, 3.08217e+00
5.59929e-03, 6.88493e-03, 6.24211e-03, 3.95506e-03, 3.07634e+00
6.88493e-03, 8.29914e-03, 7.59203e-03, 4.34152e-03, 3.06994e+00
8.29914e-03, 9.85476e-03, 9.07695e-03, 4.75866e-03, 3.05901e+00
9.85476e-03, 1.15659e-02, 1.07104e-02, 5.22705e-03, 3.05464e+00
1.15659e-02, 1.34482e-02, 1.25071e-02, 5.72165e-03, 3.03970e+00
1.34482e-02, 1.55188e-02, 1.44835e-02, 6.27977e-03, 3.03292e+00
1.55188e-02, 1.77964e-02, 1.66576e-02, 6.88002e-03, 3.02075e+00
1.77964e-02, 2.03017e-02, 1.90490e-02, 7.53461e-03, 3.00741e+00
2.03017e-02, 2.30576e-02, 2.16797e-02, 8.25109e-03, 2.99399e+00
2.30576e-02, 2.60891e-02, 2.45733e-02, 9.02853e-03, 2.97827e+00
2.60891e-02, 2.94237e-02, 2.77564e-02, 9.88353e-03, 2.96392e+00
2.94237e-02, 3.30918e-02, 3.12577e-02, 1.07824e-02, 2.93953e+00
3.30918e-02, 3.71267e-02, 3.51092e-02, 1.18153e-02, 2.92828e+00
3.71267e-02, 4.15650e-02, 3.93458e-02, 1.28728e-02, 2.90034e+00
4.15650e-02, 4.64472e-02, 4.40061e-02, 1.40605e-02, 2.87995e+00
4.64472e-02, 5.18177e-02, 4.91325e-02, 1.53188e-02, 2.85244e+00
5.18177e-02, 5.77252e-02, 5.47714e-02, 1.66679e-02, 2.82149e+00
5.77252e-02, 6.42234e-02, 6.09743e-02, 1.81922e-02, 2.79957e+00
6.42234e-02, 7.13714e-02, 6.77974e-02, 1.97037e-02, 2.75651e+00
7.13714e-02, 7.92343e-02, 7.53029e-02, 2.14533e-02, 2.72844e+00
7.92343e-02, 8.78834e-02, 8.35588e-02, 2.32073e-02, 2.68319e+00
8.78834e-02, 9.73975e-02, 9.26404e-02, 2.51334e-02, 2.64171e+00
9.73975e-02, 1.07863e-01, 1.02630e-01, 2.71664e-02, 2.59581e+00
1.07863e-01, 1.19375e-01, 1.13619e-01, 2.93692e-02, 2.55118e+00
1.19375e-01, 1.32038e-01, 1.25707e-01, 3.15608e-02, 2.49233e+00
1.32038e-01, 1.45968e-01, 1.39003e-01, 3.38726e-02, 2.43171e+00
1.45968e-01, 1.61290e-01, 1.53629e-01, 3.64813e-02, 2.38090e+00
1.61290e-01, 1.78145e-01, 1.69717e-01, 3.88814e-02, 2.30685e+00
1.78145e-01, 1.96685e-01, 1.87415e-01, 4.14215e-02, 2.23414e+00
1.96685e-01, 2.17079e-01, 2.06882e-01, 4.40469e-02, 2.15977e+00
2.17079e-01, 2.39513e-01, 2.28296e-01, 4.68723e-02, 2.08938e+00
2.39513e-01, 2.64190e-01, 2.51851e-01, 4.91313e-02, 1.99098e+00
2.64190e-01, 2.91335e-01, 2.77762e-01, 5.18896e-02, 1.91159e+00
2.91335e-01, 3.21194e-01, 3.06264e-01, 5.43380e-02, 1.81981e+00
3.21194e-01, 3.54039e-01, 3.37616e-01, 5.64615e-02, 1.71903e+00
3.54039e-01, 3.90168e-01, 3.72104e-01, 5.84158e-02, 1.61684e+00
3.90168e-01, 4.29911e-01, 4.10040e-01, 5.99481e-02, 1.50841e+00
4.29911e-01, 4.73628e-01, 4.51769e-01, 6.15029e-02, 1.40685e+00
4.73628e-01, 5.21716e-01, 4.97672e-01, 6.22682e-02, 1.29487e+00
5.21716e-01, 5.74614e-01, 5.48165e-01, 6.27335e-02, 1.18595e+00
5.74614e-01, 6.32801e-01, 6.03707e-01, 6.25782e-02, 1.07547e+00
6.32801e-01, 6.96806e-01, 6.64804e-01, 6.20267e-02, 9.69079e-01
6.96806e-01, 7.67213e-01, 7.32010e-01, 6.03338e-02, 8.56937e-01
7.67213e-01, 8.44660e-01, 8.05936e-01, 5.82673e-02, 7.52351e-01
8.44660e-01, 9.29852e-01, 8.87256e-01, 5.56122e-02, 6.52789e-01
9.29852e-01, 1.02356e+00, 9.76707e-01, 5.22531e-02, 5.57600e-01
1.02356e+00, 1.12664e+00, 1.07510e+00, 4.83345e-02, 4.68894e-01
1.12664e+00, 1.24003e+00, 1.18334e+00, 4.39280e-02, 3.87405e-01
1.24003e+00, 1.36476e+00, 1.30240e+00, 3.91742e-02, 3.14074e-01
1.36476e+00, 1.50197e+00, 1.43336e+00, 3.42016e-02, 2.49279e-01
1.50197e+00, 1.65289e+00, 1.57743e+00, 2.92331e-02, 1.93697e-01
1.65289e+00, 1.81890e+00, 1.73590e+00, 2.42062e-02, 1.45808e-01
1.81890e+00, 2.00152e+00, 1.91021e+00, 1.96126e-02, 1.07398e-01
2.00152e+00, 2.20240e+00, 2.10196e+00, 1.53723e-02, 7.65258e-02
2.20240e+00, 2.42336e+00, 2.31288e+00, 1.16448e-02, 5.26995e-02
2.42336e+00, 2.66642e+00, 2.54489e+00, 8.49545e-03, 3.49518e-02
2.66642e+00, 2.93379e+00, 2.80011e+00, 5.94598e-03, 2.22389e-02
2.93379e+00, 3.22790e+00, 3.08084e+00, 3.97673e-03, 1.35215e-02
3.22790e+00, 3.55141e+00, 3.38965e+00, 2.52919e-03, 7.81783e-03
3.55141e+00, 3.90728e+00, 3.72934e+00, 1.52202e-03, 4.27695e-03
3.90728e+00, 4.29873e+00, 4.10301e+00, 8.61791e-04, 2.20152e-03
4.29873e+00, 4.72933e+00, 4.51403e+00, 4.56395e-04, 1.05991e-03
4.72933e+00, 5.20299e+00, 4.96616e+00, 2.24481e-04, 4.73930e-04
5.20299e+00, 5.72401e+00, 5.46350e+00, 1.01812e-04, 1.95406e-04
5.72401e+00, 6.29714e+00, 6.01058e+00, 4.22281e-05, 7.36801e-05
6.29714e+00, 6.92758e+00, 6.61236e+00, 1.58798e-05, 2.51884e-05
6.92758e+00, 7.62106e+00, 7.27432e+00, 5.36076e-06, 7.73018e-06
7.62106e+00, 8.38390e+00, 8.00248e+00, 1.60733e-06, 2.10706e-06
8.38390e+00, 9.22301e+00, 8.80345e+00, 4.23222e-07, 5.04367e-07
9.22301e+00, 1.01460e+01, 9.68453e+00, 9.66190e-08, 1.04676e-07
1.01460e+01, 1.11614e+01, 1.06537e+01, 1.88634e-08, 1.85786e-08
1.11614e+01, 1.22782e+01, 1.17198e+01, 3.10297e-09, 2.77829e-09
1.22782e+01, 1.35068e+01, 1.28925e+01, 4.23087e-10, 3.44379e-10
1.35068e+01, 1.48582e+01, 1.41825e+01, 4.69922e-11, 3.47729e-11
1.48582e+01, 1.63447e+01, 1.56015e+01, 4.17020e-12, 2.80530e-12
1.63447e+01, 1.79799e+01, 1.71623e+01, 2.89659e-13, 1.77140e-13
1.79799e+01, 1.97786e+01, 1.88793e+01, 1.53979e-14, 8.56046e-15
1.97786e+01, 2.17572e+01, 2.07679e+01, 6.11383e-16, 3.08999e-16
2.17572e+01, 2.39337e+01, 2.28455e+01, 1.76624e-17, 8.11524e-18
2.39337e+01, 2.63278e+01, 2.51307e+01, 3.60872e-19, 1.50734e-19
2.63278e+01, 2.89613e+01, 2.76445e+01, 5.05779e-21, 1.92056e-21
2.89613e+01, 3.18581e+01, 3.04097e+01, 4.70584e-23, 1.62446e-23
3.18581e+01, 3.50447e+01, 3.34514e+01, 2.80643e-25, 8.80715e-26
3.50447e+01, 3.85499e+01, 3.67973e+01, 1.03344e-27, 2.94830e-28
3.85499e+01, 4.24056e+01, 4.04777e+01, 2.26055e-30, 5.86285e-31
4.24056e+01, 4.66469e+01, 4.45262e+01, 2.81942e-33, 6.64757e-34
4.66469e+01, 5.13123e+01, 4.89796e+01, 1.92409e-36, 4.12417e-37
5.13123e+01, 5.64442e+01, 5.38783e+01, 6.89485e-40, 1.34351e-40
5.64442e+01, 6.20894e+01, 5.92668e+01, 1.24671e-43, 2.20846e-44
6.20894e+01, 6.82990e+01, 6.51942e+01, 1.09568e-47, 1.76447e-48
6.82990e+01, 7.51297e+01, 7.17144e+01, 4.51910e-52, 6.61594e-53
7.51297e+01, 8.26434e+01, 7.88865e+01, 8.45605e-57, 1.12542e-57
8.26434e+01, 9.09084e+01, 8.67759e+01, 7.33998e-62, 8.88074e-63
9.09084e+01, 1.00000e+02, 9.54542e+01, 0.00000e+00, 0.00000e+00
