# time = 7.400000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 7.25710e-04, 3.62855e-04, 7.25447e-04, 9.99637e-01
7.25710e-04, 1.52399e-03, 1.12485e-03, 2.30520e-03, 2.88770e+00
1.52399e-03, 2.40210e-03, 1.96305e-03, 2.53163e-03, 2.88305e+00
2.40210e-03, 3.36802e-03, 2.88506e-03, 2.77994e-03, 2.87803e+00
3.36802e-03, 4.43053e-03, 3.89928e-03, 3.05233e-03, 2.87275e+00
4.43053e-03, 5.59929e-03, 5.01491e-03, 3.35074e-03, 2.86692e+00
5.59929e-03, 6.88493e-03, 6.24211e-03, 3.67703e-03, 2.86008e+00
6.88493e-03, 8.29914e-03, 7.59203e-03, 4.03451e-03, 2.85285e+00
8.29914e-03, 9.85476e-03, 9.07695e-03, 4.42637e-03, 2.84540e+00
9.85476e-03, 1.15659e-02, 1.07104e-02, 4.85313e-03, 2.83612e+00
1.15659e-02, 1.34482e-02, 1.25071e-02, 5.32166e-03, 2.82720e+00
1.34482e-02, 1.55188e-02, 1.44835e-02, 5.83156e-03, 2.81645e+00
1.55188e-02, 1.77964e-02, 1.66576e-02, 6.38985e-03, 2.80553e+00
1.77964e-02, 2.03017e-02, 1.90490e-02, 6.99546e-03, 2.79221e+00
2.03017e-02, 2.30576e-02, 2.16797e-02, 7.66007e-03, 2.77953e+00
2.30576e-02, 2.60891e-02, 2.45733e-02, 8.37883e-03, 2.76395e+00
2.60891e-02, 2.94237e-02, 2.77564e-02, 9.16247e-03, 2.74768e+00
2.94237e-02, 3.30918e-02, 3.12577e-02, 1.00140e-02, 2.73003e+00
3.30918e-02, 3.71267e-02, 3.51092e-02, 1.09366e-02, 2.71051e+00
3.71267e-02, 4.15650e-02, 3.93458e-02, 1.19333e-02, 2.68866e+00
4.15650e-02, 4.64472e-02, 4.40061e-02, 1.30163e-02, 2.66606e+00
4.64472e-02, 5.18177e-02, 4.91325e-02, 1.41813e-02, 2.64062e+00
5.18177e-02, 5.77252e-02, 5.47714e-02, 1.54337e-02, 2.61257e+00
5.77252e-02, 6.42234e-02, 6.09743e-02, 1.67851e-02, 2.58303e+00
6.42234e-02, 7.13714e-02, 6.77974e-02, 1.82264e-02, 2.54985e+00
7.13714e-02, 7.92343e-02, 7.53029e-02, 1.97751e-02, 2.51500e+00
7.92343e-02, 8.78834e-02, 8.35588e-02, 2.14166e-02, 2.47615e+00
8.78834e-02, 9.73975e-02, 9.26404e-02, 2.31665e-02, 2.43498e+00
9.73975e-02, 1.07863e-01, 1.02630e-01, 2.50137e-02, 2.39012e+00
1.07863e-01, 1.19375e-01, 1.13619e-01, 2.69522e-02, 2.34122e+00
1.19375e-01, 1.32038e-01, 1.25707e-01, 2.89857e-02, 2.28897e+00
1.32038e-01, 1.45968e-01, 1.39003e-01, 3.11017e-02, 2.23279e+00
1.45968e-01, 1.61290e-01, 1.53629e-01, 3.33004e-02, 2.17331e+00
1.61290e-01, 1.78145e-01, 1.69717e-01, 3.55455e-02, 2.10893e+00
1.78145e-01, 1.96685e-01, 1.87415e-01, 3.78249e-02, 2.04016e+00
1.96685e-01, 2.17079e-01, 2.06882e-01, 4.01294e-02, 1.96768e+00
2.17079e-01, 2.39513e-01, 2.28296e-01, 4.24170e-02, 1.89078e+00
2.39513e-01, 2.64190e-01, 2.51851e-01, 4.46465e-02, 1.80924e+00
2.64190e-01, 2.91335e-01, 2.77762e-01, 4.67967e-02, 1.72397e+00
2.91335e-01, 3.21194e-01, 3.06264e-01, 4.88086e-02, 1.63463e+00
3.21194e-01, 3.54039e-01, 3.37616e-01, 5.06387e-02, 1.54174e+00
3.54039e-01, 3.90168e-01, 3.72104e-01, 5.22284e-02, 1.44558e+00
3.90168e-01, 4.29911e-01, 4.10040e-01, 5.35232e-02, 1.34675e+00
4.29911e-01, 4.73628e-01, 4.51769e-01, 5.44641e-02, 1.24584e+00
4.73628e-01, 5.21716e-01, 4.97672e-01, 5.49936e-02, 1.14359e+00
5.21716e-01, 5.74614e-01, 5.48165e-01, 5.50462e-02, 1.04062e+00
5.74614e-01, 6.32801e-01, 6.03707e-01, 5.45849e-02, 9.38093e-01
6.32801e-01, 6.96806e-01, 6.64804e-01, 5.35702e-02, 8.36959e-01
6.96806e-01, 7.67213e-01, 7.32010e-01, 5.19739e-02, 7.38199e-01
7.67213e-01, 8.44660e-01, 8.05936e-01, 4.97963e-02, 6.42973e-01
8.44660e-01, 9.29852e-01, 8.87256e-01, 4.70553e-02, 5.52346e-01
9.29852e-01, 1.02356e+00, 9.76707e-01, 4.37942e-02, 4.67333e-01
1.02356e+00, 1.12664e+00, 1.07510e+00, 4.00865e-02, 3.88880e-01
1.12664e+00, 1.24003e+00, 1.18334e+00, 3.60208e-02, 3.17671e-01
1.24003e+00, 1.36476e+00, 1.30240e+00, 3.17170e-02, 2.54287e-01
1.36476e+00, 1.50197e+00, 1.43336e+00, 2.73157e-02, 1.99091e-01
1.50197e+00, 1.65289e+00, 1.57743e+00, 2.29573e-02, 1.52113e-01
1.65289e+00, 1.81890e+00, 1.73590e+00, 1.87831e-02, 1.13141e-01
1.81890e+00, 2.00152e+00, 1.91021e+00, 1.49212e-02, 8.17080e-02
2.00152e+00, 2.20240e+00, 2.10196e+00, 1.14754e-02, 5.71263e-02
2.20240e+00, 2.42336e+00, 2.31288e+00, 8.51688e-03, 3.85440e-02
2.42336e+00, 2.66642e+00, 2.54489e+00, 6.07904e-03, 2.50103e-02
2.66642e+00, 2.93379e+00, 2.80011e+00, 4.15702e-03, 1.55479e-02
2.93379e+00, 3.22790e+00, 3.08084e+00, 2.71219e-03, 9.22186e-03
3.22790e+00, 3.55141e+00, 3.38965e+00, 1.68070e-03, 5.19510e-03
3.55141e+00, 3.90728e+00, 3.72934e+00, 9.84343e-04, 2.76604e-03
3.90728e+00, 4.29873e+00, 4.10301e+00, 5.41957e-04, 1.38447e-03
4.29873e+00, 4.72933e+00, 4.51403e+00, 2.78871e-04, 6.47635e-04
4.72933e+00, 5.20299e+00, 4.96616e+00, 1.33257e-04, 2.81334e-04
5.20299e+00, 5.72401e+00, 5.46350e+00, 5.87324e-05, 1.12725e-04
5.72401e+00, 6.29714e+00, 6.01058e+00, 2.36978e-05, 4.13483e-05
6.29714e+00, 6.92758e+00, 6.61236e+00, 8.68321e-06, 1.37733e-05
6.92758e+00, 7.62106e+00, 7.27432e+00, 2.86412e-06, 4.13004e-06
7.62106e+00, 8.38390e+00, 8.00248e+00, 8.42447e-07, 1.10437e-06
8.38390e+00, 9.22301e+00, 8.80345e+00, 2.18734e-07, 2.60673e-07
9.22301e+00, 1.01460e+01, 9.68453e+00, 4.95862e-08, 5.37213e-08
1.01460e+01, 1.11614e+01, 1.06537e+01, 9.69998e-09, 9.55353e-09
1.11614e+01, 1.22782e+01, 1.17198e+01, 1.61689e-09, 1.44771e-09
1.22782e+01, 1.35068e+01, 1.28925e+01, 2.26598e-10, 1.84443e-10
1.35068e+01, 1.48582e+01, 1.41825e+01, 2.63200e-11, 1.94761e-11
1.48582e+01, 1.63447e+01, 1.56015e+01, 2.49573e-12, 1.67888e-12
1.63447e+01, 1.79799e+01, 1.71623e+01, 1.90137e-13, 1.16277e-13
1.79799e+01, 1.97786e+01, 1.88793e+01, 1.14463e-14, 6.36359e-15
1.97786e+01, 2.17572e+01, 2.07679e+01, 5.35225e-16, 2.70508e-16
2.17572e+01, 2.39337e+01, 2.28455e+01, 1.91037e-17, 8.77748e-18
2.39337e+01, 2.63278e+01, 2.51307e+01, 5.11614e-19, 2.13699e-19
2.63278e+01, 2.89613e+01, 2.76445e+01, 1.01147e-20, 3.84076e-21
2.89613e+01, 3.18581e+01, 3.04097e+01, 1.45530e-22, 5.02374e-23
3.18581e+01, 3.50447e+01, 3.34514e+01, 1.50756e-24, 4.73104e-25
3.50447e+01, 3.85499e+01, 3.67973e+01, 1.11835e-26, 3.19055e-27
3.85499e+01, 4.24056e+01, 4.04777e+01, 5.95273e-29, 1.54387e-29
4.24056e+01, 4.66469e+01, 4.45262e+01, 2.29778e-31, 5.41765e-32
4.66469e+01, 5.13123e+01, 4.89796e+01, 6.55398e-34, 1.40480e-34
5.13123e+01, 5.64442e+01, 5.38783e+01, 1.55160e-36, 3.02340e-37
5.64442e+01, 6.20894e+01, 5.92668e+01, 3.18564e-39, 5.64315e-40
6.20894e+01, 6.82990e+01, 6.51942e+01, 5.80570e-42, 9.34946e-43
6.82990e+01, 7.51297e+01, 7.17144e+01, 1.61769e-44, 2.36830e-45
7.51297e+01, 8.26434e+01, 7.88865e+01, 8.46538e-45, 1.12666e-45
8.26434e+01, 9.09084e+01, 8.67759e+01, 7.10297e-45, 8.59397e-46
9.09084e+01, 1.00000e+02, 9.54542e+01, 3.71966e-44, 4.09133e-45
