# time = 9.000000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 2.19794e-03, 1.09897e-03, 7.19130e-03, 3.27184e+00
2.19794e-03, 4.83546e-03, 3.51670e-03, 8.60017e-03, 3.26070e+00
4.83546e-03, 8.00049e-03, 6.41798e-03, 1.02525e-02, 3.23930e+00
8.00049e-03, 1.17985e-02, 9.89951e-03, 1.22250e-02, 3.21877e+00
1.17985e-02, 1.63562e-02, 1.40774e-02, 1.45834e-02, 3.19977e+00
1.63562e-02, 2.18253e-02, 1.90908e-02, 1.73312e-02, 3.16888e+00
2.18253e-02, 2.83884e-02, 2.51069e-02, 2.05444e-02, 3.13034e+00
2.83884e-02, 3.62640e-02, 3.23262e-02, 2.44181e-02, 3.10048e+00
3.62640e-02, 4.57147e-02, 4.09893e-02, 2.88352e-02, 3.05111e+00
4.57147e-02, 5.70556e-02, 5.13851e-02, 3.38222e-02, 2.98232e+00
5.70556e-02, 7.06646e-02, 6.38601e-02, 3.99984e-02, 2.93910e+00
7.06646e-02, 8.69955e-02, 7.88301e-02, 4.64489e-02, 2.84424e+00
8.69955e-02, 1.06593e-01, 9.67940e-02, 5.42055e-02, 2.76600e+00
1.06593e-01, 1.30109e-01, 1.18351e-01, 6.25815e-02, 2.66118e+00
1.30109e-01, 1.58329e-01, 1.44219e-01, 7.18836e-02, 2.54728e+00
1.58329e-01, 1.92192e-01, 1.75261e-01, 8.10676e-02, 2.39394e+00
1.92192e-01, 2.32829e-01, 2.12511e-01, 9.16399e-02, 2.25512e+00
2.32829e-01, 2.81592e-01, 2.57211e-01, 1.01062e-01, 2.07248e+00
2.81592e-01, 3.40109e-01, 3.10851e-01, 1.10411e-01, 1.88684e+00
3.40109e-01, 4.10329e-01, 3.75219e-01, 1.18426e-01, 1.68650e+00
4.10329e-01, 4.94592e-01, 4.52460e-01, 1.24834e-01, 1.48147e+00
4.94592e-01, 5.95709e-01, 5.45150e-01, 1.24618e-01, 1.23242e+00
5.95709e-01, 7.17048e-01, 6.56379e-01, 1.23452e-01, 1.01741e+00
7.17048e-01, 8.62656e-01, 7.89852e-01, 1.16439e-01, 7.99674e-01
8.62656e-01, 1.03739e+00, 9.50021e-01, 1.04618e-01, 5.98741e-01
1.03739e+00, 1.24706e+00, 1.14222e+00, 8.85754e-02, 4.22441e-01
1.24706e+00, 1.49867e+00, 1.37287e+00, 6.97519e-02, 2.77222e-01
1.49867e+00, 1.80060e+00, 1.64964e+00, 5.04037e-02, 1.66937e-01
1.80060e+00, 2.16292e+00, 1.98176e+00, 3.32822e-02, 9.18591e-02
2.16292e+00, 2.59770e+00, 2.38031e+00, 1.81598e-02, 4.17676e-02
2.59770e+00, 3.11944e+00, 2.85857e+00, 9.27566e-03, 1.77784e-02
3.11944e+00, 3.74553e+00, 3.43248e+00, 3.84895e-03, 6.14763e-03
3.74553e+00, 4.49683e+00, 4.12118e+00, 1.29186e-03, 1.71949e-03
4.49683e+00, 5.39839e+00, 4.94761e+00, 3.33405e-04, 3.69808e-04
5.39839e+00, 6.48027e+00, 5.93933e+00, 6.65138e-05, 6.14800e-05
6.48027e+00, 7.77852e+00, 7.12940e+00, 9.77327e-06, 7.52802e-06
7.77852e+00, 9.33643e+00, 8.55747e+00, 6.18962e-07, 3.97305e-07
9.33643e+00, 1.12059e+01, 1.02712e+01, 8.13922e-08, 4.35373e-08
1.12059e+01, 1.34493e+01, 1.23276e+01, 0.00000e+00, 0.00000e+00
1.34493e+01, 1.61413e+01, 1.47953e+01, 1.76379e-10, 6.55183e-11
1.61413e+01, 1.93718e+01, 1.77566e+01, 1.10197e-12, 3.41119e-13
1.93718e+01, 2.32484e+01, 2.13101e+01, 0.00000e+00, 0.00000e+00
2.32484e+01, 2.79002e+01, 2.55743e+01, 0.00000e+00, 0.00000e+00
2.79002e+01, 3.34825e+01, 3.06914e+01, 2.21098e-20, 3.96073e-21
3.34825e+01, 4.01812e+01, 3.68318e+01, 5.32124e-23, 7.94369e-24
4.01812e+01, 4.82196e+01, 4.42004e+01, 0.00000e+00, 0.00000e+00
4.82196e+01, 5.78657e+01, 5.30427e+01, 4.70423e-29, 4.87681e-30
5.78657e+01, 6.94411e+01, 6.36534e+01, 0.00000e+00, 0.00000e+00
6.94411e+01, 8.33315e+01, 7.63863e+01, 7.27223e-38, 5.23543e-39
8.33315e+01, 1.00000e+02, 9.16658e+01, 0.00000e+00, 0.00000e+00
