# time = 8.000000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 2.19794e-03, 1.09897e-03, 2.19552e-03, 9.98902e-01
2.19794e-03, 4.83546e-03, 3.51670e-03, 7.89295e-03, 2.99256e+00
4.83546e-03, 8.00049e-03, 6.41798e-03, 9.41414e-03, 2.97442e+00
8.00049e-03, 1.17985e-02, 9.89951e-03, 1.12227e-02, 2.95488e+00
1.17985e-02, 1.63562e-02, 1.40774e-02, 1.33503e-02, 2.92920e+00
1.63562e-02, 2.18253e-02, 1.90908e-02, 1.58592e-02, 2.89975e+00
2.18253e-02, 2.83884e-02, 2.51069e-02, 1.88051e-02, 2.86532e+00
2.83884e-02, 3.62640e-02, 3.23262e-02, 2.22414e-02, 2.82409e+00
3.62640e-02, 4.57147e-02, 4.09893e-02, 2.62145e-02, 2.77381e+00
4.57147e-02, 5.70556e-02, 5.13851e-02, 3.08318e-02, 2.71864e+00
5.70556e-02, 7.06646e-02, 6.38601e-02, 3.60603e-02, 2.64973e+00
7.06646e-02, 8.69955e-02, 7.88301e-02, 4.19779e-02, 2.57046e+00
8.69955e-02, 1.06593e-01, 9.67940e-02, 4.85946e-02, 2.47969e+00
1.06593e-01, 1.30109e-01, 1.18351e-01, 5.58083e-02, 2.37316e+00
1.30109e-01, 1.58329e-01, 1.44219e-01, 6.35576e-02, 2.25224e+00
1.58329e-01, 1.92192e-01, 1.75261e-01, 7.16402e-02, 2.11555e+00
1.92192e-01, 2.32829e-01, 2.12511e-01, 7.96613e-02, 1.96034e+00
2.32829e-01, 2.81592e-01, 2.57211e-01, 8.72631e-02, 1.78951e+00
2.81592e-01, 3.40109e-01, 3.10851e-01, 9.38433e-02, 1.60371e+00
3.40109e-01, 4.10329e-01, 3.75219e-01, 9.87394e-02, 1.40615e+00
4.10329e-01, 4.94592e-01, 4.52460e-01, 1.01037e-01, 1.19906e+00
4.94592e-01, 5.95709e-01, 5.45150e-01, 1.00097e-01, 9.89919e-01
5.95709e-01, 7.17048e-01, 6.56379e-01, 9.53411e-02, 7.85737e-01
7.17048e-01, 8.62656e-01, 7.89852e-01, 8.65906e-02, 5.94684e-01
8.62656e-01, 1.03739e+00, 9.50021e-01, 7.42513e-02, 4.24951e-01
1.03739e+00, 1.24706e+00, 1.14222e+00, 5.94091e-02, 2.83339e-01
1.24706e+00, 1.49867e+00, 1.37287e+00, 4.37374e-02, 1.73830e-01
1.49867e+00, 1.80060e+00, 1.64964e+00, 2.91509e-02, 9.65479e-02
1.80060e+00, 2.16292e+00, 1.98176e+00, 1.72669e-02, 4.76566e-02
2.16292e+00, 2.59770e+00, 2.38031e+00, 8.90328e-03, 2.04776e-02
2.59770e+00, 3.11944e+00, 2.85857e+00, 3.90507e-03, 7.48473e-03
3.11944e+00, 3.74553e+00, 3.43248e+00, 1.41940e-03, 2.26710e-03
3.74553e+00, 4.49683e+00, 4.12118e+00, 4.15444e-04, 5.52964e-04
4.49683e+00, 5.39839e+00, 4.94761e+00, 9.53591e-05, 1.05771e-04
5.39839e+00, 6.48027e+00, 5.93933e+00, 1.85199e-05, 1.71183e-05
6.48027e+00, 7.77852e+00, 7.12940e+00, 3.12643e-06, 2.40819e-06
7.77852e+00, 9.33643e+00, 8.55747e+00, 4.18894e-07, 2.68883e-07
9.33643e+00, 1.12059e+01, 1.02712e+01, 4.46100e-08, 2.38622e-08
1.12059e+01, 1.34493e+01, 1.23276e+01, 3.81984e-09, 1.70272e-09
1.34493e+01, 1.61413e+01, 1.47953e+01, 2.67528e-10, 9.93767e-11
1.61413e+01, 1.93718e+01, 1.77566e+01, 1.60347e-11, 4.96360e-12
1.93718e+01, 2.32484e+01, 2.13101e+01, 8.85370e-13, 2.28391e-13
2.32484e+01, 2.79002e+01, 2.55743e+01, 4.48296e-14, 9.63690e-15
2.79002e+01, 3.34825e+01, 3.06914e+01, 2.08411e-15, 3.73346e-16
3.34825e+01, 4.01812e+01, 3.68318e+01, 1.20516e-16, 1.79909e-17
4.01812e+01, 4.82196e+01, 4.42004e+01, 7.62641e-18, 9.48743e-19
4.82196e+01, 5.78657e+01, 5.30427e+01, 3.55384e-19, 3.68422e-20
5.78657e+01, 6.94411e+01, 6.36534e+01, 1.04803e-20, 9.05400e-22
6.94411e+01, 8.33315e+01, 7.63863e+01, 1.84561e-22, 1.32869e-23
8.33315e+01, 1.00000e+02, 9.16658e+01, 3.72008e-44, 2.23180e-45
