# start, end, pivot, particles, density
0.00000e+00, 2.19794e-03, 1.09897e-03, 2.19552e-03, 9.98902e-01
2.19794e-03, 4.83546e-03, 3.51670e-03, 2.62827e-03, 9.96490e-01
4.83546e-03, 8.00049e-03, 6.41798e-03, 3.14478e-03, 9.93603e-01
8.00049e-03, 1.17985e-02, 9.89951e-03, 3.76063e-03, 9.90150e-01
1.17985e-02, 1.63562e-02, 1.40774e-02, 4.49394e-03, 9.86022e-01
1.63562e-02, 2.18253e-02, 1.90908e-02, 5.36576e-03, 9.81092e-01
2.18253e-02, 2.83884e-02, 2.51069e-02, 6.40029e-03, 9.75207e-01
2.83884e-02, 3.62640e-02, 3.23262e-02, 7.62511e-03, 9.68193e-01
3.62640e-02, 4.57147e-02, 4.09893e-02, 9.07122e-03, 9.59843e-01
4.57147e-02, 5.70556e-02, 5.13851e-02, 1.07729e-02, 9.49918e-01
5.70556e-02, 7.06646e-02, 6.38601e-02, 1.27672e-02, 9.38143e-01
7.06646e-02, 8.69955e-02, 7.88301e-02, 1.50931e-02, 9.24207e-01
8.69955e-02, 1.06593e-01, 9.67940e-02, 1.77894e-02, 9.07758e-01
1.06593e-01, 1.30109e-01, 1.18351e-01, 2.08921e-02, 8.88405e-01
1.30109e-01, 1.58329e-01, 1.44219e-01, 2.44306e-02, 8.65727e-01
1.58329e-01, 1.92192e-01, 1.75261e-01, 2.84211e-02, 8.39278e-01
1.92192e-01, 2.32829e-01, 2.12511e-01, 3.28589e-02, 8.08607e-01
2.32829e-01, 2.81592e-01, 2.57211e-01, 3.77081e-02, 7.73282e-01
2.81592e-01, 3.40109e-01, 3.10851e-01, 4.28883e-02, 7.32928e-01
3.40109e-01, 4.10329e-01, 3.75219e-01, 4.82606e-02, 6.87280e-01
4.10329e-01, 4.94592e-01, 4.52460e-01, 5.36127e-02, 6.36249e-01
4.94592e-01, 5.95709e-01, 5.45150e-01, 5.86477e-02, 5.80002e-01
5.95709e-01, 7.17048e-01, 6.56379e-01, 6.29807e-02, 5.19045e-01
7.17048e-01, 8.62656e-01, 7.89852e-01, 6.61514e-02, 4.54313e-01
8.62656e-01, 1.03739e+00, 9.50021e-01, 6.76595e-02, 3.87225e-01
1.03739e+00, 1.24706e+00, 1.14222e+00, 6.70318e-02, 3.19694e-01
1.24706e+00, 1.49867e+00, 1.37287e+00, 6.39212e-02, 2.54049e-01
1.49867e+00, 1.80060e+00, 1.64964e+00, 5.82277e-02, 1.92850e-01
1.80060e+00, 2.16292e+00, 1.98176e+00, 5.02106e-02, 1.38581e-01
2.16292e+00, 2.59770e+00, 2.38031e+00, 4.05444e-02, 9.32522e-02
2.59770e+00, 3.11944e+00, 2.85857e+00, 3.02626e-02, 5.80033e-02
3.11944e+00, 3.74553e+00, 3.43248e+00, 2.05587e-02, 3.28368e-02
3.74553e+00, 4.49683e+00, 4.12118e+00, 1.24789e-02, 1.66097e-02
4.49683e+00, 5.39839e+00, 4.94761e+00, 6.62043e-03, 7.34327e-03
5.39839e+00, 6.48027e+00, 5.93933e+00, 2.99044e-03, 2.76413e-03
6.48027e+00, 7.77852e+00, 7.12940e+00, 1.11477e-03, 8.58666e-04
7.77852e+00, 9.33643e+00, 8.55747e+00, 3.30476e-04, 2.12129e-04
9.33643e+00, 1.12059e+01, 1.02712e+01, 7.45604e-05, 3.98829e-05
1.12059e+01, 1.34493e+01, 1.23276e+01, 1.21514e-05, 5.41654e-06
1.34493e+01, 1.61413e+01, 1.47953e+01, 1.34457e-06, 4.99460e-07
1.61413e+01, 1.93718e+01, 1.77566e+01, 9.38390e-08, 2.90481e-08
1.93718e+01, 2.32484e+01, 2.13101e+01, 3.78299e-09, 9.75864e-10
2.32484e+01, 2.79002e+01, 2.55743e+01, 7.92860e-11, 1.70439e-11
2.79002e+01, 3.34825e+01, 3.06914e+01, 7.61099e-13, 1.36343e-13
3.34825e+01, 4.01812e+01, 3.68318e+01, 2.87213e-15, 4.28760e-16
4.01812e+01, 4.82196e+01, 4.42004e+01, 3.54318e-18, 4.40780e-19
4.82196e+01, 5.78657e+01, 5.30427e+01, 1.14408e-21, 1.18605e-22
5.78657e+01, 6.94411e+01, 6.36534e+01, 7.39987e-26, 6.39279e-27
6.94411e+01, 8.33315e+01, 7.63863e+01, 6.95215e-31, 5.00500e-32
8.33315e+01, 1.00000e+02, 9.16658e+01, 3.72008e-44, 2.23180e-45
