# time = 7.000000000000001e-01# start, end, pivot, particles, density
0.00000e+00, 7.25710e-04, 3.62855e-04, 2.12820e-03, 2.93258e+00
7.25710e-04, 1.52399e-03, 1.12485e-03, 2.33859e-03, 2.92953e+00
1.52399e-03, 2.40210e-03, 1.96305e-03, 2.56780e-03, 2.92424e+00
2.40210e-03, 3.36802e-03, 2.88506e-03, 2.82045e-03, 2.91996e+00
3.36802e-03, 4.43053e-03, 3.89928e-03, 3.09745e-03, 2.91522e+00
4.43053e-03, 5.59929e-03, 5.01491e-03, 3.40013e-03, 2.90917e+00
5.59929e-03, 6.88493e-03, 6.24211e-03, 3.73327e-03, 2.90383e+00
6.88493e-03, 8.29914e-03, 7.59203e-03, 4.09855e-03, 2.89813e+00
8.29914e-03, 9.85476e-03, 9.07695e-03, 4.49361e-03, 2.88862e+00
9.85476e-03, 1.15659e-02, 1.07104e-02, 4.93528e-03, 2.88413e+00
1.15659e-02, 1.34482e-02, 1.25071e-02, 5.40507e-03, 2.87152e+00
1.34482e-02, 1.55188e-02, 1.44835e-02, 5.93182e-03, 2.86487e+00
1.55188e-02, 1.77964e-02, 1.66576e-02, 6.50032e-03, 2.85404e+00
1.77964e-02, 2.03017e-02, 1.90490e-02, 7.12096e-03, 2.84231e+00
2.03017e-02, 2.30576e-02, 2.16797e-02, 7.79975e-03, 2.83022e+00
2.30576e-02, 2.60891e-02, 2.45733e-02, 8.53666e-03, 2.81601e+00
2.60891e-02, 2.94237e-02, 2.77564e-02, 9.34694e-03, 2.80300e+00
2.94237e-02, 3.30918e-02, 3.12577e-02, 1.02042e-02, 2.78190e+00
3.30918e-02, 3.71267e-02, 3.51092e-02, 1.11782e-02, 2.77040e+00
3.71267e-02, 4.15650e-02, 3.93458e-02, 1.21907e-02, 2.74666e+00
4.15650e-02, 4.64472e-02, 4.40061e-02, 1.33169e-02, 2.72764e+00
4.64472e-02, 5.18177e-02, 4.91325e-02, 1.45164e-02, 2.70303e+00
5.18177e-02, 5.77252e-02, 5.47714e-02, 1.58052e-02, 2.67546e+00
5.77252e-02, 6.42234e-02, 6.09743e-02, 1.72529e-02, 2.65502e+00
6.42234e-02, 7.13714e-02, 6.77974e-02, 1.87074e-02, 2.61713e+00
7.13714e-02, 7.92343e-02, 7.53029e-02, 2.03710e-02, 2.59080e+00
7.92343e-02, 8.78834e-02, 8.35588e-02, 2.20621e-02, 2.55079e+00
8.78834e-02, 9.73975e-02, 9.26404e-02, 2.39101e-02, 2.51314e+00
9.73975e-02, 1.07863e-01, 1.02630e-01, 2.58625e-02, 2.47122e+00
1.07863e-01, 1.19375e-01, 1.13619e-01, 2.79824e-02, 2.43072e+00
1.19375e-01, 1.32038e-01, 1.25707e-01, 3.01155e-02, 2.37819e+00
1.32038e-01, 1.45968e-01, 1.39003e-01, 3.23518e-02, 2.32253e+00
1.45968e-01, 1.61290e-01, 1.53629e-01, 3.48694e-02, 2.27571e+00
1.61290e-01, 1.78145e-01, 1.69717e-01, 3.72320e-02, 2.20899e+00
1.78145e-01, 1.96685e-01, 1.87415e-01, 3.97247e-02, 2.14262e+00
1.96685e-01, 2.17079e-01, 2.06882e-01, 4.23059e-02, 2.07440e+00
2.17079e-01, 2.39513e-01, 2.28296e-01, 4.50662e-02, 2.00887e+00
2.39513e-01, 2.64190e-01, 2.51851e-01, 4.73761e-02, 1.91985e+00
2.64190e-01, 2.91335e-01, 2.77762e-01, 5.00931e-02, 1.84541e+00
2.91335e-01, 3.21194e-01, 3.06264e-01, 5.25676e-02, 1.76052e+00
3.21194e-01, 3.54039e-01, 3.37616e-01, 5.47600e-02, 1.66722e+00
3.54039e-01, 3.90168e-01, 3.72104e-01, 5.68029e-02, 1.57220e+00
3.90168e-01, 4.29911e-01, 4.10040e-01, 5.84714e-02, 1.47125e+00
4.29911e-01, 4.73628e-01, 4.51769e-01, 6.01220e-02, 1.37526e+00
4.73628e-01, 5.21716e-01, 4.97672e-01, 6.10722e-02, 1.27000e+00
5.21716e-01, 5.74614e-01, 5.48165e-01, 6.17132e-02, 1.16666e+00
5.74614e-01, 6.32801e-01, 6.03707e-01, 6.17660e-02, 1.06151e+00
6.32801e-01, 6.96806e-01, 6.64804e-01, 6.14087e-02, 9.59424e-01
6.96806e-01, 7.67213e-01, 7.32010e-01, 5.99835e-02, 8.51961e-01
7.67213e-01, 8.44660e-01, 8.05936e-01, 5.81415e-02, 7.50727e-01
8.44660e-01, 9.29852e-01, 8.87256e-01, 5.56933e-02, 6.53741e-01
9.29852e-01, 1.02356e+00, 9.76707e-01, 5.25281e-02, 5.60534e-01
1.02356e+00, 1.12664e+00, 1.07510e+00, 4.87694e-02, 4.73113e-01
1.12664e+00, 1.24003e+00, 1.18334e+00, 4.44868e-02, 3.92334e-01
1.24003e+00, 1.36476e+00, 1.30240e+00, 3.98090e-02, 3.19163e-01
1.36476e+00, 1.50197e+00, 1.43336e+00, 3.48672e-02, 2.54130e-01
1.50197e+00, 1.65289e+00, 1.57743e+00, 2.98823e-02, 1.97998e-01
1.65289e+00, 1.81890e+00, 1.73590e+00, 2.48074e-02, 1.49429e-01
1.81890e+00, 2.00152e+00, 1.91021e+00, 2.01322e-02, 1.10243e-01
2.00152e+00, 2.20240e+00, 2.10196e+00, 1.57961e-02, 7.86353e-02
2.20240e+00, 2.42336e+00, 2.31288e+00, 1.19692e-02, 5.41677e-02
2.42336e+00, 2.66642e+00, 2.54489e+00, 8.72782e-03, 3.59078e-02
2.66642e+00, 2.93379e+00, 2.80011e+00, 6.10087e-03, 2.28182e-02
