# time = 8.000000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 7.25710e-04, 3.62855e-04, 7.25447e-04, 9.99637e-01
7.25710e-04, 1.52399e-03, 1.12485e-03, 2.43333e-03, 3.04821e+00
1.52399e-03, 2.40210e-03, 1.96305e-03, 2.67230e-03, 3.04325e+00
2.40210e-03, 3.36802e-03, 2.88506e-03, 2.93438e-03, 3.03791e+00
3.36802e-03, 4.43053e-03, 3.89928e-03, 3.22186e-03, 3.03231e+00
4.43053e-03, 5.59929e-03, 5.01491e-03, 3.53681e-03, 3.02611e+00
5.59929e-03, 6.88493e-03, 6.24211e-03, 3.88113e-03, 3.01883e+00
6.88493e-03, 8.29914e-03, 7.59203e-03, 4.25837e-03, 3.01115e+00
8.29914e-03, 9.85476e-03, 9.07695e-03, 4.67192e-03, 3.00324e+00
9.85476e-03, 1.15659e-02, 1.07104e-02, 5.12218e-03, 2.99335e+00
1.15659e-02, 1.34482e-02, 1.25071e-02, 5.61660e-03, 2.98390e+00
1.34482e-02, 1.55188e-02, 1.44835e-02, 6.15455e-03, 2.97245e+00
1.55188e-02, 1.77964e-02, 1.66576e-02, 6.74361e-03, 2.96086e+00
1.77964e-02, 2.03017e-02, 1.90490e-02, 7.38238e-03, 2.94665e+00
2.03017e-02, 2.30576e-02, 2.16797e-02, 8.08359e-03, 2.93321e+00
2.30576e-02, 2.60891e-02, 2.45733e-02, 8.84160e-03, 2.91660e+00
2.60891e-02, 2.94237e-02, 2.77564e-02, 9.66808e-03, 2.89931e+00
2.94237e-02, 3.30918e-02, 3.12577e-02, 1.05661e-02, 2.88054e+00
3.30918e-02, 3.71267e-02, 3.51092e-02, 1.15388e-02, 2.85976e+00
3.71267e-02, 4.15650e-02, 3.93458e-02, 1.25894e-02, 2.83649e+00
4.15650e-02, 4.64472e-02, 4.40061e-02, 1.37311e-02, 2.81248e+00
4.64472e-02, 5.18177e-02, 4.91325e-02, 1.49588e-02, 2.78539e+00
5.18177e-02, 5.77252e-02, 5.47714e-02, 1.62781e-02, 2.75551e+00
5.77252e-02, 6.42234e-02, 6.09743e-02, 1.77017e-02, 2.72408e+00
6.42234e-02, 7.13714e-02, 6.77974e-02, 1.92191e-02, 2.68872e+00
7.13714e-02, 7.92343e-02, 7.53029e-02, 2.08494e-02, 2.65164e+00
7.92343e-02, 8.78834e-02, 8.35588e-02, 2.25762e-02, 2.61022e+00
8.78834e-02, 9.73975e-02, 9.26404e-02, 2.44166e-02, 2.56637e+00
9.73975e-02, 1.07863e-01, 1.02630e-01, 2.63579e-02, 2.51857e+00
1.07863e-01, 1.19375e-01, 1.13619e-01, 2.83934e-02, 2.46642e+00
1.19375e-01, 1.32038e-01, 1.25707e-01, 3.05271e-02, 2.41069e+00
1.32038e-01, 1.45968e-01, 1.39003e-01, 3.27450e-02, 2.35077e+00
1.45968e-01, 1.61290e-01, 1.53629e-01, 3.50476e-02, 2.28733e+00
1.61290e-01, 1.78145e-01, 1.69717e-01, 3.73944e-02, 2.21863e+00
1.78145e-01, 1.96685e-01, 1.87415e-01, 3.97724e-02, 2.14520e+00
1.96685e-01, 2.17079e-01, 2.06882e-01, 4.21717e-02, 2.06783e+00
2.17079e-01, 2.39513e-01, 2.28296e-01, 4.45464e-02, 1.98570e+00
2.39513e-01, 2.64190e-01, 2.51851e-01, 4.68511e-02, 1.89857e+00
2.64190e-01, 2.91335e-01, 2.77762e-01, 4.90634e-02, 1.80748e+00
2.91335e-01, 3.21194e-01, 3.06264e-01, 5.11187e-02, 1.71199e+00
3.21194e-01, 3.54039e-01, 3.37616e-01, 5.29701e-02, 1.61272e+00
3.54039e-01, 3.90168e-01, 3.72104e-01, 5.45539e-02, 1.50995e+00
3.90168e-01, 4.29911e-01, 4.10040e-01, 5.58116e-02, 1.40433e+00
4.29911e-01, 4.73628e-01, 4.51769e-01, 5.66800e-02, 1.29653e+00
