# time = 1.000000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 8.89110e-03, 4.44555e-03, 1.15060e-02, 1.29410e+00
8.89110e-03, 2.13386e-02, 1.51149e-02, 1.59229e-02, 1.27920e+00
2.13386e-02, 3.87652e-02, 3.00519e-02, 2.19206e-02, 1.25789e+00
3.87652e-02, 6.31624e-02, 5.09638e-02, 2.99841e-02, 1.22900e+00
6.31624e-02, 9.73185e-02, 8.02404e-02, 4.06634e-02, 1.19052e+00
9.73185e-02, 1.45137e-01, 1.21228e-01, 5.43417e-02, 1.13642e+00
1.45137e-01, 2.12083e-01, 1.78610e-01, 7.15019e-02, 1.06806e+00
2.12083e-01, 3.05807e-01, 2.58945e-01, 9.16787e-02, 9.78175e-01
3.05807e-01, 4.37021e-01, 3.71414e-01, 1.13057e-01, 8.61623e-01
4.37021e-01, 6.20720e-01, 5.28871e-01, 1.33006e-01, 7.24043e-01
6.20720e-01, 8.77900e-01, 7.49310e-01, 1.45735e-01, 5.66668e-01
8.77900e-01, 1.23795e+00, 1.05793e+00, 1.45129e-01, 4.03080e-01
1.23795e+00, 1.74202e+00, 1.48999e+00, 1.24460e-01, 2.46909e-01
1.74202e+00, 2.44772e+00, 2.09487e+00, 8.82370e-02, 1.25035e-01
2.44772e+00, 3.43570e+00, 2.94171e+00, 4.70007e-02, 4.75725e-02
3.43570e+00, 4.81887e+00, 4.12729e+00, 1.65537e-02, 1.19679e-02
4.81887e+00, 6.75531e+00, 5.78709e+00, 3.06325e-03, 1.58190e-03
6.75531e+00, 9.46633e+00, 8.11082e+00, 1.39286e-04, 5.13776e-05
9.46633e+00, 1.32618e+01, 1.13640e+01, 0.00000e+00, 0.00000e+00
1.32618e+01, 1.85753e+01, 1.59186e+01, 0.00000e+00, 0.00000e+00
1.85753e+01, 2.60144e+01, 2.22949e+01, 0.00000e+00, 0.00000e+00
2.60144e+01, 3.64290e+01, 3.12217e+01, 2.86914e-12, 2.75491e-13
3.64290e+01, 5.10095e+01, 4.37193e+01, 1.97954e-15, 1.35766e-16
5.10095e+01, 7.14222e+01, 6.12159e+01, 1.02079e-20, 5.00077e-22
7.14222e+01, 1.00000e+02, 8.57111e+01, 2.97328e-28, 1.04042e-29
