# time = 1.000000000000000e+00# start, end, pivot, particles, density
0.00000e+00, 8.89110e-03, 4.44555e-03, 8.85169e-03, 9.95568e-01
8.89110e-03, 2.13386e-02, 1.51149e-02, 3.87950e-02, 3.11668e+00
2.13386e-02, 3.87652e-02, 3.00519e-02, 5.23870e-02, 3.00616e+00
3.87652e-02, 6.31624e-02, 5.09638e-02, 6.94727e-02, 2.84757e+00
6.31624e-02, 9.73185e-02, 8.02404e-02, 9.06952e-02, 2.65532e+00
9.73185e-02, 1.45137e-01, 1.21228e-01, 1.14362e-01, 2.39160e+00
1.45137e-01, 2.12083e-01, 1.78610e-01, 1.38549e-01, 2.06957e+00
2.12083e-01, 3.05807e-01, 2.58945e-01, 1.58812e-01, 1.69447e+00
3.05807e-01, 4.37021e-01, 3.71414e-01, 1.66904e-01, 1.27200e+00
4.37021e-01, 6.20720e-01, 5.28871e-01, 1.56259e-01, 8.50626e-01
6.20720e-01, 8.77900e-01, 7.49310e-01, 1.24155e-01, 4.82756e-01
8.77900e-01, 1.23795e+00, 1.05793e+00, 7.85936e-02, 2.18285e-01
1.23795e+00, 1.74202e+00, 1.48999e+00, 3.64703e-02, 7.23515e-02
1.74202e+00, 2.44772e+00, 2.09487e+00, 1.13516e-02, 1.60856e-02
2.44772e+00, 3.43570e+00, 2.94171e+00, 2.14790e-03, 2.17403e-03
3.43570e+00, 4.81887e+00, 4.12729e+00, 2.23730e-04, 1.61751e-04
4.81887e+00, 6.75531e+00, 5.78709e+00, 1.34252e-05, 6.93294e-06
6.75531e+00, 9.46633e+00, 8.11082e+00, 5.59311e-07, 2.06310e-07
9.46633e+00, 1.32618e+01, 1.13640e+01, 1.54412e-08, 4.06837e-09
1.32618e+01, 1.85753e+01, 1.59186e+01, 3.09983e-10, 5.83377e-11
1.85753e+01, 2.60144e+01, 2.22949e+01, 4.81963e-12, 6.47885e-13
2.60144e+01, 3.64290e+01, 3.12217e+01, 5.93814e-14, 5.70172e-15
3.64290e+01, 5.10095e+01, 4.37193e+01, 5.98635e-16, 4.10572e-17
5.10095e+01, 7.14222e+01, 6.12159e+01, 4.68240e-18, 2.29387e-19
7.14222e+01, 1.00000e+02, 8.57111e+01, 3.72008e-44, 1.30174e-45
