# time = 1.000000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 8.89110e-03, 4.44555e-03, 8.85169e-03, 9.95568e-01
8.89110e-03, 2.13386e-02, 1.51149e-02, 1.60201e-02, 1.28701e+00
2.13386e-02, 3.87652e-02, 3.00519e-02, 2.20435e-02, 1.26494e+00
3.87652e-02, 6.31624e-02, 5.09638e-02, 3.01132e-02, 1.23429e+00
6.31624e-02, 9.73185e-02, 8.02404e-02, 4.07522e-02, 1.19312e+00
9.73185e-02, 1.45137e-01, 1.21228e-01, 5.43811e-02, 1.13724e+00
1.45137e-01, 2.12083e-01, 1.78610e-01, 7.11963e-02, 1.06349e+00
2.12083e-01, 3.05807e-01, 2.58945e-01, 9.07604e-02, 9.68377e-01
3.05807e-01, 4.37021e-01, 3.71414e-01, 1.11383e-01, 8.48863e-01
4.37021e-01, 6.20720e-01, 5.28871e-01, 1.29638e-01, 7.05706e-01
6.20720e-01, 8.77900e-01, 7.49310e-01, 1.40022e-01, 5.44454e-01
8.77900e-01, 1.23795e+00, 1.05793e+00, 1.36101e-01, 3.78004e-01
1.23795e+00, 1.74202e+00, 1.48999e+00, 1.13833e-01, 2.25826e-01
1.74202e+00, 2.44772e+00, 2.09487e+00, 7.67269e-02, 1.08724e-01
2.44772e+00, 3.43570e+00, 2.94171e+00, 3.76046e-02, 3.80622e-02
3.43570e+00, 4.81887e+00, 4.12729e+00, 1.11178e-02, 8.03790e-03
4.81887e+00, 6.75531e+00, 5.78709e+00, 1.25827e-03, 6.49784e-04
6.75531e+00, 9.46633e+00, 8.11082e+00, 3.62774e-04, 1.33815e-04
9.46633e+00, 1.32618e+01, 1.13640e+01, 4.97968e-05, 1.31202e-05
1.32618e+01, 1.85753e+01, 1.59186e+01, 2.71738e-06, 5.11402e-07
1.85753e+01, 2.60144e+01, 2.22949e+01, 4.52546e-08, 6.08341e-09
2.60144e+01, 3.64290e+01, 3.12217e+01, 1.55632e-10, 1.49435e-11
3.64290e+01, 5.10095e+01, 4.37193e+01, 6.19237e-14, 4.24702e-15
5.10095e+01, 7.14222e+01, 6.12159e+01, 1.23520e-18, 6.05115e-20
7.14222e+01, 1.00000e+02, 8.57111e+01, 3.72008e-44, 1.30174e-45
