# start, end, pivot, particles, density
0.00000e+00, 8.89110e-03, 4.44555e-03, 8.85169e-03, 9.95568e-01
8.89110e-03, 2.13386e-02, 1.51149e-02, 1.22609e-02, 9.85005e-01
2.13386e-02, 3.87652e-02, 3.00519e-02, 1.69109e-02, 9.70407e-01
3.87652e-02, 6.31624e-02, 5.09638e-02, 2.31855e-02, 9.50337e-01
6.31624e-02, 9.73185e-02, 8.02404e-02, 3.15240e-02, 9.22939e-01
9.73185e-02, 1.45137e-01, 1.21228e-01, 4.23632e-02, 8.85917e-01
1.45137e-01, 2.12083e-01, 1.78610e-01, 5.60061e-02, 8.36588e-01
2.12083e-01, 3.05807e-01, 2.58945e-01, 7.23690e-02, 7.72148e-01
3.05807e-01, 4.37021e-01, 3.71414e-01, 9.05708e-02, 6.90253e-01
4.37021e-01, 6.20720e-01, 5.28871e-01, 1.08401e-01, 5.90099e-01
6.20720e-01, 8.77900e-01, 7.49310e-01, 1.21902e-01, 4.73996e-01
8.77900e-01, 1.23795e+00, 1.05793e+00, 1.25677e-01, 3.49054e-01
1.23795e+00, 1.74202e+00, 1.48999e+00, 1.14812e-01, 2.27769e-01
1.74202e+00, 2.44772e+00, 2.09487e+00, 8.86755e-02, 1.25656e-01
2.44772e+00, 3.43570e+00, 2.94171e+00, 5.42876e-02, 5.49481e-02
3.43570e+00, 4.81887e+00, 4.12729e+00, 2.41269e-02, 1.74432e-02
4.81887e+00, 6.75531e+00, 5.78709e+00, 6.91120e-03, 3.56902e-03
6.75531e+00, 9.46633e+00, 8.11082e+00, 1.08726e-03, 4.01052e-04
9.46633e+00, 1.32618e+01, 1.13640e+01, 7.56751e-05, 1.99385e-05
1.32618e+01, 1.85753e+01, 1.59186e+01, 1.73121e-06, 3.25807e-07
1.85753e+01, 2.60144e+01, 2.22949e+01, 8.56196e-09, 1.15095e-09
2.60144e+01, 3.64290e+01, 3.12217e+01, 5.03600e-12, 4.83550e-13
3.64290e+01, 5.10095e+01, 4.37193e+01, 1.51035e-16, 1.03587e-17
5.10095e+01, 7.14222e+01, 6.12159e+01, 7.02824e-23, 3.44307e-24
7.14222e+01, 1.00000e+02, 8.57111e+01, 3.72008e-44, 1.30174e-45
