# time = 8.000000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 2.19794e-03, 1.09897e-03, 6.72266e-03, 3.05862e+00
2.19794e-03, 4.83546e-03, 3.51670e-03, 8.03911e-03, 3.04798e+00
4.83546e-03, 8.00049e-03, 6.41798e-03, 9.58644e-03, 3.02886e+00
8.00049e-03, 1.17985e-02, 9.89951e-03, 1.14312e-02, 3.00976e+00
1.17985e-02, 1.63562e-02, 1.40774e-02, 1.36377e-02, 2.99228e+00
1.63562e-02, 2.18253e-02, 1.90908e-02, 1.62094e-02, 2.96377e+00
2.18253e-02, 2.83884e-02, 2.51069e-02, 1.92215e-02, 2.92877e+00
2.83884e-02, 3.62640e-02, 3.23262e-02, 2.28436e-02, 2.90055e+00
3.62640e-02, 4.57147e-02, 4.09893e-02, 2.69846e-02, 2.85530e+00
4.57147e-02, 5.70556e-02, 5.13851e-02, 3.16752e-02, 2.79301e+00
5.70556e-02, 7.06646e-02, 6.38601e-02, 3.74464e-02, 2.75158e+00
7.06646e-02, 8.69955e-02, 7.88301e-02, 4.35328e-02, 2.66568e+00
8.69955e-02, 1.06593e-01, 9.67940e-02, 5.08125e-02, 2.59286e+00
1.06593e-01, 1.30109e-01, 1.18351e-01, 5.87090e-02, 2.49651e+00
1.30109e-01, 1.58329e-01, 1.44219e-01, 6.74818e-02, 2.39130e+00
1.58329e-01, 1.92192e-01, 1.75261e-01, 7.62429e-02, 2.25147e+00
1.92192e-01, 2.32829e-01, 2.12511e-01, 8.62522e-02, 2.12254e+00
2.32829e-01, 2.81592e-01, 2.57211e-01, 9.53391e-02, 1.95512e+00
2.81592e-01, 3.40109e-01, 3.10851e-01, 1.04380e-01, 1.78376e+00
3.40109e-01, 4.10329e-01, 3.75219e-01, 1.12186e-01, 1.59764e+00
4.10329e-01, 4.94592e-01, 4.52460e-01, 1.18794e-01, 1.40979e+00
4.94592e-01, 5.95709e-01, 5.45150e-01, 1.19216e-01, 1.17900e+00
5.95709e-01, 7.17048e-01, 6.56379e-01, 1.18800e-01, 9.79070e-01
7.17048e-01, 8.62656e-01, 7.89852e-01, 1.12983e-01, 7.75943e-01
8.62656e-01, 1.03739e+00, 9.50021e-01, 1.02603e-01, 5.87212e-01
1.03739e+00, 1.24706e+00, 1.14222e+00, 8.80897e-02, 4.20125e-01
1.24706e+00, 1.49867e+00, 1.37287e+00, 7.06448e-02, 2.80771e-01
1.49867e+00, 1.80060e+00, 1.64964e+00, 5.22547e-02, 1.73068e-01
1.80060e+00, 2.16292e+00, 1.98176e+00, 3.55138e-02, 9.80182e-02
2.16292e+00, 2.59770e+00, 2.38031e+00, 2.02247e-02, 4.65169e-02
2.59770e+00, 3.11944e+00, 2.85857e+00, 1.07662e-02, 2.06353e-02
3.11944e+00, 3.74553e+00, 3.43248e+00, 4.71693e-03, 7.53400e-03
3.74553e+00, 4.49683e+00, 4.12118e+00, 1.69074e-03, 2.25040e-03
4.49683e+00, 5.39839e+00, 4.94761e+00, 4.71165e-04, 5.22609e-04
5.39839e+00, 6.48027e+00, 5.93933e+00, 1.03198e-04, 9.53879e-05
6.48027e+00, 7.77852e+00, 7.12940e+00, 1.59527e-05, 1.22878e-05
7.77852e+00, 9.33643e+00, 8.55747e+00, 1.68832e-06, 1.08372e-06
9.33643e+00, 1.12059e+01, 1.02712e+01, 1.14201e-07, 6.10871e-08
1.12059e+01, 1.34493e+01, 1.23276e+01, 4.62648e-09, 2.06228e-09
1.34493e+01, 1.61413e+01, 1.47953e+01, 1.02710e-10, 3.81530e-11
1.61413e+01, 1.93718e+01, 1.77566e+01, 1.15032e-12, 3.56085e-13
1.93718e+01, 2.32484e+01, 2.13101e+01, 5.82921e-15, 1.50371e-15
2.32484e+01, 2.79002e+01, 2.55743e+01, 1.20199e-17, 2.58389e-18
2.79002e+01, 3.34825e+01, 3.06914e+01, 8.82879e-21, 1.58158e-21
3.34825e+01, 4.01812e+01, 3.68318e+01, 2.07594e-24, 3.09901e-25
4.01812e+01, 4.82196e+01, 4.42004e+01, 1.35482e-28, 1.68542e-29
4.82196e+01, 5.78657e+01, 5.30427e+01, 2.12900e-33, 2.20710e-34
5.78657e+01, 6.94411e+01, 6.36534e+01, 6.72344e-39, 5.80841e-40
6.94411e+01, 8.33315e+01, 7.63863e+01, 3.46446e-45, 2.49414e-46
8.33315e+01, 1.00000e+02, 9.16658e+01, 2.12910e-52, 1.27732e-53
