# time = 7.300000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 2.19794e-03, 1.09897e-03, 2.19552e-03, 9.98902e-01
2.19794e-03, 4.83546e-03, 3.51670e-03, 7.42858e-03, 2.81650e+00
4.83546e-03, 8.00049e-03, 6.41798e-03, 8.86117e-03, 2.79971e+00
8.00049e-03, 1.17985e-02, 9.89951e-03, 1.05643e-02, 2.78151e+00
1.17985e-02, 1.63562e-02, 1.40774e-02, 1.25687e-02, 2.75772e+00
1.63562e-02, 2.18253e-02, 1.90908e-02, 1.49330e-02, 2.73039e+00
2.18253e-02, 2.83884e-02, 2.51069e-02, 1.77098e-02, 2.69843e+00
2.83884e-02, 3.62640e-02, 3.23262e-02, 2.09504e-02, 2.66017e+00
3.62640e-02, 4.57147e-02, 4.09893e-02, 2.47004e-02, 2.61360e+00
4.57147e-02, 5.70556e-02, 5.13851e-02, 2.90590e-02, 2.56232e+00
5.70556e-02, 7.06646e-02, 6.38601e-02, 3.40022e-02, 2.49850e+00
7.06646e-02, 8.69955e-02, 7.88301e-02, 3.96033e-02, 2.42506e+00
8.69955e-02, 1.06593e-01, 9.67940e-02, 4.58749e-02, 2.34091e+00
1.06593e-01, 1.30109e-01, 1.18351e-01, 5.27306e-02, 2.24229e+00
1.30109e-01, 1.58329e-01, 1.44219e-01, 6.01169e-02, 2.13032e+00
1.58329e-01, 1.92192e-01, 1.75261e-01, 6.78546e-02, 2.00376e+00
1.92192e-01, 2.32829e-01, 2.12511e-01, 7.55917e-02, 1.86020e+00
2.32829e-01, 2.81592e-01, 2.57211e-01, 8.30028e-02, 1.70214e+00
2.81592e-01, 3.40109e-01, 3.10851e-01, 8.95424e-02, 1.53021e+00
3.40109e-01, 4.10329e-01, 3.75219e-01, 9.46031e-02, 1.34724e+00
4.10329e-01, 4.94592e-01, 4.52460e-01, 9.73477e-02, 1.15528e+00
4.94592e-01, 5.95709e-01, 5.45150e-01, 9.71659e-02, 9.60931e-01
5.95709e-01, 7.17048e-01, 6.56379e-01, 9.34835e-02, 7.70428e-01
7.17048e-01, 8.62656e-01, 7.89852e-01, 8.60585e-02, 5.91030e-01
8.62656e-01, 1.03739e+00, 9.50021e-01, 7.51456e-02, 4.30069e-01
1.03739e+00, 1.24706e+00, 1.14222e+00, 6.15971e-02, 2.93774e-01
1.24706e+00, 1.49867e+00, 1.37287e+00, 4.68192e-02, 1.86079e-01
1.49867e+00, 1.80060e+00, 1.64964e+00, 3.25237e-02, 1.07719e-01
1.80060e+00, 2.16292e+00, 1.98176e+00, 2.03004e-02, 5.60292e-02
2.16292e+00, 2.59770e+00, 2.38031e+00, 1.11621e-02, 2.56728e-02
2.59770e+00, 3.11944e+00, 2.85857e+00, 5.28451e-03, 1.01287e-02
3.11944e+00, 3.74553e+00, 3.43248e+00, 2.09870e-03, 3.35210e-03
3.74553e+00, 4.49683e+00, 4.12118e+00, 6.78818e-04, 9.03521e-04
4.49683e+00, 5.39839e+00, 4.94761e+00, 1.72995e-04, 1.91883e-04
5.39839e+00, 6.48027e+00, 5.93933e+00, 3.34825e-05, 3.09486e-05
6.48027e+00, 7.77852e+00, 7.12940e+00, 4.72670e-06, 3.64082e-06
7.77852e+00, 9.33643e+00, 8.55747e+00, 4.65828e-07, 2.99010e-07
9.33643e+00, 1.12059e+01, 1.02712e+01, 3.05947e-08, 1.63653e-08
1.12059e+01, 1.34493e+01, 1.23276e+01, 1.27719e-09, 5.69313e-10
1.34493e+01, 1.61413e+01, 1.47953e+01, 3.24075e-11, 1.20382e-11
1.61413e+01, 1.93718e+01, 1.77566e+01, 4.82443e-13, 1.49341e-13
1.93718e+01, 2.32484e+01, 2.13101e+01, 4.14705e-15, 1.06978e-15
2.32484e+01, 2.79002e+01, 2.55743e+01, 2.08683e-17, 4.48600e-18
2.79002e+01, 3.34825e+01, 3.06914e+01, 6.41212e-20, 1.14866e-20
3.34825e+01, 4.01812e+01, 3.68318e+01, 1.26446e-22, 1.88761e-23
4.01812e+01, 4.82196e+01, 4.42004e+01, 1.65633e-25, 2.06051e-26
4.82196e+01, 5.78657e+01, 5.30427e+01, 1.56771e-28, 1.62522e-29
5.78657e+01, 6.94411e+01, 6.36534e+01, 1.24238e-31, 1.07330e-32
6.94411e+01, 8.33315e+01, 7.63863e+01, 8.24862e-35, 5.93835e-36
8.33315e+01, 1.00000e+02, 9.16658e+01, 3.72008e-44, 2.23180e-45
