# time = 1.000000000000000e+00# start, end, pivot, particles, density
0.00000e+00, 2.19794e-03, 1.09897e-03, 2.19552e-03, 9.98902e-01
2.19794e-03, 4.83546e-03, 3.51670e-03, 8.60801e-03, 3.26367e+00
4.83546e-03, 8.00049e-03, 6.41798e-03, 1.02608e-02, 3.24194e+00
8.00049e-03, 1.17985e-02, 9.89951e-03, 1.22263e-02, 3.21910e+00
1.17985e-02, 1.63562e-02, 1.40774e-02, 1.45321e-02, 3.18852e+00
1.63562e-02, 2.18253e-02, 1.90908e-02, 1.72482e-02, 3.15370e+00
2.18253e-02, 2.83884e-02, 2.51069e-02, 2.04318e-02, 3.11318e+00
2.83884e-02, 3.62640e-02, 3.23262e-02, 2.41355e-02, 3.06459e+00
3.62640e-02, 4.57147e-02, 4.09893e-02, 2.84001e-02, 3.00507e+00
4.57147e-02, 5.70556e-02, 5.13851e-02, 3.33508e-02, 2.94076e+00
5.70556e-02, 7.06646e-02, 6.38601e-02, 3.89165e-02, 2.85960e+00
7.06646e-02, 8.69955e-02, 7.88301e-02, 4.51836e-02, 2.76676e+00
8.69955e-02, 1.06593e-01, 9.67940e-02, 5.21484e-02, 2.66103e+00
1.06593e-01, 1.30109e-01, 1.18351e-01, 5.96613e-02, 2.53700e+00
1.30109e-01, 1.58329e-01, 1.44219e-01, 6.76438e-02, 2.39704e+00
1.58329e-01, 1.92192e-01, 1.75261e-01, 7.58445e-02, 2.23970e+00
1.92192e-01, 2.32829e-01, 2.12511e-01, 8.37827e-02, 2.06176e+00
2.32829e-01, 2.81592e-01, 2.57211e-01, 9.10677e-02, 1.86753e+00
2.81592e-01, 3.40109e-01, 3.10851e-01, 9.70294e-02, 1.65816e+00
3.40109e-01, 4.10329e-01, 3.75219e-01, 1.00974e-01, 1.43797e+00
4.10329e-01, 4.94592e-01, 4.52460e-01, 1.01947e-01, 1.20986e+00
4.94592e-01, 5.95709e-01, 5.45150e-01, 9.94052e-02, 9.83077e-01
5.95709e-01, 7.17048e-01, 6.56379e-01, 9.29108e-02, 7.65708e-01
7.17048e-01, 8.62656e-01, 7.89852e-01, 8.25205e-02, 5.66732e-01
8.62656e-01, 1.03739e+00, 9.50021e-01, 6.89312e-02, 3.94503e-01
1.03739e+00, 1.24706e+00, 1.14222e+00, 5.34970e-02, 2.55143e-01
1.24706e+00, 1.49867e+00, 1.37287e+00, 3.80279e-02, 1.51138e-01
1.49867e+00, 1.80060e+00, 1.64964e+00, 2.43540e-02, 8.06605e-02
1.80060e+00, 2.16292e+00, 1.98176e+00, 1.37892e-02, 3.80583e-02
2.16292e+00, 2.59770e+00, 2.38031e+00, 6.75584e-03, 1.55385e-02
2.59770e+00, 3.11944e+00, 2.85857e+00, 2.79477e-03, 5.35666e-03
3.11944e+00, 3.74553e+00, 3.43248e+00, 9.49514e-04, 1.51659e-03
3.74553e+00, 4.49683e+00, 4.12118e+00, 2.57080e-04, 3.42178e-04
4.49683e+00, 5.39839e+00, 4.94761e+00, 5.39390e-05, 5.98283e-05
5.39839e+00, 6.48027e+00, 5.93933e+00, 9.52897e-06, 8.80781e-06
6.48027e+00, 7.77852e+00, 7.12940e+00, 1.42216e-06, 1.09544e-06
7.77852e+00, 9.33643e+00, 8.55747e+00, 1.65563e-07, 1.06273e-07
9.33643e+00, 1.12059e+01, 1.02712e+01, 1.50431e-08, 8.04665e-09
1.12059e+01, 1.34493e+01, 1.23276e+01, 1.07572e-09, 4.79508e-10
1.34493e+01, 1.61413e+01, 1.47953e+01, 6.19265e-11, 2.30034e-11
1.61413e+01, 1.93718e+01, 1.77566e+01, 2.99216e-12, 9.26233e-13
1.93718e+01, 2.32484e+01, 2.13101e+01, 1.26419e-13, 3.26110e-14
2.32484e+01, 2.79002e+01, 2.55743e+01, 4.86261e-15, 1.04530e-15
2.79002e+01, 3.34825e+01, 3.06914e+01, 1.80868e-16, 3.24005e-17
3.34825e+01, 4.01812e+01, 3.68318e+01, 6.32834e-18, 9.44713e-19
4.01812e+01, 4.82196e+01, 4.42004e+01, 2.00000e-19, 2.48805e-20
4.82196e+01, 5.78657e+01, 5.30427e+01, 7.94825e-21, 8.23984e-22
5.78657e+01, 6.94411e+01, 6.36534e+01, 3.58734e-22, 3.09912e-23
6.94411e+01, 8.33315e+01, 7.63863e+01, 1.19289e-23, 8.58785e-25
8.33315e+01, 1.00000e+02, 9.16658e+01, 3.72008e-44, 2.23180e-45
