# time = 4.300000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 7.25710e-04, 3.62855e-04, 1.64645e-03, 2.26874e+00
7.25710e-04, 1.52399e-03, 1.12485e-03, 1.80922e-03, 2.26639e+00
1.52399e-03, 2.40210e-03, 1.96305e-03, 1.98721e-03, 2.26306e+00
2.40210e-03, 3.36802e-03, 2.88506e-03, 2.18299e-03, 2.26001e+00
3.36802e-03, 4.43053e-03, 3.89928e-03, 2.39778e-03, 2.25671e+00
4.43053e-03, 5.59929e-03, 5.01491e-03, 2.63268e-03, 2.25254e+00
5.59929e-03, 6.88493e-03, 6.24211e-03, 2.89099e-03, 2.24868e+00
6.88493e-03, 8.29914e-03, 7.59203e-03, 3.17438e-03, 2.24464e+00
8.29914e-03, 9.85476e-03, 9.07695e-03, 3.48214e-03, 2.23842e+00
9.85476e-03, 1.15659e-02, 1.07104e-02, 3.82378e-03, 2.23458e+00
1.15659e-02, 1.34482e-02, 1.25071e-02, 4.19125e-03, 2.22666e+00
1.34482e-02, 1.55188e-02, 1.44835e-02, 4.59950e-03, 2.22140e+00
1.55188e-02, 1.77964e-02, 1.66576e-02, 5.04225e-03, 2.21386e+00
1.77964e-02, 2.03017e-02, 1.90490e-02, 5.52667e-03, 2.20595e+00
2.03017e-02, 2.30576e-02, 2.16797e-02, 6.05557e-03, 2.19732e+00
2.30576e-02, 2.60891e-02, 2.45733e-02, 6.63130e-03, 2.18749e+00
2.60891e-02, 2.94237e-02, 2.77564e-02, 7.26282e-03, 2.17801e+00
2.94237e-02, 3.30918e-02, 3.12577e-02, 7.93882e-03, 2.16430e+00
3.30918e-02, 3.71267e-02, 3.51092e-02, 8.69375e-03, 2.15465e+00
3.71267e-02, 4.15650e-02, 3.93458e-02, 9.49603e-03, 2.13953e+00
4.15650e-02, 4.64472e-02, 4.40061e-02, 1.03758e-02, 2.12523e+00
4.64472e-02, 5.18177e-02, 4.91325e-02, 1.13230e-02, 2.10840e+00
5.18177e-02, 5.77252e-02, 5.47714e-02, 1.23436e-02, 2.08948e+00
5.77252e-02, 6.42234e-02, 6.09743e-02, 1.34760e-02, 2.07379e+00
6.42234e-02, 7.13714e-02, 6.77974e-02, 1.46441e-02, 2.04869e+00
7.13714e-02, 7.92343e-02, 7.53029e-02, 1.59525e-02, 2.02884e+00
7.92343e-02, 8.78834e-02, 8.35588e-02, 1.73128e-02, 2.00168e+00
8.78834e-02, 9.73975e-02, 9.26404e-02, 1.87899e-02, 1.97496e+00
9.73975e-02, 1.07863e-01, 1.02630e-01, 2.03573e-02, 1.94519e+00
1.07863e-01, 1.19375e-01, 1.13619e-01, 2.20570e-02, 1.91600e+00
1.19375e-01, 1.32038e-01, 1.25707e-01, 2.38035e-02, 1.87974e+00
1.32038e-01, 1.45968e-01, 1.39003e-01, 2.56373e-02, 1.84050e+00
1.45968e-01, 1.61290e-01, 1.53629e-01, 2.76645e-02, 1.80548e+00
1.61290e-01, 1.78145e-01, 1.69717e-01, 2.96514e-02, 1.75923e+00
1.78145e-01, 1.96685e-01, 1.87415e-01, 3.17461e-02, 1.71229e+00
1.96685e-01, 2.17079e-01, 2.06882e-01, 3.39214e-02, 1.66328e+00
2.17079e-01, 2.39513e-01, 2.28296e-01, 3.62199e-02, 1.61454e+00
2.39513e-01, 2.64190e-01, 2.51851e-01, 3.83211e-02, 1.55291e+00
2.64190e-01, 2.91335e-01, 2.77762e-01, 4.06467e-02, 1.49741e+00
2.91335e-01, 3.21194e-01, 3.06264e-01, 4.28627e-02, 1.43550e+00
3.21194e-01, 3.54039e-01, 3.37616e-01, 4.49362e-02, 1.36813e+00
3.54039e-01, 3.90168e-01, 3.72104e-01, 4.69212e-02, 1.29869e+00
3.90168e-01, 4.29911e-01, 4.10040e-01, 4.86861e-02, 1.22504e+00
4.29911e-01, 4.73628e-01, 4.51769e-01, 5.03991e-02, 1.15285e+00
4.73628e-01, 5.21716e-01, 4.97672e-01, 5.16854e-02, 1.07480e+00
5.21716e-01, 5.74614e-01, 5.48165e-01, 5.27272e-02, 9.96784e-01
5.74614e-01, 6.32801e-01, 6.03707e-01, 5.33553e-02, 9.16961e-01
6.32801e-01, 6.96806e-01, 6.64804e-01, 5.36425e-02, 8.38089e-01
6.96806e-01, 7.67213e-01, 7.32010e-01, 5.32010e-02, 7.55627e-01
7.67213e-01, 8.44660e-01, 8.05936e-01, 5.23624e-02, 6.76106e-01
8.44660e-01, 9.29852e-01, 8.87256e-01, 5.10040e-02, 5.98697e-01
9.29852e-01, 1.02356e+00, 9.76707e-01, 4.90396e-02, 5.23307e-01
1.02356e+00, 1.12664e+00, 1.07510e+00, 4.65203e-02, 4.51294e-01
1.12664e+00, 1.24003e+00, 1.18334e+00, 4.34764e-02, 3.83423e-01
1.24003e+00, 1.36476e+00, 1.30240e+00, 3.99744e-02, 3.20490e-01
1.36476e+00, 1.50197e+00, 1.43336e+00, 3.60971e-02, 2.63095e-01
1.50197e+00, 1.65289e+00, 1.57743e+00, 3.19960e-02, 2.12003e-01
1.65289e+00, 1.81890e+00, 1.73590e+00, 2.76398e-02, 1.66491e-01
1.81890e+00, 2.00152e+00, 1.91021e+00, 2.34024e-02, 1.28151e-01
2.00152e+00, 2.20240e+00, 2.10196e+00, 1.92706e-02, 9.59319e-02
2.20240e+00, 2.42336e+00, 2.31288e+00, 1.54119e-02, 6.97481e-02
2.42336e+00, 2.66642e+00, 2.54489e+00, 1.19359e-02, 4.91063e-02
