# time = 9.000000000000000e-02# start, end, pivot, particles, density
0.00000e+00, 7.25710e-04, 3.62855e-04, 7.25447e-04, 9.99637e-01
7.25710e-04, 1.52399e-03, 1.12485e-03, 1.01475e-03, 1.27117e+00
1.52399e-03, 2.40210e-03, 1.96305e-03, 1.11516e-03, 1.26995e+00
2.40210e-03, 3.36802e-03, 2.88506e-03, 1.22538e-03, 1.26861e+00
3.36802e-03, 4.43053e-03, 3.89928e-03, 1.34636e-03, 1.26715e+00
4.43053e-03, 5.59929e-03, 5.01491e-03, 1.47912e-03, 1.26554e+00
5.59929e-03, 6.88493e-03, 6.24211e-03, 1.62473e-03, 1.26375e+00
6.88493e-03, 8.29914e-03, 7.59203e-03, 1.78445e-03, 1.26180e+00
8.29914e-03, 9.85476e-03, 9.07695e-03, 1.95959e-03, 1.25968e+00
9.85476e-03, 1.15659e-02, 1.07104e-02, 2.15148e-03, 1.25730e+00
1.15659e-02, 1.34482e-02, 1.25071e-02, 2.36182e-03, 1.25475e+00
1.34482e-02, 1.55188e-02, 1.44835e-02, 2.59211e-03, 1.25190e+00
1.55188e-02, 1.77964e-02, 1.66576e-02, 2.84429e-03, 1.24882e+00
1.77964e-02, 2.03017e-02, 1.90490e-02, 3.12008e-03, 1.24537e+00
2.03017e-02, 2.30576e-02, 2.16797e-02, 3.42192e-03, 1.24168e+00
2.30576e-02, 2.60891e-02, 2.45733e-02, 3.75158e-03, 1.23755e+00
2.60891e-02, 2.94237e-02, 2.77564e-02, 4.11177e-03, 1.23306e+00
2.94237e-02, 3.30918e-02, 3.12577e-02, 4.50492e-03, 1.22814e+00
3.30918e-02, 3.71267e-02, 3.51092e-02, 4.93365e-03, 1.22275e+00
3.71267e-02, 4.15650e-02, 3.93458e-02, 5.40068e-03, 1.21681e+00
4.15650e-02, 4.64472e-02, 4.40061e-02, 5.90934e-03, 1.21038e+00
4.64472e-02, 5.18177e-02, 4.91325e-02, 6.46228e-03, 1.20331e+00
5.18177e-02, 5.77252e-02, 5.47714e-02, 7.06270e-03, 1.19555e+00
5.77252e-02, 6.42234e-02, 6.09743e-02, 7.71424e-03, 1.18713e+00
6.42234e-02, 7.13714e-02, 6.77974e-02, 8.41955e-03, 1.17788e+00
7.13714e-02, 7.92343e-02, 7.53029e-02, 9.18262e-03, 1.16785e+00
7.92343e-02, 8.78834e-02, 8.35588e-02, 1.00058e-02, 1.15686e+00
8.78834e-02, 9.73975e-02, 9.26404e-02, 1.08929e-02, 1.14493e+00
9.73975e-02, 1.07863e-01, 1.02630e-01, 1.18462e-02, 1.13193e+00
1.07863e-01, 1.19375e-01, 1.13619e-01, 1.28679e-02, 1.11778e+00
1.19375e-01, 1.32038e-01, 1.25707e-01, 1.39604e-02, 1.10244e+00
1.32038e-01, 1.45968e-01, 1.39003e-01, 1.51247e-02, 1.08580e+00
1.45968e-01, 1.61290e-01, 1.53629e-01, 1.63618e-02, 1.06783e+00
1.61290e-01, 1.78145e-01, 1.69717e-01, 1.76699e-02, 1.04836e+00
1.78145e-01, 1.96685e-01, 1.87415e-01, 1.90472e-02, 1.02735e+00
1.96685e-01, 2.17079e-01, 2.06882e-01, 2.04911e-02, 1.00475e+00
2.17079e-01, 2.39513e-01, 2.28296e-01, 2.19953e-02, 9.80461e-01
2.39513e-01, 2.64190e-01, 2.51851e-01, 2.35516e-02, 9.54394e-01
2.64190e-01, 2.91335e-01, 2.77762e-01, 2.51507e-02, 9.26543e-01
2.91335e-01, 3.21194e-01, 3.06264e-01, 2.67786e-02, 8.96831e-01
3.21194e-01, 3.54039e-01, 3.37616e-01, 2.84193e-02, 8.65252e-01
3.54039e-01, 3.90168e-01, 3.72104e-01, 3.00523e-02, 8.31791e-01
3.90168e-01, 4.29911e-01, 4.10040e-01, 3.16541e-02, 7.96479e-01
4.29911e-01, 4.73628e-01, 4.51769e-01, 3.31970e-02, 7.59365e-01
4.73628e-01, 5.21716e-01, 4.97672e-01, 3.46495e-02, 7.20536e-01
5.21716e-01, 5.74614e-01, 5.48165e-01, 3.59755e-02, 6.80100e-01
5.74614e-01, 6.32801e-01, 6.03707e-01, 3.71373e-02, 6.38239e-01
6.32801e-01, 6.96806e-01, 6.64804e-01, 3.80939e-02, 5.95163e-01
6.96806e-01, 7.67213e-01, 7.32010e-01, 3.88025e-02, 5.51122e-01
7.67213e-01, 8.44660e-01, 8.05936e-01, 3.92214e-02, 5.06429e-01
8.44660e-01, 9.29852e-01, 8.87256e-01, 3.93107e-02, 4.61438e-01
9.29852e-01, 1.02356e+00, 9.76707e-01, 3.90350e-02, 4.16547e-01
1.02356e+00, 1.12664e+00, 1.07510e+00, 3.83666e-02, 3.72195e-01
1.12664e+00, 1.24003e+00, 1.18334e+00, 3.72865e-02, 3.28833e-01
1.24003e+00, 1.36476e+00, 1.30240e+00, 3.57897e-02, 2.86939e-01
1.36476e+00, 1.50197e+00, 1.43336e+00, 3.38878e-02, 2.46992e-01
1.50197e+00, 1.65289e+00, 1.57743e+00, 3.16088e-02, 2.09438e-01
1.65289e+00, 1.81890e+00, 1.73590e+00, 2.90001e-02, 1.74684e-01
1.81890e+00, 2.00152e+00, 1.91021e+00, 2.61275e-02, 1.43073e-01
2.00152e+00, 2.20240e+00, 2.10196e+00, 2.30734e-02, 1.14863e-01
2.20240e+00, 2.42336e+00, 2.31288e+00, 1.99328e-02, 9.02078e-02
2.42336e+00, 2.66642e+00, 2.54489e+00, 1.68078e-02, 6.91504e-02
2.66642e+00, 2.93379e+00, 2.80011e+00, 1.38002e-02, 5.16151e-02
2.93379e+00, 3.22790e+00, 3.08084e+00, 1.10036e-02, 3.74137e-02
3.22790e+00, 3.55141e+00, 3.38965e+00, 8.49524e-03, 2.62591e-02
3.55141e+00, 3.90728e+00, 3.72934e+00, 6.33009e-03, 1.77878e-02
3.90728e+00, 4.29873e+00, 4.10301e+00, 4.53622e-03, 1.15881e-02
4.29873e+00, 4.72933e+00, 4.51403e+00, 3.11408e-03, 7.23198e-03
4.72933e+00, 5.20299e+00, 4.96616e+00, 2.03914e-03, 4.30509e-03
5.20299e+00, 5.72401e+00, 5.46350e+00, 1.26768e-03, 2.43304e-03
5.72401e+00, 6.29714e+00, 6.01058e+00, 7.44317e-04, 1.29869e-03
6.29714e+00, 6.92758e+00, 6.61236e+00, 4.10424e-04, 6.51012e-04
6.92758e+00, 7.62106e+00, 7.27432e+00, 2.11216e-04, 3.04573e-04
7.62106e+00, 8.38390e+00, 8.00248e+00, 1.00758e-04, 1.32085e-04
8.38390e+00, 9.22301e+00, 8.80345e+00, 4.42243e-05, 5.27035e-05
9.22301e+00, 1.01460e+01, 9.68453e+00, 1.77148e-05, 1.91921e-05
1.01460e+01, 1.11614e+01, 1.06537e+01, 6.41902e-06, 6.32210e-06
