# time = 1.000000000000000e+00# start, end, pivot, particles, density
0.00000e+00, 8.89110e-03, 4.44555e-03, 2.96635e-02, 3.33631e+00
8.89110e-03, 2.13386e-02, 1.51149e-02, 4.08506e-02, 3.28182e+00
2.13386e-02, 3.87652e-02, 3.00519e-02, 5.54263e-02, 3.18057e+00
3.87652e-02, 6.31624e-02, 5.09638e-02, 7.46200e-02, 3.05855e+00
6.31624e-02, 9.73185e-02, 8.02404e-02, 9.98385e-02, 2.92301e+00
9.73185e-02, 1.45137e-01, 1.21228e-01, 1.27950e-01, 2.67575e+00
1.45137e-01, 2.12083e-01, 1.78610e-01, 1.64631e-01, 2.45916e+00
2.12083e-01, 3.05807e-01, 2.58945e-01, 2.01458e-01, 2.14948e+00
3.05807e-01, 4.37021e-01, 3.71414e-01, 2.24433e-01, 1.71043e+00
4.37021e-01, 6.20720e-01, 5.28871e-01, 2.39064e-01, 1.30139e+00
6.20720e-01, 8.77900e-01, 7.49310e-01, 2.24952e-01, 8.74689e-01
8.77900e-01, 1.23795e+00, 1.05793e+00, 1.83011e-01, 5.08291e-01
1.23795e+00, 1.74202e+00, 1.48999e+00, 1.11070e-01, 2.20346e-01
1.74202e+00, 2.44772e+00, 2.09487e+00, 5.27231e-02, 7.47104e-02
2.44772e+00, 3.43570e+00, 2.94171e+00, 1.60555e-02, 1.62508e-02
3.43570e+00, 4.81887e+00, 4.12729e+00, 2.79194e-03, 2.01851e-03
4.81887e+00, 6.75531e+00, 5.78709e+00, 2.36892e-04, 1.22334e-04
6.75531e+00, 9.46633e+00, 8.11082e+00, 7.98746e-06, 2.94630e-06
9.46633e+00, 1.32618e+01, 1.13640e+01, 8.32539e-08, 2.19353e-08
1.32618e+01, 1.85753e+01, 1.59186e+01, 2.01279e-10, 3.78801e-11
1.85753e+01, 2.60144e+01, 2.22949e+01, 7.64766e-14, 1.02805e-14
2.60144e+01, 3.64290e+01, 3.12217e+01, 2.84959e-18, 2.73614e-19
3.64290e+01, 5.10095e+01, 4.37193e+01, 5.61108e-24, 3.84835e-25
5.10095e+01, 7.14222e+01, 6.12159e+01, 2.50026e-31, 1.22486e-32
7.14222e+01, 1.00000e+02, 8.57111e+01, 8.09136e-41, 2.83135e-42
