# time = 3.900000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 8.89110e-03, 4.44555e-03, 1.91795e-02, 2.15716e+00
8.89110e-03, 2.13386e-02, 1.51149e-02, 2.64549e-02, 2.12531e+00
2.13386e-02, 3.87652e-02, 3.00519e-02, 3.61948e-02, 2.07699e+00
3.87652e-02, 6.31624e-02, 5.09638e-02, 4.91416e-02, 2.01423e+00
6.31624e-02, 9.73185e-02, 8.02404e-02, 6.61378e-02, 1.93634e+00
9.73185e-02, 1.45137e-01, 1.21228e-01, 8.67908e-02, 1.81501e+00
1.45137e-01, 2.12083e-01, 1.78610e-01, 1.12656e-01, 1.68280e+00
2.12083e-01, 3.05807e-01, 2.58945e-01, 1.41063e-01, 1.50509e+00
3.05807e-01, 4.37021e-01, 3.71414e-01, 1.66127e-01, 1.26608e+00
4.37021e-01, 6.20720e-01, 5.28871e-01, 1.85888e-01, 1.01191e+00
6.20720e-01, 8.77900e-01, 7.49310e-01, 1.89075e-01, 7.35189e-01
8.77900e-01, 1.23795e+00, 1.05793e+00, 1.70672e-01, 4.74021e-01
1.23795e+00, 1.74202e+00, 1.48999e+00, 1.24173e-01, 2.46340e-01
1.74202e+00, 2.44772e+00, 2.09487e+00, 7.23496e-02, 1.02522e-01
2.44772e+00, 3.43570e+00, 2.94171e+00, 2.94636e-02, 2.98221e-02
3.43570e+00, 4.81887e+00, 4.12729e+00, 7.48874e-03, 5.41418e-03
4.81887e+00, 6.75531e+00, 5.78709e+00, 1.02281e-03, 5.28191e-04
6.75531e+00, 9.46633e+00, 8.11082e+00, 6.24060e-05, 2.30194e-05
9.46633e+00, 1.32618e+01, 1.13640e+01, 1.36055e-06, 3.58472e-07
1.32618e+01, 1.85753e+01, 1.59186e+01, 8.11407e-09, 1.52704e-09
1.85753e+01, 2.60144e+01, 2.22949e+01, 9.41355e-12, 1.26543e-12
2.60144e+01, 3.64290e+01, 3.12217e+01, 1.40701e-15, 1.35100e-16
3.64290e+01, 5.10095e+01, 4.37193e+01, 1.61050e-20, 1.10456e-21
5.10095e+01, 7.14222e+01, 6.12159e+01, 6.99437e-27, 3.42648e-28
7.14222e+01, 1.00000e+02, 8.57111e+01, 4.40159e-35, 1.54022e-36
