# time = 1.000000000000000e+00# start, end, pivot, particles, density
0.00000e+00, 8.89110e-03, 4.44555e-03, 8.85169e-03, 9.95568e-01
8.89110e-03, 2.13386e-02, 1.51149e-02, 3.79408e-02, 3.04805e+00
2.13386e-02, 3.87652e-02, 3.00519e-02, 5.12106e-02, 2.93865e+00
3.87652e-02, 6.31624e-02, 5.09638e-02, 6.78732e-02, 2.78201e+00
6.31624e-02, 9.73185e-02, 8.02404e-02, 8.85495e-02, 2.59250e+00
9.73185e-02, 1.45137e-01, 1.21228e-01, 1.11582e-01, 2.33346e+00
1.45137e-01, 2.12083e-01, 1.78610e-01, 1.35128e-01, 2.01846e+00
2.12083e-01, 3.05807e-01, 2.58945e-01, 1.54944e-01, 1.65319e+00
3.05807e-01, 4.37021e-01, 3.71414e-01, 1.63228e-01, 1.24398e+00
4.37021e-01, 6.20720e-01, 5.28871e-01, 1.53833e-01, 8.37419e-01
6.20720e-01, 8.77900e-01, 7.49310e-01, 1.24056e-01, 4.82370e-01
8.77900e-01, 1.23795e+00, 1.05793e+00, 8.08335e-02, 2.24506e-01
1.23795e+00, 1.74202e+00, 1.48999e+00, 3.94041e-02, 7.81716e-02
1.74202e+00, 2.44772e+00, 2.09487e+00, 1.31637e-02, 1.86534e-02
2.44772e+00, 3.43570e+00, 2.94171e+00, 2.71790e-03, 2.75097e-03
3.43570e+00, 4.81887e+00, 4.12729e+00, 3.11048e-04, 2.24880e-04
4.81887e+00, 6.75531e+00, 5.78709e+00, 1.76915e-05, 9.13610e-06
6.75531e+00, 9.46633e+00, 8.11082e+00, 4.53253e-07, 1.67189e-07
9.46633e+00, 1.32618e+01, 1.13640e+01, 4.91780e-09, 1.29572e-09
1.32618e+01, 1.85753e+01, 1.59186e+01, 2.28312e-11, 4.29675e-12
1.85753e+01, 2.60144e+01, 2.22949e+01, 4.85958e-14, 6.53254e-15
2.60144e+01, 3.64290e+01, 3.12217e+01, 5.00944e-17, 4.80999e-18
3.64290e+01, 5.10095e+01, 4.37193e+01, 2.55175e-20, 1.75011e-21
5.10095e+01, 7.14222e+01, 6.12159e+01, 8.06157e-24, 3.94929e-25
7.14222e+01, 1.00000e+02, 8.57111e+01, 3.72008e-44, 1.30174e-45
