# time = 1.000000000000000e-02# start, end, pivot, particles, density
0.00000e+00, 8.89110e-03, 4.44555e-03, 8.85169e-03, 9.95568e-01
8.89110e-03, 2.13386e-02, 1.51149e-02, 1.26368e-02, 1.01521e+00
2.13386e-02, 3.87652e-02, 3.00519e-02, 1.74241e-02, 9.99860e-01
3.87652e-02, 6.31624e-02, 5.09638e-02, 2.38783e-02, 9.78732e-01
6.31624e-02, 9.73185e-02, 8.02404e-02, 3.24468e-02, 9.49957e-01
9.73185e-02, 1.45137e-01, 1.21228e-01, 4.35650e-02, 9.11049e-01
1.45137e-01, 2.12083e-01, 1.78610e-01, 5.75252e-02, 8.59278e-01
2.12083e-01, 3.05807e-01, 2.58945e-01, 7.42081e-02, 7.91771e-01
3.05807e-01, 4.37021e-01, 3.71414e-01, 9.26520e-02, 7.06114e-01
4.37021e-01, 6.20720e-01, 5.28871e-01, 1.10525e-01, 6.01660e-01
6.20720e-01, 8.77900e-01, 7.49310e-01, 1.23714e-01, 4.81042e-01
8.77900e-01, 1.23795e+00, 1.05793e+00, 1.26719e-01, 3.51949e-01
1.23795e+00, 1.74202e+00, 1.48999e+00, 1.14714e-01, 2.27575e-01
1.74202e+00, 2.44772e+00, 2.09487e+00, 8.74806e-02, 1.23963e-01
2.44772e+00, 3.43570e+00, 2.94171e+00, 5.26193e-02, 5.32595e-02
3.43570e+00, 4.81887e+00, 4.12729e+00, 2.28260e-02, 1.65027e-02
4.81887e+00, 6.75531e+00, 5.78709e+00, 6.32990e-03, 3.26883e-03
6.75531e+00, 9.46633e+00, 8.11082e+00, 9.55800e-04, 3.52561e-04
9.46633e+00, 1.32618e+01, 1.13640e+01, 6.37270e-05, 1.67905e-05
1.32618e+01, 1.85753e+01, 1.59186e+01, 1.45365e-06, 2.73572e-07
1.85753e+01, 2.60144e+01, 2.22949e+01, 9.27121e-09, 1.24629e-09
2.60144e+01, 3.64290e+01, 3.12217e+01, 1.74546e-11, 1.67597e-12
3.64290e+01, 5.10095e+01, 4.37193e+01, 6.21134e-15, 4.26003e-16
5.10095e+01, 7.14222e+01, 6.12159e+01, 1.23520e-19, 6.05115e-21
7.14222e+01, 1.00000e+02, 8.57111e+01, 3.72008e-44, 1.30174e-45
