# time = 7.000000000000000e+00# start, end, pivot, particles, density
0.00000e+00, 7.25710e-05, 3.62855e-05, 9.83942e-04, 1.35583e+01
7.25710e-05, 1.52399e-04, 1.12485e-04, 1.08234e-03, 1.35583e+01
1.52399e-04, 2.40210e-04, 1.96305e-04, 1.19057e-03, 1.35583e+01
2.40210e-04, 3.36802e-04, 2.88506e-04, 1.30963e-03, 1.35583e+01
3.36802e-04, 4.43053e-04, 3.89928e-04, 1.44059e-03, 1.35583e+01
4.43053e-04, 5.59929e-04, 5.01491e-04, 1.58465e-03, 1.35583e+01
5.59929e-04, 6.88493e-04, 6.24211e-04, 1.74311e-03, 1.35583e+01
6.88493e-04, 8.29914e-04, 7.59203e-04, 1.91742e-03, 1.35583e+01
8.29914e-04, 9.85476e-04, 9.07695e-04, 2.10916e-03, 1.35583e+01
9.85476e-04, 1.15659e-03, 1.07104e-03, 2.32007e-03, 1.35582e+01
1.15659e-03, 1.34482e-03, 1.25071e-03, 2.55207e-03, 1.35582e+01
1.34482e-03, 1.55188e-03, 1.44835e-03, 2.80727e-03, 1.35582e+01
1.55188e-03, 1.77964e-03, 1.66576e-03, 3.08798e-03, 1.35581e+01
1.77964e-03, 2.03017e-03, 1.90490e-03, 3.39676e-03, 1.35580e+01
2.03017e-03, 2.30576e-03, 2.16797e-03, 3.73641e-03, 1.35580e+01
2.30576e-03, 2.60891e-03, 2.45733e-03, 4.11002e-03, 1.35578e+01
2.60891e-03, 2.94237e-03, 2.77564e-03, 4.52098e-03, 1.35577e+01
2.94237e-03, 3.30918e-03, 3.12577e-03, 4.97301e-03, 1.35575e+01
3.30918e-03, 3.71267e-03, 3.51092e-03, 5.47023e-03, 1.35573e+01
3.71267e-03, 4.15650e-03, 3.93458e-03, 6.01714e-03, 1.35571e+01
4.15650e-03, 4.64472e-03, 4.40061e-03, 6.61870e-03, 1.35568e+01
4.64472e-03, 5.18177e-03, 4.91325e-03, 7.28036e-03, 1.35564e+01
5.18177e-03, 5.77252e-03, 5.47714e-03, 8.00812e-03, 1.35559e+01
5.77252e-03, 6.42234e-03, 6.09743e-03, 8.80855e-03, 1.35553e+01
6.42234e-03, 7.13714e-03, 6.77974e-03, 9.68890e-03, 1.35546e+01
7.13714e-03, 7.92343e-03, 7.53029e-03, 1.06571e-02, 1.35537e+01
7.92343e-03, 8.78834e-03, 8.35588e-03, 1.17219e-02, 1.35527e+01
8.78834e-03, 9.73975e-03, 9.26404e-03, 1.28929e-02, 1.35514e+01
9.73975e-03, 1.07863e-02, 1.02630e-02, 1.41805e-02, 1.35498e+01
1.07863e-02, 1.19375e-02, 1.13619e-02, 1.55963e-02, 1.35479e+01
1.19375e-02, 1.32038e-02, 1.25707e-02, 1.71530e-02, 1.35455e+01
1.32038e-02, 1.45968e-02, 1.39003e-02, 1.88643e-02, 1.35427e+01
1.45968e-02, 1.61290e-02, 1.53629e-02, 2.07454e-02, 1.35392e+01
1.61290e-02, 1.78145e-02, 1.69717e-02, 2.28129e-02, 1.35350e+01
1.78145e-02, 1.96685e-02, 1.87415e-02, 2.50847e-02, 1.35299e+01
1.96685e-02, 2.17079e-02, 2.06882e-02, 2.75804e-02, 1.35237e+01
2.17079e-02, 2.39513e-02, 2.28296e-02, 3.03216e-02, 1.35161e+01
2.39513e-02, 2.64190e-02, 2.51851e-02, 3.33312e-02, 1.35070e+01
2.64190e-02, 2.91335e-02, 2.77762e-02, 3.66342e-02, 1.34959e+01
2.91335e-02, 3.21194e-02, 3.06264e-02, 4.02575e-02, 1.34824e+01
3.21194e-02, 3.54039e-02, 3.37616e-02, 4.42297e-02, 1.34662e+01
3.54039e-02, 3.90168e-02, 3.72104e-02, 4.85814e-02, 1.34464e+01
3.90168e-02, 4.29911e-02, 4.10040e-02, 5.33446e-02, 1.34225e+01
4.29911e-02, 4.73628e-02, 4.51769e-02, 5.85528e-02, 1.33936e+01
4.73628e-02, 5.21716e-02, 4.97672e-02, 6.42400e-02, 1.33587e+01
5.21716e-02, 5.74614e-02, 5.48165e-02, 7.04405e-02, 1.33164e+01
5.74614e-02, 6.32801e-02, 6.03707e-02, 7.71875e-02, 1.32654e+01
6.32801e-02, 6.96806e-02, 6.64804e-02, 8.45120e-02, 1.32038e+01
6.96806e-02, 7.67213e-02, 7.32010e-02, 9.24400e-02, 1.31295e+01
7.67213e-02, 8.44660e-02, 8.05936e-02, 1.00991e-01, 1.30400e+01
8.44660e-02, 9.29852e-02, 8.87256e-02, 1.10172e-01, 1.29322e+01
9.29852e-02, 1.02356e-01, 9.76707e-02, 1.19976e-01, 1.28027e+01
1.02356e-01, 1.12664e-01, 1.07510e-01, 1.30372e-01, 1.26474e+01
1.12664e-01, 1.24003e-01, 1.18334e-01, 1.41300e-01, 1.24614e+01
1.24003e-01, 1.36476e-01, 1.30240e-01, 1.52660e-01, 1.22393e+01
1.36476e-01, 1.50197e-01, 1.43336e-01, 1.64296e-01, 1.19748e+01
1.50197e-01, 1.65289e-01, 1.57743e-01, 1.75989e-01, 1.16609e+01
1.65289e-01, 1.81890e-01, 1.73590e-01, 1.87433e-01, 1.12902e+01
1.81890e-01, 2.00152e-01, 1.91021e-01, 1.98221e-01, 1.08546e+01
2.00152e-01, 2.20240e-01, 2.10196e-01, 2.07828e-01, 1.03460e+01
2.20240e-01, 2.42336e-01, 2.31288e-01, 2.15598e-01, 9.75709e+00
2.42336e-01, 2.66642e-01, 2.54489e-01, 2.20744e-01, 9.08179e+00
2.66642e-01, 2.93379e-01, 2.80011e-01, 2.22365e-01, 8.31682e+00
2.93379e-01, 3.22790e-01, 3.08084e-01, 2.19499e-01, 7.46330e+00
3.22790e-01, 3.55141e-01, 3.38965e-01, 2.11218e-01, 6.52885e+00
3.55141e-01, 3.90728e-01, 3.72934e-01, 1.96792e-01, 5.52992e+00
3.90728e-01, 4.29873e-01, 4.10301e-01, 1.75920e-01, 4.49402e+00
4.29873e-01, 4.72933e-01, 4.51403e-01, 1.49031e-01, 3.46101e+00
4.72933e-01, 5.20299e-01, 4.96616e-01, 1.17578e-01, 2.48233e+00
5.20299e-01, 5.72401e-01, 5.46350e-01, 8.42233e-02, 1.61649e+00
5.72401e-01, 6.29714e-01, 6.01058e-01, 5.26879e-02, 9.19306e-01
6.29714e-01, 6.92758e-01, 6.61236e-01, 2.70130e-02, 4.28479e-01
6.92758e-01, 7.62106e-01, 7.27432e-01, 1.01347e-02, 1.46141e-01
7.62106e-01, 8.38390e-01, 8.00248e-01, 2.21495e-03, 2.90359e-02
8.38390e-01, 9.22301e-01, 8.80345e-01, 1.62982e-04, 1.94231e-03
9.22301e-01, 1.01460e+00, 9.68453e-01, 5.65370e-07, 6.12518e-06
1.01460e+00, 1.11614e+00, 1.06537e+00, 0.00000e+00, 0.00000e+00
1.11614e+00, 1.22782e+00, 1.17198e+00, 0.00000e+00, 0.00000e+00
1.22782e+00, 1.35068e+00, 1.28925e+00, 0.00000e+00, 0.00000e+00
1.35068e+00, 1.48582e+00, 1.41825e+00, 0.00000e+00, 0.00000e+00
1.48582e+00, 1.63447e+00, 1.56015e+00, 0.00000e+00, 0.00000e+00
1.63447e+00, 1.79799e+00, 1.71623e+00, 0.00000e+00, 0.00000e+00
1.79799e+00, 1.97786e+00, 1.88793e+00, 0.00000e+00, 0.00000e+00
1.97786e+00, 2.17572e+00, 2.07679e+00, 0.00000e+00, 0.00000e+00
2.17572e+00, 2.39337e+00, 2.28455e+00, 0.00000e+00, 0.00000e+00
2.39337e+00, 2.63278e+00, 2.51307e+00, 0.00000e+00, 0.00000e+00
2.63278e+00, 2.89613e+00, 2.76445e+00, 0.00000e+00, 0.00000e+00
